Date,Loncar Cancer Immunotherapy_Open_average,Loncar Cancer Immunotherapy_Open_max,Loncar Cancer Immunotherapy_Open_min,Loncar Cancer Immunotherapy_Open_volatility,Loncar Cancer Immunotherapy_Open_change,Loncar Cancer Immunotherapy_High_average,Loncar Cancer Immunotherapy_High_max,Loncar Cancer Immunotherapy_High_min,Loncar Cancer Immunotherapy_High_volatility,Loncar Cancer Immunotherapy_High_change,Loncar Cancer Immunotherapy_Low_average,Loncar Cancer Immunotherapy_Low_max,Loncar Cancer Immunotherapy_Low_min,Loncar Cancer Immunotherapy_Low_volatility,Loncar Cancer Immunotherapy_Low_change,Loncar Cancer Immunotherapy_Close_average,Loncar Cancer Immunotherapy_Close_max,Loncar Cancer Immunotherapy_Close_min,Loncar Cancer Immunotherapy_Close_volatility,Loncar Cancer Immunotherapy_Close_change
2018-01-14,27.35,27.35,27.35,0.0,0.0,27.99,27.99,27.99,0.0,0.0,27.02,27.02,27.02,0.0,0.0,27.98,27.98,27.98,0.0,0.0
2018-01-21,28.86,28.86,28.86,0.0,0.0,29.18,29.18,29.18,0.0,0.0,28.81,28.81,28.81,0.0,0.0,29.02,29.02,29.02,0.0,0.0
2018-01-28,27.16,27.16,27.16,0.0,0.0,27.84,27.84,27.84,0.0,0.0,26.66,26.66,26.66,0.0,0.0,26.79,26.79,26.79,0.0,0.0
2018-02-04,27.71,27.71,27.71,0.0,0.0,27.74,27.74,27.74,0.0,0.0,27.15,27.15,27.15,0.0,0.0,27.5,27.5,27.5,0.0,0.0
2018-02-11,28.8,28.8,28.8,0.0,0.0,29.3,29.3,29.3,0.0,0.0,28.77,28.77,28.77,0.0,0.0,28.98,28.98,28.98,0.0,0.0
2018-02-18,29.58,29.58,29.58,0.0,0.0,29.66,29.66,29.66,0.0,0.0,29.19,29.19,29.19,0.0,0.0,29.57,29.57,29.57,0.0,0.0
2018-02-25,29.76,29.76,29.76,0.0,0.0,30.67,30.67,30.67,0.0,0.0,29.76,29.76,29.76,0.0,0.0,30.6,30.6,30.6,0.0,0.0
2018-03-04,31.74,31.74,31.74,0.0,0.0,32.08,32.08,32.08,0.0,0.0,31.46,31.46,31.46,0.0,0.0,31.97,31.97,31.97,0.0,0.0
2018-03-11,30.67,30.67,30.67,0.0,0.0,30.69,30.69,30.69,0.0,0.0,29.91,29.91,29.91,0.0,0.0,30.23,30.23,30.23,0.0,0.0
2018-03-18,29.87,29.87,29.87,0.0,0.0,30.36,30.36,30.36,0.0,0.0,29.51,29.51,29.51,0.0,0.0,30.29,30.29,30.29,0.0,0.0
2018-03-25,28.8,28.8,28.8,0.0,0.0,28.85,28.85,28.85,0.0,0.0,27.65,27.65,27.65,0.0,0.0,27.76,27.76,27.76,0.0,0.0
2018-04-01,27.05,27.05,27.05,0.0,0.0,27.41,27.41,27.41,0.0,0.0,26.75,26.75,26.75,0.0,0.0,26.99,26.99,26.99,0.0,0.0
2018-04-08,28.35,28.35,28.35,0.0,0.0,28.35,28.35,28.35,0.0,0.0,27.16,27.16,27.16,0.0,0.0,27.42,27.42,27.42,0.0,0.0
2018-04-15,26.66,26.66,26.66,0.0,0.0,26.76,26.76,26.76,0.0,0.0,26.15,26.15,26.15,0.0,0.0,26.38,26.38,26.38,0.0,0.0
2018-04-22,26.65,26.65,26.65,0.0,0.0,26.84,26.84,26.84,0.0,0.0,26.2,26.2,26.2,0.0,0.0,26.2,26.2,26.2,0.0,0.0
2018-04-29,26.41,26.41,26.41,0.0,0.0,26.85,26.85,26.85,0.0,0.0,26.41,26.41,26.41,0.0,0.0,26.74,26.74,26.74,0.0,0.0
2018-05-06,27.62,27.62,27.62,0.0,0.0,27.96,27.96,27.96,0.0,0.0,27.62,27.62,27.62,0.0,0.0,27.88,27.88,27.88,0.0,0.0
2018-05-13,28.11,28.11,28.11,0.0,0.0,28.37,28.37,28.37,0.0,0.0,27.74,27.74,27.74,0.0,0.0,27.82,27.82,27.82,0.0,0.0
2018-05-20,28.3,28.3,28.3,0.0,0.0,28.56,28.56,28.56,0.0,0.0,28.28,28.28,28.28,0.0,0.0,28.35,28.35,28.35,0.0,0.0
2018-05-27,28.26,28.26,28.26,0.0,0.0,28.26,28.26,28.26,0.0,0.0,26.79,26.79,26.79,0.0,0.0,27.19,27.19,27.19,0.0,0.0
2018-06-03,27.04,27.04,27.04,0.0,0.0,27.04,27.04,27.04,0.0,0.0,26.52,26.52,26.52,0.0,0.0,26.61,26.61,26.61,0.0,0.0
2018-06-10,26.38,26.38,26.38,0.0,0.0,26.38,26.38,26.38,0.0,0.0,26.0,26.0,26.0,0.0,0.0,26.06,26.06,26.06,0.0,0.0
2018-06-17,25.35,25.35,25.35,0.0,0.0,25.5,25.5,25.5,0.0,0.0,25.0,25.0,25.0,0.0,0.0,25.01,25.01,25.01,0.0,0.0
