Date,iShares US TechnologyEtf_Open_average,iShares US TechnologyEtf_Open_max,iShares US TechnologyEtf_Open_min,iShares US TechnologyEtf_Open_volatility,iShares US TechnologyEtf_Open_change,iShares US TechnologyEtf_High_average,iShares US TechnologyEtf_High_max,iShares US TechnologyEtf_High_min,iShares US TechnologyEtf_High_volatility,iShares US TechnologyEtf_High_change,iShares US TechnologyEtf_Low_average,iShares US TechnologyEtf_Low_max,iShares US TechnologyEtf_Low_min,iShares US TechnologyEtf_Low_volatility,iShares US TechnologyEtf_Low_change,iShares US TechnologyEtf_Close_average,iShares US TechnologyEtf_Close_max,iShares US TechnologyEtf_Close_min,iShares US TechnologyEtf_Close_volatility,iShares US TechnologyEtf_Close_change
2018-01-14,173.37,173.37,173.37,0.0,0.0,173.62,173.62,173.62,0.0,0.0,172.57,172.57,172.57,0.0,0.0,173.27,173.27,173.27,0.0,0.0
2018-01-21,174.99,174.99,174.99,0.0,0.0,176.6,176.6,176.6,0.0,0.0,174.62,174.62,174.62,0.0,0.0,176.58,176.58,176.58,0.0,0.0
2018-01-28,172.39,172.39,172.39,0.0,0.0,172.68,172.68,172.68,0.0,0.0,169.29,169.29,169.29,0.0,0.0,169.29,169.29,169.29,0.0,0.0
2018-02-04,160.43,160.43,160.43,0.0,0.0,162.97,162.97,162.97,0.0,0.0,155.43,155.43,155.43,0.0,0.0,161.84,161.84,161.84,0.0,0.0
2018-02-11,171.76,171.76,171.76,0.0,0.0,173.7,173.7,173.7,0.0,0.0,171.51,171.51,171.51,0.0,0.0,171.74,171.74,171.74,0.0,0.0
2018-02-18,172.86,172.86,172.86,0.0,0.0,175.14,175.14,175.14,0.0,0.0,172.58,172.58,172.58,0.0,0.0,175.11,175.11,175.11,0.0,0.0
2018-02-25,170.3,170.3,170.3,0.0,0.0,174.57,174.57,174.57,0.0,0.0,169.83,169.83,169.83,0.0,0.0,174.3,174.3,174.3,0.0,0.0
2018-03-04,179.87,179.87,179.87,0.0,0.0,182.11,182.11,182.11,0.0,0.0,179.75,179.75,179.75,0.0,0.0,182.01,182.01,182.01,0.0,0.0
2018-03-11,180.85,180.85,180.85,0.0,0.0,181.32,181.32,181.32,0.0,0.0,180.13,180.13,180.13,0.0,0.0,180.21,180.21,180.21,0.0,0.0
2018-03-18,170.23,170.23,170.23,0.0,0.0,170.86,170.86,170.86,0.0,0.0,165.64,165.64,165.64,0.0,0.0,165.68,165.68,165.68,0.0,0.0
2018-03-25,166.08,166.08,166.08,0.0,0.0,170.01,170.01,170.01,0.0,0.0,164.67,164.67,164.67,0.0,0.0,168.21,168.21,168.21,0.0,0.0
2018-04-01,166.81,166.81,166.81,0.0,0.0,168.47,168.47,168.47,0.0,0.0,163.89,163.89,163.89,0.0,0.0,164.57,164.57,164.57,0.0,0.0
2018-04-08,172.77,172.77,172.77,0.0,0.0,172.77,172.77,172.77,0.0,0.0,170.08,170.08,170.08,0.0,0.0,170.88,170.88,170.88,0.0,0.0
2018-04-15,172.4,172.4,172.4,0.0,0.0,172.4,172.4,172.4,0.0,0.0,169.61,169.61,169.61,0.0,0.0,170.22,170.22,170.22,0.0,0.0
2018-04-22,171.35,171.35,171.35,0.0,0.0,171.64,171.64,171.64,0.0,0.0,168.02,168.02,168.02,0.0,0.0,169.03,169.03,169.03,0.0,0.0
2018-04-29,169.94,169.94,169.94,0.0,0.0,174.44,174.44,174.44,0.0,0.0,169.77,169.77,169.77,0.0,0.0,174.09,174.09,174.09,0.0,0.0
2018-05-06,180.63,180.63,180.63,0.0,0.0,181.11,181.11,181.11,0.0,0.0,179.84,179.84,179.84,0.0,0.0,180.42,180.42,180.42,0.0,0.0
