Date,GENEStock_Open_average,GENEStock_Open_max,GENEStock_Open_min,GENEStock_Open_volatility,GENEStock_Open_change,GENEStock_High_average,GENEStock_High_max,GENEStock_High_min,GENEStock_High_volatility,GENEStock_High_change,GENEStock_Low_average,GENEStock_Low_max,GENEStock_Low_min,GENEStock_Low_volatility,GENEStock_Low_change,GENEStock_Close_average,GENEStock_Close_max,GENEStock_Close_min,GENEStock_Close_volatility,GENEStock_Close_change,GENEStock_Volume_average,GENEStock_Volume_max,GENEStock_Volume_min,GENEStock_Volume_volatility,GENEStock_Volume_change
2018-01-14,7.220000000000001,7.48,7.0,0.4800000000000004,-0.20000000000000018,7.5,8.2,7.12,1.0799999999999992,-0.08000000000000007,6.79,7.0,6.48,0.5199999999999996,-0.27999999999999936,7.140000000000001,7.36,6.96,0.40000000000000036,-0.16000000000000014,246135,485596,95037,390559,-178652
2018-01-21,6.992,7.24,6.64,0.6000000000000005,0.28000000000000025,7.172,7.52,6.82,0.6999999999999993,0.3200000000000003,6.712,7.0,6.32,0.6799999999999997,0.6799999999999997,6.92,7.24,6.68,0.5600000000000005,0.5600000000000005,69024,92867,46165,46702,14547
2018-01-28,7.8,7.8,7.8,0.0,0.0,7.8,7.8,7.8,0.0,0.0,7.12,7.12,7.12,0.0,0.0,7.4,7.4,7.4,0.0,0.0,118612,118612,118612,0,0
2018-02-04,6.84,6.84,6.84,0.0,0.0,7.0,7.0,7.0,0.0,0.0,5.4,5.4,5.4,0.0,0.0,6.36,6.36,6.36,0.0,0.0,186174,186174,186174,0,0
2018-02-11,6.32,6.32,6.32,0.0,0.0,6.44,6.44,6.44,0.0,0.0,5.92,5.92,5.92,0.0,0.0,6.2,6.2,6.2,0.0,0.0,64866,64866,64866,0,0
2018-02-18,6.58,6.88,6.2,0.6799999999999997,-0.35999999999999943,7.05,7.32,6.76,0.5600000000000005,0.040000000000000036,6.2375,6.39,6.04,0.34999999999999964,-0.1200000000000001,6.63,6.96,6.24,0.7199999999999998,-0.040000000000000036,46662,61124,23872,37252,-37252
2018-02-25,5.902,6.64,5.4,1.2399999999999993,-1.2399999999999993,6.016,6.72,5.52,1.2000000000000002,-1.2000000000000002,5.5200000000000005,6.2,4.92,1.2800000000000002,-1.2800000000000002,5.624,6.2,4.92,1.2800000000000002,-1.2800000000000002,52616,105200,7765,97435,-71021
2018-03-04,5.368,5.76,4.64,1.12,0.7200000000000006,5.808,6.36,5.16,1.2000000000000002,0.35999999999999943,5.216,5.64,4.64,1.0,0.5600000000000005,5.456,5.92,4.92,1.0,0.4800000000000004,52497,150838,21313,129525,2874
2018-03-11,5.152,5.44,4.84,0.6000000000000005,-0.6000000000000005,5.312,5.56,5.08,0.47999999999999954,-0.3600000000000003,4.992,5.24,4.76,0.4800000000000004,-0.4400000000000004,5.088,5.36,4.8,0.5600000000000005,-0.3600000000000003,20486,30660,14984,15676,12955
2018-03-18,5.096,5.16,5.04,0.1200000000000001,0.0,5.328,5.64,5.04,0.5999999999999996,-0.3600000000000003,4.92,5.04,4.76,0.28000000000000025,-0.1200000000000001,5.032,5.2,4.84,0.3600000000000003,-0.3600000000000003,15883,26259,10407,15852,6283
2018-03-25,4.75,4.96,4.52,0.4400000000000004,-0.40000000000000036,4.76,4.96,4.52,0.4400000000000004,-0.4400000000000004,4.45,4.72,4.08,0.6399999999999997,-0.6399999999999997,4.56,4.96,4.16,0.7999999999999998,-0.7999999999999998,18548,29982,7840,22142,4778
2018-04-01,4.37,4.6,4.2,0.39999999999999947,0.28000000000000025,4.484,4.62,4.28,0.33999999999999986,0.23999999999999932,4.236,4.44,4.08,0.3600000000000003,0.3600000000000003,4.392,4.52,4.16,0.35999999999999943,0.35999999999999943,4795,8840,2076,6764,-829
2018-04-08,5.072,5.68,4.56,1.12,1.12,5.398,5.88,4.8,1.08,0.8799999999999999,4.96,5.44,4.56,0.8800000000000008,0.8800000000000008,5.255999999999999,5.64,4.72,0.9199999999999999,0.9199999999999999,36318,97837,15777,82060,10531
