Date,iShares Edge US Fxd Incm Bal Rsk_Open_average,iShares Edge US Fxd Incm Bal Rsk_Open_max,iShares Edge US Fxd Incm Bal Rsk_Open_min,iShares Edge US Fxd Incm Bal Rsk_Open_volatility,iShares Edge US Fxd Incm Bal Rsk_Open_change,iShares Edge US Fxd Incm Bal Rsk_High_average,iShares Edge US Fxd Incm Bal Rsk_High_max,iShares Edge US Fxd Incm Bal Rsk_High_min,iShares Edge US Fxd Incm Bal Rsk_High_volatility,iShares Edge US Fxd Incm Bal Rsk_High_change,iShares Edge US Fxd Incm Bal Rsk_Low_average,iShares Edge US Fxd Incm Bal Rsk_Low_max,iShares Edge US Fxd Incm Bal Rsk_Low_min,iShares Edge US Fxd Incm Bal Rsk_Low_volatility,iShares Edge US Fxd Incm Bal Rsk_Low_change,iShares Edge US Fxd Incm Bal Rsk_Close_average,iShares Edge US Fxd Incm Bal Rsk_Close_max,iShares Edge US Fxd Incm Bal Rsk_Close_min,iShares Edge US Fxd Incm Bal Rsk_Close_volatility,iShares Edge US Fxd Incm Bal Rsk_Close_change
2018-01-14,99.51,99.51,99.51,0.0,0.0,99.56,99.56,99.56,0.0,0.0,99.38,99.38,99.38,0.0,0.0,99.53,99.53,99.53,0.0,0.0
2018-01-21,99.25,99.25,99.25,0.0,0.0,99.3,99.3,99.3,0.0,0.0,99.15,99.15,99.15,0.0,0.0,99.19,99.19,99.19,0.0,0.0
2018-01-28,98.59,98.59,98.59,0.0,0.0,98.95,98.95,98.95,0.0,0.0,98.46,98.46,98.46,0.0,0.0,98.8,98.8,98.8,0.0,0.0
2018-02-04,98.31,98.31,98.31,0.0,0.0,98.36,98.36,98.36,0.0,0.0,98.2,98.2,98.2,0.0,0.0,98.34,98.34,98.34,0.0,0.0
2018-02-11,98.18,98.18,98.18,0.0,0.0,98.22,98.22,98.22,0.0,0.0,98.03,98.03,98.03,0.0,0.0,98.22,98.22,98.22,0.0,0.0
2018-02-18,98.23,98.23,98.23,0.0,0.0,98.45,98.45,98.45,0.0,0.0,98.1,98.1,98.1,0.0,0.0,98.12,98.12,98.12,0.0,0.0
2018-02-25,97.95,97.95,97.95,0.0,0.0,97.95,97.95,97.95,0.0,0.0,97.64,97.64,97.64,0.0,0.0,97.77,97.77,97.77,0.0,0.0
2018-03-04,97.85,97.85,97.85,0.0,0.0,97.87,97.87,97.87,0.0,0.0,97.63,97.63,97.63,0.0,0.0,97.87,97.87,97.87,0.0,0.0
2018-03-11,97.63,97.63,97.63,0.0,0.0,97.65,97.65,97.65,0.0,0.0,97.55,97.55,97.55,0.0,0.0,97.55,97.55,97.55,0.0,0.0
2018-03-18,97.7,97.7,97.7,0.0,0.0,97.79,97.79,97.79,0.0,0.0,97.57,97.57,97.57,0.0,0.0,97.58,97.58,97.58,0.0,0.0
2018-03-25,97.48,97.48,97.48,0.0,0.0,97.63,97.63,97.63,0.0,0.0,97.48,97.48,97.48,0.0,0.0,97.63,97.63,97.63,0.0,0.0
2018-04-01,97.86,97.86,97.86,0.0,0.0,97.89,97.89,97.89,0.0,0.0,97.67,97.67,97.67,0.0,0.0,97.76,97.76,97.76,0.0,0.0
2018-04-08,97.7,97.7,97.7,0.0,0.0,97.89,97.89,97.89,0.0,0.0,97.69,97.69,97.69,0.0,0.0,97.76,97.76,97.76,0.0,0.0
2018-04-15,97.42,97.42,97.42,0.0,0.0,97.44,97.44,97.44,0.0,0.0,97.14,97.14,97.14,0.0,0.0,97.42,97.42,97.42,0.0,0.0
2018-04-22,97.3,97.3,97.3,0.0,0.0,97.38,97.38,97.38,0.0,0.0,97.25,97.25,97.25,0.0,0.0,97.38,97.38,97.38,0.0,0.0
2018-04-29,97.13,97.13,97.13,0.0,0.0,97.15,97.15,97.15,0.0,0.0,97.0,97.0,97.0,0.0,0.0,97.0,97.0,97.0,0.0,0.0
2018-05-06,96.99,96.99,96.99,0.0,0.0,97.11,97.11,97.11,0.0,0.0,96.86,96.86,96.86,0.0,0.0,96.98,96.98,96.98,0.0,0.0
2018-05-13,96.8,96.8,96.8,0.0,0.0,96.83,96.83,96.83,0.0,0.0,96.58,96.58,96.58,0.0,0.0,96.79,96.79,96.79,0.0,0.0
2018-05-20,97.35,97.35,97.35,0.0,0.0,97.36,97.36,97.36,0.0,0.0,97.06,97.06,97.06,0.0,0.0,97.06,97.06,97.06,0.0,0.0
2018-05-27,97.06,97.06,97.06,0.0,0.0,97.08,97.08,97.08,0.0,0.0,96.78,96.78,96.78,0.0,0.0,97.06,97.06,97.06,0.0,0.0
2018-06-03,96.89,96.89,96.89,0.0,0.0,97.0,97.0,97.0,0.0,0.0,96.76,96.76,96.76,0.0,0.0,97.0,97.0,97.0,0.0,0.0
2018-06-10,97.16,97.16,97.16,0.0,0.0,97.18,97.18,97.18,0.0,0.0,96.92,96.92,96.92,0.0,0.0,97.02,97.02,97.02,0.0,0.0
2018-06-17,97.1,97.1,97.1,0.0,0.0,97.17,97.17,97.17,0.0,0.0,96.94,96.94,96.94,0.0,0.0,96.94,96.94,96.94,0.0,0.0
2018-06-24,96.88,96.88,96.88,0.0,0.0,96.88,96.88,96.88,0.0,0.0,96.56,96.56,96.56,0.0,0.0,96.7,96.7,96.7,0.0,0.0
2018-07-01,96.71,96.71,96.71,0.0,0.0,96.99,96.99,96.99,0.0,0.0,96.71,96.71,96.71,0.0,0.0,96.84,96.84,96.84,0.0,0.0
2018-07-08,97.04,97.04,97.04,0.0,0.0,97.18,97.18,97.18,0.0,0.0,96.91,96.91,96.91,0.0,0.0,97.04,97.04,97.04,0.0,0.0
2018-07-15,97.24,97.24,97.24,0.0,0.0,97.24,97.24,97.24,0.0,0.0,96.97,96.97,96.97,0.0,0.0,97.08,97.08,97.08,0.0,0.0
2018-07-22,97.12,97.12,97.12,0.0,0.0,97.29,97.29,97.29,0.0,0.0,97.11,97.11,97.11,0.0,0.0,97.28,97.28,97.28,0.0,0.0
2018-07-29,97.06,97.06,97.06,0.0,0.0,97.35,97.35,97.35,0.0,0.0,97.06,97.06,97.06,0.0,0.0,97.23,97.23,97.23,0.0,0.0
2018-08-05,97.33,97.33,97.33,0.0,0.0,97.56,97.56,97.56,0.0,0.0,97.32,97.32,97.32,0.0,0.0,97.56,97.56,97.56,0.0,0.0
2018-08-12,97.66,97.66,97.66,0.0,0.0,97.75,97.75,97.75,0.0,0.0,97.61,97.61,97.61,0.0,0.0,97.75,97.75,97.75,0.0,0.0
2018-08-19,97.6,97.6,97.6,0.0,0.0,97.85,97.85,97.85,0.0,0.0,97.58,97.58,97.58,0.0,0.0,97.58,97.58,97.58,0.0,0.0
2018-08-26,97.63,97.63,97.63,0.0,0.0,97.88,97.88,97.88,0.0,0.0,97.62,97.62,97.62,0.0,0.0,97.76,97.76,97.76,0.0,0.0
2018-09-02,96.99,96.99,96.99,0.0,0.0,97.27,97.27,97.27,0.0,0.0,96.99,96.99,96.99,0.0,0.0,97.1,97.1,97.1,0.0,0.0
2018-09-09,97.15,97.15,97.15,0.0,0.0,97.26,97.26,97.26,0.0,0.0,97.15,97.15,97.15,0.0,0.0,97.26,97.26,97.26,0.0,0.0
2018-09-16,96.99,96.99,96.99,0.0,0.0,97.05,97.05,97.05,0.0,0.0,96.85,96.85,96.85,0.0,0.0,97.03,97.03,97.03,0.0,0.0
2018-09-23,96.92,96.92,96.92,0.0,0.0,97.06,97.06,97.06,0.0,0.0,96.78,96.78,96.78,0.0,0.0,97.0,97.0,97.0,0.0,0.0
2018-09-30,96.04,96.04,96.04,0.0,0.0,96.29,96.29,96.29,0.0,0.0,95.98,95.98,95.98,0.0,0.0,96.03,96.03,96.03,0.0,0.0
2018-10-07,96.37,96.37,96.37,0.0,0.0,96.37,96.37,96.37,0.0,0.0,96.08,96.08,96.08,0.0,0.0,96.08,96.08,96.08,0.0,0.0
2018-10-14,96.25,96.25,96.25,0.0,0.0,96.25,96.25,96.25,0.0,0.0,95.91,95.91,95.91,0.0,0.0,96.18,96.18,96.18,0.0,0.0
2018-10-21,96.03,96.03,96.03,0.0,0.0,96.3,96.3,96.3,0.0,0.0,96.01,96.01,96.01,0.0,0.0,96.17,96.17,96.17,0.0,0.0
2018-10-28,95.76,95.76,95.76,0.0,0.0,95.79,95.79,95.79,0.0,0.0,95.51,95.51,95.51,0.0,0.0,95.79,95.79,95.79,0.0,0.0
