Date,iShares Transportation Average_Open_average,iShares Transportation Average_Open_max,iShares Transportation Average_Open_min,iShares Transportation Average_Open_volatility,iShares Transportation Average_Open_change,iShares Transportation Average_High_average,iShares Transportation Average_High_max,iShares Transportation Average_High_min,iShares Transportation Average_High_volatility,iShares Transportation Average_High_change,iShares Transportation Average_Low_average,iShares Transportation Average_Low_max,iShares Transportation Average_Low_min,iShares Transportation Average_Low_volatility,iShares Transportation Average_Low_change,iShares Transportation Average_Close_average,iShares Transportation Average_Close_max,iShares Transportation Average_Close_min,iShares Transportation Average_Close_volatility,iShares Transportation Average_Close_change
2018-01-14,203.8,203.8,203.8,0.0,0.0,204.05,204.05,204.05,0.0,0.0,202.33,202.33,202.33,0.0,0.0,204.01,204.01,204.01,0.0,0.0
2018-01-21,198.7,198.7,198.7,0.0,0.0,200.57,200.57,200.57,0.0,0.0,198.61,198.61,198.61,0.0,0.0,200.5,200.5,200.5,0.0,0.0
2018-01-28,195.72,195.72,195.72,0.0,0.0,195.94,195.94,195.94,0.0,0.0,192.25,192.25,192.25,0.0,0.0,192.33,192.33,192.33,0.0,0.0
2018-02-04,182.98,182.98,182.98,0.0,0.0,184.0,184.0,184.0,0.0,0.0,176.62,176.62,176.62,0.0,0.0,182.63,182.63,182.63,0.0,0.0
2018-02-11,189.29,189.29,189.29,0.0,0.0,191.34,191.34,191.34,0.0,0.0,188.88,188.88,188.88,0.0,0.0,189.34,189.34,189.34,0.0,0.0
2018-02-18,189.98,189.98,189.98,0.0,0.0,190.97,190.97,190.97,0.0,0.0,188.98,188.98,188.98,0.0,0.0,190.97,190.97,190.97,0.0,0.0
2018-02-25,185.06,185.06,185.06,0.0,0.0,187.19,187.19,187.19,0.0,0.0,183.28,183.28,183.28,0.0,0.0,186.72,186.72,186.72,0.0,0.0
2018-03-04,190.87,190.87,190.87,0.0,0.0,194.07,194.07,194.07,0.0,0.0,190.02,190.02,190.02,0.0,0.0,194.03,194.03,194.03,0.0,0.0
2018-03-11,191.85,191.85,191.85,0.0,0.0,194.25,194.25,194.25,0.0,0.0,191.85,191.85,191.85,0.0,0.0,193.23,193.23,193.23,0.0,0.0
2018-03-18,186.26,186.26,186.26,0.0,0.0,187.59,187.59,187.59,0.0,0.0,182.44,182.44,182.44,0.0,0.0,182.77,182.77,182.77,0.0,0.0
2018-03-25,184.84,184.84,184.84,0.0,0.0,188.55,188.55,188.55,0.0,0.0,184.84,184.84,184.84,0.0,0.0,187.03,187.03,187.03,0.0,0.0
2018-04-01,186.38,186.38,186.38,0.0,0.0,186.86,186.86,186.86,0.0,0.0,180.61,180.61,180.61,0.0,0.0,182.45,182.45,182.45,0.0,0.0
2018-04-08,188.16,188.16,188.16,0.0,0.0,188.16,188.16,188.16,0.0,0.0,185.87,185.87,185.87,0.0,0.0,186.45,186.45,186.45,0.0,0.0
2018-04-15,192.0,192.0,192.0,0.0,0.0,192.37,192.37,192.37,0.0,0.0,189.6,189.6,189.6,0.0,0.0,190.19,190.19,190.19,0.0,0.0
2018-04-22,188.41,188.41,188.41,0.0,0.0,190.21,190.21,190.21,0.0,0.0,187.42,187.42,187.42,0.0,0.0,190.01,190.01,190.01,0.0,0.0
