Date,Credit Suisse FI Large Cap Growth Enhanced_Open_average,Credit Suisse FI Large Cap Growth Enhanced_Open_max,Credit Suisse FI Large Cap Growth Enhanced_Open_min,Credit Suisse FI Large Cap Growth Enhanced_Open_volatility,Credit Suisse FI Large Cap Growth Enhanced_Open_change,Credit Suisse FI Large Cap Growth Enhanced_High_average,Credit Suisse FI Large Cap Growth Enhanced_High_max,Credit Suisse FI Large Cap Growth Enhanced_High_min,Credit Suisse FI Large Cap Growth Enhanced_High_volatility,Credit Suisse FI Large Cap Growth Enhanced_High_change,Credit Suisse FI Large Cap Growth Enhanced_Low_average,Credit Suisse FI Large Cap Growth Enhanced_Low_max,Credit Suisse FI Large Cap Growth Enhanced_Low_min,Credit Suisse FI Large Cap Growth Enhanced_Low_volatility,Credit Suisse FI Large Cap Growth Enhanced_Low_change,Credit Suisse FI Large Cap Growth Enhanced_Close_average,Credit Suisse FI Large Cap Growth Enhanced_Close_max,Credit Suisse FI Large Cap Growth Enhanced_Close_min,Credit Suisse FI Large Cap Growth Enhanced_Close_volatility,Credit Suisse FI Large Cap Growth Enhanced_Close_change
2018-01-14,254.7,254.7,254.7,0.0,0.0,257.14,257.14,257.14,0.0,0.0,253.65,253.65,253.65,0.0,0.0,257.14,257.14,257.14,0.0,0.0
2018-01-21,262.84,262.84,262.84,0.0,0.0,264.5,264.5,264.5,0.0,0.0,260.98,260.98,260.98,0.0,0.0,261.31,261.31,261.31,0.0,0.0
2018-01-28,242.0,242.0,242.0,0.0,0.0,248.0,248.0,248.0,0.0,0.0,229.06,229.06,229.06,0.0,0.0,229.06,229.06,229.06,0.0,0.0
2018-02-04,228.53,228.53,228.53,0.0,0.0,231.81,231.81,231.81,0.0,0.0,224.33,224.33,224.33,0.0,0.0,231.57,231.57,231.57,0.0,0.0
2018-02-11,242.09,242.09,242.09,0.0,0.0,247.5,247.5,247.5,0.0,0.0,242.09,242.09,242.09,0.0,0.0,245.8,245.8,245.8,0.0,0.0
2018-02-18,248.32,248.32,248.32,0.0,0.0,255.23,255.23,255.23,0.0,0.0,248.32,248.32,248.32,0.0,0.0,254.63,254.63,254.63,0.0,0.0
2018-02-25,238.19,238.19,238.19,0.0,0.0,246.62,246.62,246.62,0.0,0.0,238.19,238.19,238.19,0.0,0.0,246.62,246.62,246.62,0.0,0.0
2018-03-04,260.94,260.94,260.94,0.0,0.0,260.94,260.94,260.94,0.0,0.0,259.32,259.32,259.32,0.0,0.0,260.06,260.06,260.06,0.0,0.0
2018-03-11,250.05,250.05,250.05,0.0,0.0,250.21,250.21,250.21,0.0,0.0,243.42,243.42,243.42,0.0,0.0,243.42,243.42,243.42,0.0,0.0
2018-03-18,230.52,230.52,230.52,0.0,0.0,235.51,235.51,235.51,0.0,0.0,227.7,227.7,227.7,0.0,0.0,235.12,235.12,235.12,0.0,0.0
