Date,VanEck Vectors Junior Gold MinersEtf_Open_average,VanEck Vectors Junior Gold MinersEtf_Open_max,VanEck Vectors Junior Gold MinersEtf_Open_min,VanEck Vectors Junior Gold MinersEtf_Open_volatility,VanEck Vectors Junior Gold MinersEtf_Open_change,VanEck Vectors Junior Gold MinersEtf_High_average,VanEck Vectors Junior Gold MinersEtf_High_max,VanEck Vectors Junior Gold MinersEtf_High_min,VanEck Vectors Junior Gold MinersEtf_High_volatility,VanEck Vectors Junior Gold MinersEtf_High_change,VanEck Vectors Junior Gold MinersEtf_Low_average,VanEck Vectors Junior Gold MinersEtf_Low_max,VanEck Vectors Junior Gold MinersEtf_Low_min,VanEck Vectors Junior Gold MinersEtf_Low_volatility,VanEck Vectors Junior Gold MinersEtf_Low_change,VanEck Vectors Junior Gold MinersEtf_Close_average,VanEck Vectors Junior Gold MinersEtf_Close_max,VanEck Vectors Junior Gold MinersEtf_Close_min,VanEck Vectors Junior Gold MinersEtf_Close_volatility,VanEck Vectors Junior Gold MinersEtf_Close_change
2018-01-14,34.52,34.52,34.52,0.0,0.0,34.71,34.71,34.71,0.0,0.0,34.38,34.38,34.38,0.0,0.0,34.4,34.4,34.4,0.0,0.0
2018-01-21,34.75,34.75,34.75,0.0,0.0,35.1,35.1,35.1,0.0,0.0,34.6,34.6,34.6,0.0,0.0,34.79,34.79,34.79,0.0,0.0
2018-01-28,33.01,33.01,33.01,0.0,0.0,33.06,33.06,33.06,0.0,0.0,32.12,32.12,32.12,0.0,0.0,32.29,32.29,32.29,0.0,0.0
2018-02-04,31.34,31.34,31.34,0.0,0.0,31.35,31.35,31.35,0.0,0.0,29.88,29.88,29.88,0.0,0.0,30.63,30.63,30.63,0.0,0.0
2018-02-11,33.14,33.14,33.14,0.0,0.0,33.36,33.36,33.36,0.0,0.0,32.13,32.13,32.13,0.0,0.0,32.51,32.51,32.51,0.0,0.0
2018-02-18,31.58,31.58,31.58,0.0,0.0,32.06,32.06,32.06,0.0,0.0,31.48,31.48,31.48,0.0,0.0,31.91,31.91,31.91,0.0,0.0
2018-02-25,32.15,32.15,32.15,0.0,0.0,32.34,32.34,32.34,0.0,0.0,31.67,31.67,31.67,0.0,0.0,31.73,31.73,31.73,0.0,0.0
2018-03-04,31.57,31.57,31.57,0.0,0.0,32.13,32.13,32.13,0.0,0.0,31.55,31.55,31.55,0.0,0.0,31.72,31.72,31.72,0.0,0.0
2018-03-11,31.54,31.54,31.54,0.0,0.0,31.57,31.57,31.57,0.0,0.0,31.17,31.17,31.17,0.0,0.0,31.41,31.41,31.41,0.0,0.0
2018-03-18,32.81,32.81,32.81,0.0,0.0,33.15,33.15,33.15,0.0,0.0,32.61,32.61,32.61,0.0,0.0,32.78,32.78,32.78,0.0,0.0
2018-03-25,31.69,31.69,31.69,0.0,0.0,32.17,32.17,32.17,0.0,0.0,31.68,31.68,31.68,0.0,0.0,32.15,32.15,32.15,0.0,0.0
2018-04-01,32.42,32.42,32.42,0.0,0.0,32.5,32.5,32.5,0.0,0.0,32.18,32.18,32.18,0.0,0.0,32.39,32.39,32.39,0.0,0.0
2018-04-08,33.16,33.16,33.16,0.0,0.0,33.69,33.69,33.69,0.0,0.0,33.16,33.16,33.16,0.0,0.0,33.49,33.49,33.49,0.0,0.0
2018-04-15,33.64,33.64,33.64,0.0,0.0,33.68,33.68,33.68,0.0,0.0,33.37,33.37,33.37,0.0,0.0,33.49,33.49,33.49,0.0,0.0
2018-04-22,33.1,33.1,33.1,0.0,0.0,33.1,33.1,33.1,0.0,0.0,32.88,32.88,32.88,0.0,0.0,33.03,33.03,33.03,0.0,0.0
2018-04-29,33.29,33.29,33.29,0.0,0.0,33.61,33.61,33.61,0.0,0.0,33.16,33.16,33.16,0.0,0.0,33.55,33.55,33.55,0.0,0.0
2018-05-06,34.26,34.26,34.26,0.0,0.0,34.26,34.26,34.26,0.0,0.0,33.72,33.72,33.72,0.0,0.0,33.85,33.85,33.85,0.0,0.0
2018-05-13,32.65,32.65,32.65,0.0,0.0,33.06,33.06,33.06,0.0,0.0,32.58,32.58,32.58,0.0,0.0,32.84,32.84,32.84,0.0,0.0
2018-05-20,33.27,33.27,33.27,0.0,0.0,33.27,33.27,33.27,0.0,0.0,32.8,32.8,32.8,0.0,0.0,32.89,32.89,32.89,0.0,0.0
2018-05-27,32.71,32.71,32.71,0.0,0.0,32.96,32.96,32.96,0.0,0.0,32.51,32.51,32.51,0.0,0.0,32.8,32.8,32.8,0.0,0.0
2018-06-03,32.95,32.95,32.95,0.0,0.0,32.95,32.95,32.95,0.0,0.0,32.72,32.72,32.72,0.0,0.0,32.78,32.78,32.78,0.0,0.0
2018-06-10,32.84,32.84,32.84,0.0,0.0,32.85,32.85,32.85,0.0,0.0,32.56,32.56,32.56,0.0,0.0,32.71,32.71,32.71,0.0,0.0
2018-06-17,32.48,32.48,32.48,0.0,0.0,32.82,32.82,32.82,0.0,0.0,32.47,32.47,32.47,0.0,0.0,32.78,32.78,32.78,0.0,0.0
