Date,ProShares UltraPro MidCap400_Open_average,ProShares UltraPro MidCap400_Open_max,ProShares UltraPro MidCap400_Open_min,ProShares UltraPro MidCap400_Open_volatility,ProShares UltraPro MidCap400_Open_change,ProShares UltraPro MidCap400_High_average,ProShares UltraPro MidCap400_High_max,ProShares UltraPro MidCap400_High_min,ProShares UltraPro MidCap400_High_volatility,ProShares UltraPro MidCap400_High_change,ProShares UltraPro MidCap400_Low_average,ProShares UltraPro MidCap400_Low_max,ProShares UltraPro MidCap400_Low_min,ProShares UltraPro MidCap400_Low_volatility,ProShares UltraPro MidCap400_Low_change,ProShares UltraPro MidCap400_Close_average,ProShares UltraPro MidCap400_Close_max,ProShares UltraPro MidCap400_Close_min,ProShares UltraPro MidCap400_Close_volatility,ProShares UltraPro MidCap400_Close_change
2018-01-14,129.68,129.68,129.68,0.0,0.0,130.63,130.63,130.63,0.0,0.0,129.44,129.44,129.44,0.0,0.0,130.63,130.63,130.63,0.0,0.0
2018-01-21,131.8,131.8,131.8,0.0,0.0,132.09,132.09,132.09,0.0,0.0,129.39,129.39,129.39,0.0,0.0,129.46,129.46,129.46,0.0,0.0
2018-01-28,114.29,114.29,114.29,0.0,0.0,117.09,117.09,117.09,0.0,0.0,104.46,104.46,104.46,0.0,0.0,104.64,104.64,104.64,0.0,0.0
2018-02-04,101.93,101.93,101.93,0.0,0.0,103.68,103.68,103.68,0.0,0.0,98.78,98.78,98.78,0.0,0.0,102.78,102.78,102.78,0.0,0.0
2018-02-11,112.93,112.93,112.93,0.0,0.0,114.6,114.6,114.6,0.0,0.0,112.42,112.42,112.42,0.0,0.0,114.06,114.06,114.06,0.0,0.0
2018-02-18,114.19,114.19,114.19,0.0,0.0,115.7,115.7,115.7,0.0,0.0,113.0,113.0,113.0,0.0,0.0,115.7,115.7,115.7,0.0,0.0
2018-02-25,107.59,107.59,107.59,0.0,0.0,112.73,112.73,112.73,0.0,0.0,107.59,107.59,107.59,0.0,0.0,112.48,112.48,112.48,0.0,0.0
2018-03-04,123.29,123.29,123.29,0.0,0.0,123.29,123.29,123.29,0.0,0.0,122.06,122.06,122.06,0.0,0.0,122.71,122.71,122.71,0.0,0.0
2018-03-11,118.27,118.27,118.27,0.0,0.0,118.27,118.27,118.27,0.0,0.0,113.5,113.5,113.5,0.0,0.0,115.98,115.98,115.98,0.0,0.0
2018-03-18,105.71,105.71,105.71,0.0,0.0,108.57,108.57,108.57,0.0,0.0,103.45,103.45,103.45,0.0,0.0,108.38,108.38,108.38,0.0,0.0
