Date,iShares Edge MSCI USA Size FactorEtf_Open_average,iShares Edge MSCI USA Size FactorEtf_Open_max,iShares Edge MSCI USA Size FactorEtf_Open_min,iShares Edge MSCI USA Size FactorEtf_Open_volatility,iShares Edge MSCI USA Size FactorEtf_Open_change,iShares Edge MSCI USA Size FactorEtf_High_average,iShares Edge MSCI USA Size FactorEtf_High_max,iShares Edge MSCI USA Size FactorEtf_High_min,iShares Edge MSCI USA Size FactorEtf_High_volatility,iShares Edge MSCI USA Size FactorEtf_High_change,iShares Edge MSCI USA Size FactorEtf_Low_average,iShares Edge MSCI USA Size FactorEtf_Low_max,iShares Edge MSCI USA Size FactorEtf_Low_min,iShares Edge MSCI USA Size FactorEtf_Low_volatility,iShares Edge MSCI USA Size FactorEtf_Low_change,iShares Edge MSCI USA Size FactorEtf_Close_average,iShares Edge MSCI USA Size FactorEtf_Close_max,iShares Edge MSCI USA Size FactorEtf_Close_min,iShares Edge MSCI USA Size FactorEtf_Close_volatility,iShares Edge MSCI USA Size FactorEtf_Close_change
2018-01-14,86.42,86.42,86.42,0.0,0.0,86.76,86.76,86.76,0.0,0.0,86.42,86.42,86.42,0.0,0.0,86.72,86.72,86.72,0.0,0.0
2018-01-21,87.78,87.78,87.78,0.0,0.0,88.18,88.18,88.18,0.0,0.0,87.78,87.78,87.78,0.0,0.0,88.18,88.18,88.18,0.0,0.0
2018-01-28,86.51,86.51,86.51,0.0,0.0,86.51,86.51,86.51,0.0,0.0,85.34,85.34,85.34,0.0,0.0,85.44,85.44,85.44,0.0,0.0
2018-02-04,80.91,80.91,80.91,0.0,0.0,81.81,81.81,81.81,0.0,0.0,79.0,79.0,79.0,0.0,0.0,81.81,81.81,81.81,0.0,0.0
2018-02-11,84.49,84.49,84.49,0.0,0.0,84.9,84.9,84.9,0.0,0.0,84.49,84.49,84.49,0.0,0.0,84.66,84.66,84.66,0.0,0.0
2018-02-18,83.94,83.94,83.94,0.0,0.0,84.4,84.4,84.4,0.0,0.0,83.94,83.94,83.94,0.0,0.0,84.4,84.4,84.4,0.0,0.0
2018-02-25,81.9,81.9,81.9,0.0,0.0,82.65,82.65,82.65,0.0,0.0,81.9,81.9,81.9,0.0,0.0,82.45,82.45,82.45,0.0,0.0
2018-03-04,85.27,85.27,85.27,0.0,0.0,85.72,85.72,85.72,0.0,0.0,85.27,85.27,85.27,0.0,0.0,85.72,85.72,85.72,0.0,0.0
2018-03-11,85.28,85.28,85.28,0.0,0.0,85.39,85.39,85.39,0.0,0.0,85.25,85.25,85.25,0.0,0.0,85.39,85.39,85.39,0.0,0.0
2018-03-18,82.4,82.4,82.4,0.0,0.0,82.49,82.49,82.49,0.0,0.0,81.27,81.27,81.27,0.0,0.0,81.27,81.27,81.27,0.0,0.0
2018-03-25,82.17,82.17,82.17,0.0,0.0,83.01,83.01,83.01,0.0,0.0,82.17,82.17,82.17,0.0,0.0,82.85,82.85,82.85,0.0,0.0
2018-04-01,82.86,82.86,82.86,0.0,0.0,82.98,82.98,82.98,0.0,0.0,81.09,81.09,81.09,0.0,0.0,81.09,81.09,81.09,0.0,0.0
2018-04-08,82.96,82.96,82.96,0.0,0.0,82.96,82.96,82.96,0.0,0.0,82.47,82.47,82.47,0.0,0.0,82.47,82.47,82.47,0.0,0.0
2018-04-15,83.54,83.54,83.54,0.0,0.0,83.54,83.54,83.54,0.0,0.0,82.92,82.92,82.92,0.0,0.0,83.09,83.09,83.09,0.0,0.0
2018-04-22,83.08,83.08,83.08,0.0,0.0,83.13,83.13,83.13,0.0,0.0,83.08,83.08,83.08,0.0,0.0,83.13,83.13,83.13,0.0,0.0
2018-04-29,81.69,81.69,81.69,0.0,0.0,82.85,82.85,82.85,0.0,0.0,81.69,81.69,81.69,0.0,0.0,82.6,82.6,82.6,0.0,0.0
2018-05-06,84.0,84.0,84.0,0.0,0.0,84.18,84.18,84.18,0.0,0.0,83.79,83.79,83.79,0.0,0.0,83.79,83.79,83.79,0.0,0.0
2018-05-13,83.53,83.53,83.53,0.0,0.0,83.66,83.66,83.66,0.0,0.0,83.53,83.53,83.53,0.0,0.0,83.57,83.57,83.57,0.0,0.0
2018-05-20,84.05,84.05,84.05,0.0,0.0,84.05,84.05,84.05,0.0,0.0,83.99,83.99,83.99,0.0,0.0,83.99,83.99,83.99,0.0,0.0
2018-05-27,83.97,83.97,83.97,0.0,0.0,84.16,84.16,84.16,0.0,0.0,83.89,83.89,83.89,0.0,0.0,84.05,84.05,84.05,0.0,0.0
2018-06-03,85.11,85.11,85.11,0.0,0.0,85.44,85.44,85.44,0.0,0.0,85.11,85.11,85.11,0.0,0.0,85.44,85.44,85.44,0.0,0.0
2018-06-10,85.17,85.17,85.17,0.0,0.0,85.38,85.38,85.38,0.0,0.0,85.17,85.17,85.17,0.0,0.0,85.38,85.38,85.38,0.0,0.0
2018-06-17,85.3,85.3,85.3,0.0,0.0,85.43,85.43,85.43,0.0,0.0,85.3,85.3,85.3,0.0,0.0,85.43,85.43,85.43,0.0,0.0
2018-06-24,84.35,84.35,84.35,0.0,0.0,84.36,84.36,84.36,0.0,0.0,84.28,84.28,84.28,0.0,0.0,84.28,84.28,84.28,0.0,0.0
2018-07-01,84.96,84.96,84.96,0.0,0.0,85.3,85.3,85.3,0.0,0.0,84.96,84.96,84.96,0.0,0.0,85.18,85.18,85.18,0.0,0.0
2018-07-08,85.89,85.89,85.89,0.0,0.0,85.95,85.95,85.95,0.0,0.0,85.84,85.84,85.84,0.0,0.0,85.89,85.89,85.89,0.0,0.0
2018-07-15,85.91,85.91,85.91,0.0,0.0,85.99,85.99,85.99,0.0,0.0,85.8,85.8,85.8,0.0,0.0,85.94,85.94,85.94,0.0,0.0
2018-07-22,86.8,86.8,86.8,0.0,0.0,86.8,86.8,86.8,0.0,0.0,86.17,86.17,86.17,0.0,0.0,86.26,86.26,86.26,0.0,0.0
2018-07-29,86.72,86.72,86.72,0.0,0.0,86.99,86.99,86.99,0.0,0.0,86.68,86.68,86.68,0.0,0.0,86.87,86.87,86.87,0.0,0.0
2018-08-05,86.58,86.58,86.58,0.0,0.0,86.86,86.86,86.86,0.0,0.0,86.56,86.56,86.56,0.0,0.0,86.56,86.56,86.56,0.0,0.0
