Date,John Hancock Multifactor Materials_Open_average,John Hancock Multifactor Materials_Open_max,John Hancock Multifactor Materials_Open_min,John Hancock Multifactor Materials_Open_volatility,John Hancock Multifactor Materials_Open_change,John Hancock Multifactor Materials_High_average,John Hancock Multifactor Materials_High_max,John Hancock Multifactor Materials_High_min,John Hancock Multifactor Materials_High_volatility,John Hancock Multifactor Materials_High_change,John Hancock Multifactor Materials_Low_average,John Hancock Multifactor Materials_Low_max,John Hancock Multifactor Materials_Low_min,John Hancock Multifactor Materials_Low_volatility,John Hancock Multifactor Materials_Low_change,John Hancock Multifactor Materials_Close_average,John Hancock Multifactor Materials_Close_max,John Hancock Multifactor Materials_Close_min,John Hancock Multifactor Materials_Close_volatility,John Hancock Multifactor Materials_Close_change
2018-01-14,37.19,37.19,37.19,0.0,0.0,37.28,37.28,37.28,0.0,0.0,37.19,37.19,37.19,0.0,0.0,37.24,37.24,37.24,0.0,0.0
2018-01-21,37.81,37.81,37.81,0.0,0.0,37.84,37.84,37.84,0.0,0.0,37.72,37.72,37.72,0.0,0.0,37.72,37.72,37.72,0.0,0.0
2018-01-28,35.87,35.87,35.87,0.0,0.0,36.0,36.0,36.0,0.0,0.0,34.95,34.95,34.95,0.0,0.0,34.95,34.95,34.95,0.0,0.0
2018-02-04,34.67,34.67,34.67,0.0,0.0,34.8,34.8,34.8,0.0,0.0,34.67,34.67,34.67,0.0,0.0,34.8,34.8,34.8,0.0,0.0
2018-02-11,35.7,35.7,35.7,0.0,0.0,36.04,36.04,36.04,0.0,0.0,35.7,35.7,35.7,0.0,0.0,36.02,36.02,36.02,0.0,0.0
2018-02-18,36.17,36.17,36.17,0.0,0.0,36.23,36.23,36.23,0.0,0.0,36.17,36.17,36.17,0.0,0.0,36.23,36.23,36.23,0.0,0.0
2018-02-25,35.63,35.63,35.63,0.0,0.0,35.73,35.73,35.73,0.0,0.0,35.63,35.63,35.63,0.0,0.0,35.72,35.72,35.72,0.0,0.0
2018-03-04,36.29,36.29,36.29,0.0,0.0,36.33,36.33,36.33,0.0,0.0,36.29,36.29,36.29,0.0,0.0,36.33,36.33,36.33,0.0,0.0
2018-03-11,34.75,34.75,34.75,0.0,0.0,34.75,34.75,34.75,0.0,0.0,34.75,34.75,34.75,0.0,0.0,34.75,34.75,34.75,0.0,0.0
2018-03-18,33.85,33.85,33.85,0.0,0.0,33.85,33.85,33.85,0.0,0.0,33.85,33.85,33.85,0.0,0.0,33.85,33.85,33.85,0.0,0.0
