Date,iShares MSCI All Peru Capped_Open_average,iShares MSCI All Peru Capped_Open_max,iShares MSCI All Peru Capped_Open_min,iShares MSCI All Peru Capped_Open_volatility,iShares MSCI All Peru Capped_Open_change,iShares MSCI All Peru Capped_High_average,iShares MSCI All Peru Capped_High_max,iShares MSCI All Peru Capped_High_min,iShares MSCI All Peru Capped_High_volatility,iShares MSCI All Peru Capped_High_change,iShares MSCI All Peru Capped_Low_average,iShares MSCI All Peru Capped_Low_max,iShares MSCI All Peru Capped_Low_min,iShares MSCI All Peru Capped_Low_volatility,iShares MSCI All Peru Capped_Low_change,iShares MSCI All Peru Capped_Close_average,iShares MSCI All Peru Capped_Close_max,iShares MSCI All Peru Capped_Close_min,iShares MSCI All Peru Capped_Close_volatility,iShares MSCI All Peru Capped_Close_change
2018-01-14,43.49,43.49,43.49,0.0,0.0,43.57,43.57,43.57,0.0,0.0,43.28,43.28,43.28,0.0,0.0,43.57,43.57,43.57,0.0,0.0
2018-01-21,43.91,43.91,43.91,0.0,0.0,44.38,44.38,44.38,0.0,0.0,43.91,43.91,43.91,0.0,0.0,44.13,44.13,44.13,0.0,0.0
2018-01-28,42.07,42.07,42.07,0.0,0.0,42.47,42.47,42.47,0.0,0.0,41.38,41.38,41.38,0.0,0.0,41.74,41.74,41.74,0.0,0.0
2018-02-04,40.53,40.53,40.53,0.0,0.0,40.81,40.81,40.81,0.0,0.0,40.49,40.49,40.49,0.0,0.0,40.49,40.49,40.49,0.0,0.0
2018-02-11,42.07,42.07,42.07,0.0,0.0,42.27,42.27,42.27,0.0,0.0,41.87,41.87,41.87,0.0,0.0,41.97,41.97,41.97,0.0,0.0
2018-02-18,42.06,42.06,42.06,0.0,0.0,42.29,42.29,42.29,0.0,0.0,42.04,42.04,42.04,0.0,0.0,42.28,42.28,42.28,0.0,0.0
2018-02-25,41.71,41.71,41.71,0.0,0.0,42.25,42.25,42.25,0.0,0.0,41.71,41.71,41.71,0.0,0.0,42.25,42.25,42.25,0.0,0.0
2018-03-04,42.19,42.19,42.19,0.0,0.0,42.27,42.27,42.27,0.0,0.0,41.93,41.93,41.93,0.0,0.0,42.01,42.01,42.01,0.0,0.0
2018-03-11,41.22,41.22,41.22,0.0,0.0,41.3,41.3,41.3,0.0,0.0,41.07,41.07,41.07,0.0,0.0,41.25,41.25,41.25,0.0,0.0
2018-03-18,42.49,42.49,42.49,0.0,0.0,42.49,42.49,42.49,0.0,0.0,41.87,41.87,41.87,0.0,0.0,42.18,42.18,42.18,0.0,0.0
2018-03-25,42.57,42.57,42.57,0.0,0.0,42.68,42.68,42.68,0.0,0.0,42.33,42.33,42.33,0.0,0.0,42.48,42.48,42.48,0.0,0.0
2018-04-01,43.22,43.22,43.22,0.0,0.0,43.29,43.29,43.29,0.0,0.0,42.72,42.72,42.72,0.0,0.0,42.72,42.72,42.72,0.0,0.0
2018-04-08,43.29,43.29,43.29,0.0,0.0,43.63,43.63,43.63,0.0,0.0,43.29,43.29,43.29,0.0,0.0,43.59,43.59,43.59,0.0,0.0
2018-04-15,44.73,44.73,44.73,0.0,0.0,44.73,44.73,44.73,0.0,0.0,44.42,44.42,44.42,0.0,0.0,44.44,44.44,44.44,0.0,0.0
2018-04-22,44.09,44.09,44.09,0.0,0.0,44.09,44.09,44.09,0.0,0.0,43.7,43.7,43.7,0.0,0.0,43.76,43.76,43.76,0.0,0.0
2018-04-29,43.15,43.15,43.15,0.0,0.0,43.28,43.28,43.28,0.0,0.0,42.96,42.96,42.96,0.0,0.0,43.17,43.17,43.17,0.0,0.0
2018-05-06,43.55,43.55,43.55,0.0,0.0,43.61,43.61,43.61,0.0,0.0,43.11,43.11,43.11,0.0,0.0,43.17,43.17,43.17,0.0,0.0
2018-05-13,42.72,42.72,42.72,0.0,0.0,42.75,42.75,42.75,0.0,0.0,42.53,42.53,42.53,0.0,0.0,42.65,42.65,42.65,0.0,0.0
2018-05-20,42.44,42.44,42.44,0.0,0.0,42.7,42.7,42.7,0.0,0.0,42.44,42.44,42.44,0.0,0.0,42.59,42.59,42.59,0.0,0.0
2018-05-27,42.55,42.55,42.55,0.0,0.0,42.76,42.76,42.76,0.0,0.0,42.45,42.45,42.45,0.0,0.0,42.68,42.68,42.68,0.0,0.0
2018-06-03,42.67,42.67,42.67,0.0,0.0,42.89,42.89,42.89,0.0,0.0,42.67,42.67,42.67,0.0,0.0,42.75,42.75,42.75,0.0,0.0
2018-06-10,40.81,40.81,40.81,0.0,0.0,41.31,41.31,41.31,0.0,0.0,40.81,40.81,40.81,0.0,0.0,41.22,41.22,41.22,0.0,0.0
2018-06-17,40.09,40.09,40.09,0.0,0.0,40.09,40.09,40.09,0.0,0.0,39.56,39.56,39.56,0.0,0.0,39.69,39.69,39.69,0.0,0.0
2018-06-24,38.77,38.77,38.77,0.0,0.0,38.98,38.98,38.98,0.0,0.0,38.52,38.52,38.52,0.0,0.0,38.84,38.84,38.84,0.0,0.0
2018-07-01,39.33,39.33,39.33,0.0,0.0,39.85,39.85,39.85,0.0,0.0,39.19,39.19,39.19,0.0,0.0,39.81,39.81,39.81,0.0,0.0
2018-07-08,38.65,38.65,38.65,0.0,0.0,38.83,38.83,38.83,0.0,0.0,38.65,38.65,38.65,0.0,0.0,38.8,38.8,38.8,0.0,0.0
2018-07-15,39.07,39.07,39.07,0.0,0.0,39.45,39.45,39.45,0.0,0.0,39.07,39.07,39.07,0.0,0.0,39.42,39.42,39.42,0.0,0.0
2018-07-22,40.51,40.51,40.51,0.0,0.0,40.51,40.51,40.51,0.0,0.0,40.24,40.24,40.24,0.0,0.0,40.36,40.36,40.36,0.0,0.0
2018-07-29,39.6,39.6,39.6,0.0,0.0,39.6,39.6,39.6,0.0,0.0,39.06,39.06,39.06,0.0,0.0,39.14,39.14,39.14,0.0,0.0
2018-08-05,38.8,38.8,38.8,0.0,0.0,38.83,38.83,38.83,0.0,0.0,38.1,38.1,38.1,0.0,0.0,38.12,38.12,38.12,0.0,0.0
2018-08-12,37.28,37.28,37.28,0.0,0.0,37.53,37.53,37.53,0.0,0.0,37.26,37.26,37.26,0.0,0.0,37.36,37.36,37.36,0.0,0.0
2018-08-19,37.99,37.99,37.99,0.0,0.0,38.09,38.09,38.09,0.0,0.0,37.87,37.87,37.87,0.0,0.0,37.99,37.99,37.99,0.0,0.0
2018-08-26,36.96,36.96,36.96,0.0,0.0,37.15,37.15,37.15,0.0,0.0,36.86,36.86,36.86,0.0,0.0,36.96,36.96,36.96,0.0,0.0
2018-09-02,35.51,35.51,35.51,0.0,0.0,35.51,35.51,35.51,0.0,0.0,35.04,35.04,35.04,0.0,0.0,35.09,35.09,35.09,0.0,0.0
2018-09-09,35.05,35.05,35.05,0.0,0.0,35.62,35.62,35.62,0.0,0.0,35.04,35.04,35.04,0.0,0.0,35.32,35.32,35.32,0.0,0.0
2018-09-16,36.98,36.98,36.98,0.0,0.0,37.31,37.31,37.31,0.0,0.0,36.94,36.94,36.94,0.0,0.0,36.97,36.97,36.97,0.0,0.0
2018-09-23,36.88,36.88,36.88,0.0,0.0,37.18,37.18,37.18,0.0,0.0,36.88,36.88,36.88,0.0,0.0,37.1,37.1,37.1,0.0,0.0
2018-09-30,36.53,36.53,36.53,0.0,0.0,36.53,36.53,36.53,0.0,0.0,36.13,36.13,36.13,0.0,0.0,36.42,36.42,36.42,0.0,0.0
