Date,iShares Global Materials_Open_average,iShares Global Materials_Open_max,iShares Global Materials_Open_min,iShares Global Materials_Open_volatility,iShares Global Materials_Open_change,iShares Global Materials_High_average,iShares Global Materials_High_max,iShares Global Materials_High_min,iShares Global Materials_High_volatility,iShares Global Materials_High_change,iShares Global Materials_Low_average,iShares Global Materials_Low_max,iShares Global Materials_Low_min,iShares Global Materials_Low_volatility,iShares Global Materials_Low_change,iShares Global Materials_Close_average,iShares Global Materials_Close_max,iShares Global Materials_Close_min,iShares Global Materials_Close_volatility,iShares Global Materials_Close_change
2018-01-14,74.12,74.12,74.12,0.0,0.0,74.21,74.21,74.21,0.0,0.0,73.88,73.88,73.88,0.0,0.0,74.21,74.21,74.21,0.0,0.0
2018-01-21,75.1,75.1,75.1,0.0,0.0,75.19,75.19,75.19,0.0,0.0,74.54,74.54,74.54,0.0,0.0,74.54,74.54,74.54,0.0,0.0
2018-01-28,70.85,70.85,70.85,0.0,0.0,71.36,71.36,71.36,0.0,0.0,68.45,68.45,68.45,0.0,0.0,68.64,68.64,68.64,0.0,0.0
2018-02-04,68.6,68.6,68.6,0.0,0.0,69.37,69.37,69.37,0.0,0.0,68.12,68.12,68.12,0.0,0.0,69.19,69.19,69.19,0.0,0.0
2018-02-11,71.26,71.26,71.26,0.0,0.0,71.71,71.71,71.71,0.0,0.0,70.94,70.94,70.94,0.0,0.0,71.24,71.24,71.24,0.0,0.0
2018-02-18,71.78,71.78,71.78,0.0,0.0,72.19,72.19,72.19,0.0,0.0,71.38,71.38,71.38,0.0,0.0,72.19,72.19,72.19,0.0,0.0
2018-02-25,67.89,67.89,67.89,0.0,0.0,69.2,69.2,69.2,0.0,0.0,67.62,67.62,67.62,0.0,0.0,69.0,69.0,69.0,0.0,0.0
2018-03-04,70.52,70.52,70.52,0.0,0.0,70.71,70.71,70.71,0.0,0.0,70.31,70.31,70.31,0.0,0.0,70.57,70.57,70.57,0.0,0.0
2018-03-11,69.0,69.0,69.0,0.0,0.0,69.01,69.01,69.01,0.0,0.0,68.11,68.11,68.11,0.0,0.0,68.44,68.44,68.44,0.0,0.0
2018-03-18,67.48,67.48,67.48,0.0,0.0,67.72,67.72,67.72,0.0,0.0,66.74,66.74,66.74,0.0,0.0,67.64,67.64,67.64,0.0,0.0
2018-03-25,67.49,67.49,67.49,0.0,0.0,67.49,67.49,67.49,0.0,0.0,66.11,66.11,66.11,0.0,0.0,66.39,66.39,66.39,0.0,0.0
