Date,iShares MSCI Mexico Capped_Open_average,iShares MSCI Mexico Capped_Open_max,iShares MSCI Mexico Capped_Open_min,iShares MSCI Mexico Capped_Open_volatility,iShares MSCI Mexico Capped_Open_change,iShares MSCI Mexico Capped_High_average,iShares MSCI Mexico Capped_High_max,iShares MSCI Mexico Capped_High_min,iShares MSCI Mexico Capped_High_volatility,iShares MSCI Mexico Capped_High_change,iShares MSCI Mexico Capped_Low_average,iShares MSCI Mexico Capped_Low_max,iShares MSCI Mexico Capped_Low_min,iShares MSCI Mexico Capped_Low_volatility,iShares MSCI Mexico Capped_Low_change,iShares MSCI Mexico Capped_Close_average,iShares MSCI Mexico Capped_Close_max,iShares MSCI Mexico Capped_Close_min,iShares MSCI Mexico Capped_Close_volatility,iShares MSCI Mexico Capped_Close_change
2018-01-14,52.42,52.42,52.42,0.0,0.0,52.55,52.55,52.55,0.0,0.0,52.23,52.23,52.23,0.0,0.0,52.55,52.55,52.55,0.0,0.0
2018-01-21,53.77,53.77,53.77,0.0,0.0,53.88,53.88,53.88,0.0,0.0,53.21,53.21,53.21,0.0,0.0,53.32,53.32,53.32,0.0,0.0
2018-01-28,52.69,52.69,52.69,0.0,0.0,53.39,53.39,53.39,0.0,0.0,50.0,50.0,50.0,0.0,0.0,50.68,50.68,50.68,0.0,0.0
2018-02-04,50.56,50.56,50.56,0.0,0.0,51.22,51.22,51.22,0.0,0.0,49.92,49.92,49.92,0.0,0.0,50.62,50.62,50.62,0.0,0.0
2018-02-11,52.2,52.2,52.2,0.0,0.0,52.81,52.81,52.81,0.0,0.0,52.05,52.05,52.05,0.0,0.0,52.1,52.1,52.1,0.0,0.0
2018-02-18,51.7,51.7,51.7,0.0,0.0,51.82,51.82,51.82,0.0,0.0,51.27,51.27,51.27,0.0,0.0,51.64,51.64,51.64,0.0,0.0
2018-02-25,49.59,49.59,49.59,0.0,0.0,50.33,50.33,50.33,0.0,0.0,49.35,49.35,49.35,0.0,0.0,50.27,50.27,50.27,0.0,0.0
2018-03-04,51.9,51.9,51.9,0.0,0.0,52.26,52.26,52.26,0.0,0.0,51.75,51.75,51.75,0.0,0.0,52.06,52.06,52.06,0.0,0.0
2018-03-11,50.07,50.07,50.07,0.0,0.0,50.24,50.24,50.24,0.0,0.0,49.44,49.44,49.44,0.0,0.0,49.82,49.82,49.82,0.0,0.0
2018-03-18,50.88,50.88,50.88,0.0,0.0,51.19,51.19,51.19,0.0,0.0,49.8,49.8,49.8,0.0,0.0,51.15,51.15,51.15,0.0,0.0
2018-03-25,50.97,50.97,50.97,0.0,0.0,51.31,51.31,51.31,0.0,0.0,49.81,49.81,49.81,0.0,0.0,50.15,50.15,50.15,0.0,0.0
2018-04-01,52.52,52.52,52.52,0.0,0.0,52.88,52.88,52.88,0.0,0.0,52.18,52.18,52.18,0.0,0.0,52.2,52.2,52.2,0.0,0.0
2018-04-08,54.05,54.05,54.05,0.0,0.0,54.05,54.05,54.05,0.0,0.0,53.63,53.63,53.63,0.0,0.0,53.75,53.75,53.75,0.0,0.0
2018-04-15,51.6,51.6,51.6,0.0,0.0,51.92,51.92,51.92,0.0,0.0,51.0,51.0,51.0,0.0,0.0,51.11,51.11,51.11,0.0,0.0
2018-04-22,51.67,51.67,51.67,0.0,0.0,51.69,51.69,51.69,0.0,0.0,51.32,51.32,51.32,0.0,0.0,51.6,51.6,51.6,0.0,0.0
2018-04-29,48.62,48.62,48.62,0.0,0.0,48.78,48.78,48.78,0.0,0.0,47.54,47.54,47.54,0.0,0.0,47.58,47.58,47.58,0.0,0.0
2018-05-06,48.32,48.32,48.32,0.0,0.0,48.33,48.33,48.33,0.0,0.0,47.37,47.37,47.37,0.0,0.0,47.39,47.39,47.39,0.0,0.0
2018-05-13,45.81,45.81,45.81,0.0,0.0,45.98,45.98,45.98,0.0,0.0,45.33,45.33,45.33,0.0,0.0,45.38,45.38,45.38,0.0,0.0
2018-05-20,46.16,46.16,46.16,0.0,0.0,46.45,46.45,46.45,0.0,0.0,45.95,45.95,45.95,0.0,0.0,46.0,46.0,46.0,0.0,0.0
2018-05-27,45.04,45.04,45.04,0.0,0.0,45.21,45.21,45.21,0.0,0.0,44.84,44.84,44.84,0.0,0.0,44.97,44.97,44.97,0.0,0.0
2018-06-03,44.62,44.62,44.62,0.0,0.0,44.78,44.78,44.78,0.0,0.0,44.36,44.36,44.36,0.0,0.0,44.63,44.63,44.63,0.0,0.0
2018-06-10,44.63,44.63,44.63,0.0,0.0,45.18,45.18,45.18,0.0,0.0,44.26,44.26,44.26,0.0,0.0,45.17,45.17,45.17,0.0,0.0
