Date,iShares Broad USD Investment Grade Corporate Bond_etf_Open_average,iShares Broad USD Investment Grade Corporate Bond_etf_Open_max,iShares Broad USD Investment Grade Corporate Bond_etf_Open_min,iShares Broad USD Investment Grade Corporate Bond_etf_Open_volatility,iShares Broad USD Investment Grade Corporate Bond_etf_Open_change,iShares Broad USD Investment Grade Corporate Bond_etf_High_average,iShares Broad USD Investment Grade Corporate Bond_etf_High_max,iShares Broad USD Investment Grade Corporate Bond_etf_High_min,iShares Broad USD Investment Grade Corporate Bond_etf_High_volatility,iShares Broad USD Investment Grade Corporate Bond_etf_High_change,iShares Broad USD Investment Grade Corporate Bond_etf_Low_average,iShares Broad USD Investment Grade Corporate Bond_etf_Low_max,iShares Broad USD Investment Grade Corporate Bond_etf_Low_min,iShares Broad USD Investment Grade Corporate Bond_etf_Low_volatility,iShares Broad USD Investment Grade Corporate Bond_etf_Low_change,iShares Broad USD Investment Grade Corporate Bond_etf_Close_average,iShares Broad USD Investment Grade Corporate Bond_etf_Close_max,iShares Broad USD Investment Grade Corporate Bond_etf_Close_min,iShares Broad USD Investment Grade Corporate Bond_etf_Close_volatility,iShares Broad USD Investment Grade Corporate Bond_etf_Close_change
2018-01-14,55.47,55.47,55.47,0.0,0.0,55.5,55.5,55.5,0.0,0.0,55.41,55.41,55.41,0.0,0.0,55.44,55.44,55.44,0.0,0.0
2018-01-21,55.7,55.7,55.7,0.0,0.0,55.7,55.7,55.7,0.0,0.0,55.55,55.55,55.55,0.0,0.0,55.64,55.64,55.64,0.0,0.0
2018-01-28,54.98,54.98,54.98,0.0,0.0,55.03,55.03,55.03,0.0,0.0,54.86,54.86,54.86,0.0,0.0,54.92,54.92,54.92,0.0,0.0
2018-02-04,54.49,54.49,54.49,0.0,0.0,54.59,54.59,54.59,0.0,0.0,54.48,54.48,54.48,0.0,0.0,54.52,54.52,54.52,0.0,0.0
2018-02-11,54.57,54.57,54.57,0.0,0.0,54.62,54.62,54.62,0.0,0.0,54.51,54.51,54.51,0.0,0.0,54.59,54.59,54.59,0.0,0.0
2018-02-18,54.45,54.45,54.45,0.0,0.0,54.55,54.55,54.55,0.0,0.0,54.38,54.38,54.38,0.0,0.0,54.51,54.51,54.51,0.0,0.0
2018-02-25,54.24,54.24,54.24,0.0,0.0,54.27,54.27,54.27,0.0,0.0,54.15,54.15,54.15,0.0,0.0,54.23,54.23,54.23,0.0,0.0
2018-03-04,54.23,54.23,54.23,0.0,0.0,54.23,54.23,54.23,0.0,0.0,54.13,54.13,54.13,0.0,0.0,54.13,54.13,54.13,0.0,0.0
2018-03-11,54.24,54.24,54.24,0.0,0.0,54.3,54.3,54.3,0.0,0.0,54.19,54.19,54.19,0.0,0.0,54.3,54.3,54.3,0.0,0.0
2018-03-18,54.07,54.07,54.07,0.0,0.0,54.12,54.12,54.12,0.0,0.0,54.01,54.01,54.01,0.0,0.0,54.07,54.07,54.07,0.0,0.0
2018-03-25,54.46,54.46,54.46,0.0,0.0,54.55,54.55,54.55,0.0,0.0,54.43,54.43,54.43,0.0,0.0,54.48,54.48,54.48,0.0,0.0
2018-04-01,54.34,54.34,54.34,0.0,0.0,54.43,54.43,54.43,0.0,0.0,54.3,54.3,54.3,0.0,0.0,54.4,54.4,54.4,0.0,0.0
2018-04-08,54.38,54.38,54.38,0.0,0.0,54.45,54.45,54.45,0.0,0.0,54.35,54.35,54.35,0.0,0.0,54.41,54.41,54.41,0.0,0.0
2018-04-15,53.98,53.98,53.98,0.0,0.0,54.0,54.0,54.0,0.0,0.0,53.88,53.88,53.88,0.0,0.0,53.88,53.88,53.88,0.0,0.0
2018-04-22,53.76,53.76,53.76,0.0,0.0,53.83,53.83,53.83,0.0,0.0,53.76,53.76,53.76,0.0,0.0,53.8,53.8,53.8,0.0,0.0
2018-04-29,53.57,53.57,53.57,0.0,0.0,53.62,53.62,53.62,0.0,0.0,53.47,53.47,53.47,0.0,0.0,53.54,53.54,53.54,0.0,0.0
2018-05-06,53.74,53.74,53.74,0.0,0.0,53.74,53.74,53.74,0.0,0.0,53.66,53.66,53.66,0.0,0.0,53.72,53.72,53.72,0.0,0.0
2018-05-13,53.26,53.26,53.26,0.0,0.0,53.4,53.4,53.4,0.0,0.0,53.26,53.26,53.26,0.0,0.0,53.38,53.38,53.38,0.0,0.0
2018-05-20,53.77,53.77,53.77,0.0,0.0,53.88,53.88,53.88,0.0,0.0,53.77,53.77,53.77,0.0,0.0,53.87,53.87,53.87,0.0,0.0
2018-05-27,53.59,53.59,53.59,0.0,0.0,53.74,53.74,53.74,0.0,0.0,53.58,53.58,53.58,0.0,0.0,53.67,53.67,53.67,0.0,0.0
