Date,GAIA_stock_Open_average,GAIA_stock_Open_max,GAIA_stock_Open_min,GAIA_stock_Open_volatility,GAIA_stock_Open_change,GAIA_stock_High_average,GAIA_stock_High_max,GAIA_stock_High_min,GAIA_stock_High_volatility,GAIA_stock_High_change,GAIA_stock_Low_average,GAIA_stock_Low_max,GAIA_stock_Low_min,GAIA_stock_Low_volatility,GAIA_stock_Low_change,GAIA_stock_Close_average,GAIA_stock_Close_max,GAIA_stock_Close_min,GAIA_stock_Close_volatility,GAIA_stock_Close_change,GAIA_stock_Volume_average,GAIA_stock_Volume_max,GAIA_stock_Volume_min,GAIA_stock_Volume_volatility,GAIA_stock_Volume_change
2018-01-14,11.8125,12.05,11.65,0.40000000000000036,-0.20000000000000107,11.995000000000001,12.15,11.8,0.34999999999999964,-0.09999999999999964,11.65,11.8,11.5,0.3000000000000007,0.3000000000000007,11.775,11.95,11.55,0.3999999999999986,0.3999999999999986,32554,43524,24338,19186,-11802
2018-01-21,11.812,11.95,11.75,0.1999999999999993,-0.1399999999999988,11.852,11.95,11.8,0.14999999999999858,-0.1399999999999988,11.68,11.75,11.6,0.15000000000000036,-0.09999999999999964,11.78,11.9,11.7,0.20000000000000107,-0.15000000000000036,16998,28785,6814,21971,8381
2018-01-28,11.95,12.05,11.75,0.3000000000000007,0.3000000000000007,12.09,12.15,12.0,0.15000000000000036,0.0,11.856,11.95,11.7,0.25,0.25,11.99,12.05,11.95,0.10000000000000142,0.0,60646,124793,33272,91521,-26968
2018-02-04,11.79,11.9,11.7,0.20000000000000107,-0.15000000000000036,11.89,12.05,11.75,0.3000000000000007,-0.3000000000000007,11.63,11.8,11.35,0.45000000000000107,-0.45000000000000107,11.74,11.8,11.65,0.15000000000000036,-0.15000000000000036,90045,159180,53009,106171,-56635
2018-02-11,11.674,11.9,11.4,0.5,0.20000000000000107,11.958,12.16,11.75,0.41000000000000014,0.23000000000000043,11.544,11.8,11.32,0.4800000000000004,0.40000000000000036,11.716,11.95,11.48,0.46999999999999886,0.46999999999999886,47755,74273,30313,43960,22082
2018-02-18,12.4175,12.85,11.9,0.9499999999999993,0.9199999999999999,12.765,13.0,12.11,0.8900000000000006,0.8900000000000006,12.305,12.82,11.8,1.0199999999999996,1.0199999999999996,12.6875,12.95,12.1,0.8499999999999996,0.8499999999999996,112965,145023,78502,66521,42379
2018-02-25,12.96,13.3,12.75,0.5500000000000007,-0.09999999999999964,13.426,13.68,13.2,0.4800000000000004,-0.09999999999999964,12.624,12.9,12.1,0.8000000000000007,0.05000000000000071,13.05,13.35,12.8,0.5499999999999989,-0.09999999999999964,152605,334680,87824,246856,27248
2018-03-04,13.86,14.05,13.25,0.8000000000000007,0.75,14.146,14.25,14.1,0.15000000000000036,0.0,13.64,13.95,13.25,0.6999999999999993,0.4499999999999993,13.98,14.05,13.85,0.20000000000000107,0.0,170096,241903,125723,116180,-82388
2018-03-11,15.34,16.95,13.95,3.0,3.0,16.13,17.55,14.5,3.0500000000000007,3.0500000000000007,15.224,16.6,13.95,2.650000000000002,2.650000000000002,15.92,17.05,14.45,2.6000000000000014,2.6000000000000014,172760,226546,105590,120956,53614
2018-03-18,16.56,17.3,15.3,2.0,-0.9500000000000028,17.1,17.7,16.5,1.1999999999999993,-0.75,16.05,16.95,15.2,1.75,-1.1999999999999993,16.43,17.35,15.55,1.8000000000000007,-1.5,414484,1475423,75157,1400266,88185
