Date,MANH_Open_average,MANH_Open_max,MANH_Open_min,MANH_Open_volatility,MANH_Open_change,MANH_High_average,MANH_High_max,MANH_High_min,MANH_High_volatility,MANH_High_change,MANH_Low_average,MANH_Low_max,MANH_Low_min,MANH_Low_volatility,MANH_Low_change,MANH_Close_average,MANH_Close_max,MANH_Close_min,MANH_Close_volatility,MANH_Close_change,MANH_Volume_average,MANH_Volume_max,MANH_Volume_min,MANH_Volume_volatility,MANH_Volume_change
2018-01-14,52.63,53.32,51.93,1.3900000000000006,0.5799999999999983,53.152,53.86,52.16,1.7000000000000028,0.6799999999999997,52.042,53.05,50.97,2.0799999999999983,1.2099999999999937,52.816,53.82,51.92,1.8999999999999986,1.8500000000000014,389528,460272,262518,197754,11461
2018-01-21,53.526,53.92,53.0,0.9200000000000017,0.12000000000000455,53.876,54.21,53.2,1.009999999999998,-0.13000000000000256,52.79,53.37,52.38,0.9899999999999949,-0.8099999999999952,53.388,53.92,52.93,0.990000000000002,0.3299999999999983,583963,814634,316671,497963,137217
2018-01-28,52.316,53.36,50.33,3.030000000000001,-3.030000000000001,52.848,53.39,52.04,1.3500000000000014,-1.3500000000000014,51.494,52.77,49.89,2.8800000000000026,-2.8800000000000026,51.828,52.9,50.1,2.799999999999997,-2.799999999999997,580888,1099609,311820,787789,787789
2018-02-04,43.844,49.12,40.18,8.939999999999998,-7.649999999999999,44.896,51.59,41.9,9.690000000000005,-9.470000000000006,42.13,48.89,39.63,9.259999999999998,-8.36,43.092,50.47,40.02,10.449999999999996,-8.659999999999997,2453569,5864826,826167,5038659,-897993
2018-02-11,42.3,43.57,41.0,2.5700000000000003,1.9399999999999977,43.22,44.2,41.92,2.280000000000001,2.280000000000001,41.835,42.92,40.9,2.020000000000003,2.020000000000003,42.7425,43.68,41.41,2.270000000000003,1.5600000000000023,773233,1016162,567909,448253,181661
2018-02-18,42.502,42.72,42.18,0.5399999999999991,-0.01999999999999602,43.0,43.37,42.57,0.7999999999999972,-0.37999999999999545,42.076,42.44,41.75,0.6899999999999977,-0.14999999999999858,42.32,42.68,41.89,0.7899999999999991,-0.259999999999998,740394,949254,578532,370722,-171836
2018-02-25,42.618,43.61,42.16,1.4500000000000028,1.009999999999998,43.314,44.39,42.55,1.8400000000000034,1.6700000000000017,42.218,43.34,41.74,1.6000000000000014,1.2000000000000028,42.932,44.12,42.1,2.019999999999996,1.7999999999999972,636891,775503,528200,247303,89097
2018-03-04,44.788,45.5,44.17,1.3299999999999983,1.3100000000000023,45.192,45.78,44.51,1.2700000000000031,1.2700000000000031,44.24,45.04,43.6,1.4399999999999977,-0.35999999999999943,45.03,45.49,44.41,1.0800000000000054,1.0800000000000054,484099,549503,422144,127359,-127359
2018-03-11,44.656,45.74,43.91,1.8300000000000054,-1.8300000000000054,44.904,45.74,44.1,1.6400000000000006,-1.6400000000000006,43.934,44.82,43.22,1.6000000000000014,-1.6000000000000014,44.304,45.03,43.76,1.2700000000000031,-1.2700000000000031,506240,630329,381900,248429,146591
2018-03-18,43.17,43.75,42.16,1.5900000000000034,-1.5900000000000034,43.572,44.26,42.38,1.8799999999999955,-1.5599999999999952,42.266,43.6,41.15,2.450000000000003,-1.4600000000000009,42.692,43.81,41.43,2.3800000000000026,-2.1199999999999974,505653,763357,291289,472068,437786
