Date,Vanguard Tax-Exempt Bond_Open_average,Vanguard Tax-Exempt Bond_Open_max,Vanguard Tax-Exempt Bond_Open_volatility,Vanguard Tax-Exempt Bond_Open_change,Vanguard Tax-Exempt Bond_High_average,Vanguard Tax-Exempt Bond_High_max,Vanguard Tax-Exempt Bond_High_volatility,Vanguard Tax-Exempt Bond_High_change,Vanguard Tax-Exempt Bond_Low_average,Vanguard Tax-Exempt Bond_Low_max,Vanguard Tax-Exempt Bond_Low_volatility,Vanguard Tax-Exempt Bond_Low_change,Vanguard Tax-Exempt Bond_Close_average,Vanguard Tax-Exempt Bond_Close_max,Vanguard Tax-Exempt Bond_Close_volatility,Vanguard Tax-Exempt Bond_Close_change
2016-01-03,51.27,51.27,0.0,0.0,51.27,51.27,0.0,0.0,51.11,51.11,0.0,0.0,51.21,51.21,0.0,0.0
2016-01-10,51.27,51.27,0.0,0.0,51.48,51.48,0.0,0.0,51.27,51.27,0.0,0.0,51.27,51.27,0.0,0.0
2016-01-17,51.32,51.32,0.0,0.0,51.32,51.32,0.0,0.0,51.22,51.22,0.0,0.0,51.22,51.22,0.0,0.0
2016-01-24,51.26,51.26,0.0,0.0,51.26,51.26,0.0,0.0,51.22,51.22,0.0,0.0,51.24,51.24,0.0,0.0
2016-01-31,51.43,51.43,0.0,0.0,51.53,51.53,0.0,0.0,51.42,51.42,0.0,0.0,51.49,51.49,0.0,0.0
2016-02-07,51.56,51.56,0.0,0.0,51.68,51.68,0.0,0.0,51.48,51.48,0.0,0.0,51.54,51.54,0.0,0.0
2016-02-14,51.47,51.47,0.0,0.0,51.48,51.48,0.0,0.0,51.39,51.39,0.0,0.0,51.39,51.39,0.0,0.0
2016-02-21,51.34,51.34,0.0,0.0,51.38,51.38,0.0,0.0,51.32,51.32,0.0,0.0,51.34,51.34,0.0,0.0
2016-02-28,51.08,51.08,0.0,0.0,51.08,51.08,0.0,0.0,51.0,51.0,0.0,0.0,51.05,51.05,0.0,0.0
2016-03-06,51.2,51.2,0.0,0.0,51.2,51.2,0.0,0.0,51.11,51.11,0.0,0.0,51.14,51.14,0.0,0.0
2016-03-13,51.25,51.25,0.0,0.0,51.27,51.27,0.0,0.0,51.21,51.21,0.0,0.0,51.22,51.22,0.0,0.0
2016-03-20,51.3,51.3,0.0,0.0,51.33,51.33,0.0,0.0,51.2,51.2,0.0,0.0,51.28,51.28,0.0,0.0
2016-03-27,51.47,51.47,0.0,0.0,51.47,51.47,0.0,0.0,51.43,51.43,0.0,0.0,51.44,51.44,0.0,0.0
2016-04-03,51.69,51.69,0.0,0.0,51.69,51.69,0.0,0.0,51.67,51.67,0.0,0.0,51.68,51.68,0.0,0.0
2016-04-10,51.74,51.74,0.0,0.0,51.79,51.79,0.0,0.0,51.72,51.72,0.0,0.0,51.72,51.72,0.0,0.0
2016-04-17,51.71,51.71,0.0,0.0,51.73,51.73,0.0,0.0,51.7,51.7,0.0,0.0,51.7,51.7,0.0,0.0
2016-04-24,51.8,51.8,0.0,0.0,51.8,51.8,0.0,0.0,51.7,51.7,0.0,0.0,51.71,51.71,0.0,0.0
2016-05-01,51.92,51.92,0.0,0.0,51.94,51.94,0.0,0.0,51.85,51.85,0.0,0.0,51.85,51.85,0.0,0.0
2016-05-08,51.97,51.97,0.0,0.0,51.99,51.99,0.0,0.0,51.95,51.95,0.0,0.0,51.95,51.95,0.0,0.0
2016-05-15,51.9,51.9,0.0,0.0,51.9,51.9,0.0,0.0,51.85,51.85,0.0,0.0,51.88,51.88,0.0,0.0
2016-05-22,51.86,51.86,0.0,0.0,51.89,51.89,0.0,0.0,51.8,51.8,0.0,0.0,51.81,51.81,0.0,0.0
