Date,PowerShares DWA Consumer Cyclicals Momentum Portfo_etf_Open_average,PowerShares DWA Consumer Cyclicals Momentum Portfo_etf_Open_max,PowerShares DWA Consumer Cyclicals Momentum Portfo_etf_Open_min,PowerShares DWA Consumer Cyclicals Momentum Portfo_etf_Open_volatility,PowerShares DWA Consumer Cyclicals Momentum Portfo_etf_Open_change,PowerShares DWA Consumer Cyclicals Momentum Portfo_etf_High_average,PowerShares DWA Consumer Cyclicals Momentum Portfo_etf_High_max,PowerShares DWA Consumer Cyclicals Momentum Portfo_etf_High_min,PowerShares DWA Consumer Cyclicals Momentum Portfo_etf_High_volatility,PowerShares DWA Consumer Cyclicals Momentum Portfo_etf_High_change,PowerShares DWA Consumer Cyclicals Momentum Portfo_etf_Low_average,PowerShares DWA Consumer Cyclicals Momentum Portfo_etf_Low_max,PowerShares DWA Consumer Cyclicals Momentum Portfo_etf_Low_min,PowerShares DWA Consumer Cyclicals Momentum Portfo_etf_Low_volatility,PowerShares DWA Consumer Cyclicals Momentum Portfo_etf_Low_change,PowerShares DWA Consumer Cyclicals Momentum Portfo_etf_Close_average,PowerShares DWA Consumer Cyclicals Momentum Portfo_etf_Close_max,PowerShares DWA Consumer Cyclicals Momentum Portfo_etf_Close_min,PowerShares DWA Consumer Cyclicals Momentum Portfo_etf_Close_volatility,PowerShares DWA Consumer Cyclicals Momentum Portfo_etf_Close_change
2018-01-14,52.89,52.89,52.89,0.0,0.0,53.48,53.48,53.48,0.0,0.0,52.88,52.88,52.88,0.0,0.0,53.48,53.48,53.48,0.0,0.0
2018-01-21,53.48,53.48,53.48,0.0,0.0,53.54,53.54,53.54,0.0,0.0,53.36,53.36,53.36,0.0,0.0,53.43,53.43,53.43,0.0,0.0
2018-01-28,51.37,51.37,51.37,0.0,0.0,51.37,51.37,51.37,0.0,0.0,50.39,50.39,50.39,0.0,0.0,50.39,50.39,50.39,0.0,0.0
2018-02-04,49.06,49.06,49.06,0.0,0.0,49.29,49.29,49.29,0.0,0.0,47.36,47.36,47.36,0.0,0.0,48.93,48.93,48.93,0.0,0.0
2018-02-11,51.25,51.25,51.25,0.0,0.0,51.25,51.25,51.25,0.0,0.0,50.87,50.87,50.87,0.0,0.0,50.87,50.87,50.87,0.0,0.0
2018-02-18,50.62,50.62,50.62,0.0,0.0,51.12,51.12,51.12,0.0,0.0,50.49,50.49,50.49,0.0,0.0,51.12,51.12,51.12,0.0,0.0
2018-02-25,49.15,49.15,49.15,0.0,0.0,49.64,49.64,49.64,0.0,0.0,49.14,49.14,49.14,0.0,0.0,49.64,49.64,49.64,0.0,0.0
2018-03-04,51.56,51.56,51.56,0.0,0.0,51.83,51.83,51.83,0.0,0.0,51.54,51.54,51.54,0.0,0.0,51.83,51.83,51.83,0.0,0.0
2018-03-11,50.76,50.76,50.76,0.0,0.0,51.13,51.13,51.13,0.0,0.0,50.76,50.76,50.76,0.0,0.0,51.08,51.08,51.08,0.0,0.0
2018-03-18,49.32,49.32,49.32,0.0,0.0,49.44,49.44,49.44,0.0,0.0,48.37,48.37,48.37,0.0,0.0,48.41,48.41,48.41,0.0,0.0
2018-03-25,48.96,48.96,48.96,0.0,0.0,49.1,49.1,49.1,0.0,0.0,48.57,48.57,48.57,0.0,0.0,49.08,49.08,49.08,0.0,0.0
2018-04-01,49.28,49.28,49.28,0.0,0.0,49.73,49.73,49.73,0.0,0.0,48.5,48.5,48.5,0.0,0.0,48.67,48.67,48.67,0.0,0.0
2018-04-08,50.06,50.06,50.06,0.0,0.0,50.06,50.06,50.06,0.0,0.0,49.44,49.44,49.44,0.0,0.0,49.44,49.44,49.44,0.0,0.0
2018-04-15,50.52,50.52,50.52,0.0,0.0,50.52,50.52,50.52,0.0,0.0,49.99,49.99,49.99,0.0,0.0,49.99,49.99,49.99,0.0,0.0
2018-04-22,50.81,50.81,50.81,0.0,0.0,50.94,50.94,50.94,0.0,0.0,50.49,50.49,50.49,0.0,0.0,50.8,50.8,50.8,0.0,0.0
2018-04-29,49.99,49.99,49.99,0.0,0.0,50.6,50.6,50.6,0.0,0.0,49.99,49.99,49.99,0.0,0.0,50.5,50.5,50.5,0.0,0.0
2018-05-06,52.0,52.0,52.0,0.0,0.0,52.23,52.23,52.23,0.0,0.0,52.0,52.0,52.0,0.0,0.0,52.19,52.19,52.19,0.0,0.0
2018-05-13,53.34,53.34,53.34,0.0,0.0,53.49,53.49,53.49,0.0,0.0,53.34,53.34,53.34,0.0,0.0,53.49,53.49,53.49,0.0,0.0
2018-05-20,53.01,53.01,53.01,0.0,0.0,53.35,53.35,53.35,0.0,0.0,53.01,53.01,53.01,0.0,0.0,53.23,53.23,53.23,0.0,0.0
2018-05-27,54.01,54.01,54.01,0.0,0.0,54.01,54.01,54.01,0.0,0.0,53.69,53.69,53.69,0.0,0.0,53.69,53.69,53.69,0.0,0.0
2018-06-03,55.72,55.72,55.72,0.0,0.0,55.92,55.92,55.92,0.0,0.0,55.69,55.69,55.69,0.0,0.0,55.92,55.92,55.92,0.0,0.0
2018-06-10,56.09,56.09,56.09,0.0,0.0,56.6,56.6,56.6,0.0,0.0,56.09,56.09,56.09,0.0,0.0,56.51,56.51,56.51,0.0,0.0
2018-06-17,57.39,57.39,57.39,0.0,0.0,57.39,57.39,57.39,0.0,0.0,56.5,56.5,56.5,0.0,0.0,56.54,56.54,56.54,0.0,0.0
2018-06-24,55.13,55.13,55.13,0.0,0.0,55.32,55.32,55.32,0.0,0.0,54.74,54.74,54.74,0.0,0.0,54.74,54.74,54.74,0.0,0.0
2018-07-01,55.18,55.18,55.18,0.0,0.0,55.67,55.67,55.67,0.0,0.0,54.99,54.99,54.99,0.0,0.0,55.62,55.62,55.62,0.0,0.0
2018-07-08,56.37,56.37,56.37,0.0,0.0,56.37,56.37,56.37,0.0,0.0,56.23,56.23,56.23,0.0,0.0,56.23,56.23,56.23,0.0,0.0
2018-07-15,57.11,57.11,57.11,0.0,0.0,57.2,57.2,57.2,0.0,0.0,56.87,56.87,56.87,0.0,0.0,56.87,56.87,56.87,0.0,0.0
2018-07-22,56.23,56.23,56.23,0.0,0.0,56.23,56.23,56.23,0.0,0.0,54.91,54.91,54.91,0.0,0.0,55.11,55.11,55.11,0.0,0.0
2018-07-29,55.3,55.3,55.3,0.0,0.0,55.3,55.3,55.3,0.0,0.0,54.92,54.92,54.92,0.0,0.0,55.1,55.1,55.1,0.0,0.0
2018-08-05,56.51,56.51,56.51,0.0,0.0,57.42,57.42,57.42,0.0,0.0,56.51,56.51,56.51,0.0,0.0,57.23,57.23,57.23,0.0,0.0
2018-08-12,57.07,57.07,57.07,0.0,0.0,57.24,57.24,57.24,0.0,0.0,57.0,57.0,57.0,0.0,0.0,57.24,57.24,57.24,0.0,0.0
2018-08-19,58.58,58.58,58.58,0.0,0.0,59.25,59.25,59.25,0.0,0.0,58.58,58.58,58.58,0.0,0.0,59.25,59.25,59.25,0.0,0.0
2018-08-26,59.12,59.12,59.12,0.0,0.0,59.94,59.94,59.94,0.0,0.0,59.12,59.12,59.12,0.0,0.0,59.94,59.94,59.94,0.0,0.0
