Date,Goldman Sachs ActiveBeta US Large Cap Equity_etf_Open_average,Goldman Sachs ActiveBeta US Large Cap Equity_etf_Open_max,Goldman Sachs ActiveBeta US Large Cap Equity_etf_Open_min,Goldman Sachs ActiveBeta US Large Cap Equity_etf_Open_volatility,Goldman Sachs ActiveBeta US Large Cap Equity_etf_Open_change,Goldman Sachs ActiveBeta US Large Cap Equity_etf_High_average,Goldman Sachs ActiveBeta US Large Cap Equity_etf_High_max,Goldman Sachs ActiveBeta US Large Cap Equity_etf_High_min,Goldman Sachs ActiveBeta US Large Cap Equity_etf_High_volatility,Goldman Sachs ActiveBeta US Large Cap Equity_etf_High_change,Goldman Sachs ActiveBeta US Large Cap Equity_etf_Low_average,Goldman Sachs ActiveBeta US Large Cap Equity_etf_Low_max,Goldman Sachs ActiveBeta US Large Cap Equity_etf_Low_min,Goldman Sachs ActiveBeta US Large Cap Equity_etf_Low_volatility,Goldman Sachs ActiveBeta US Large Cap Equity_etf_Low_change,Goldman Sachs ActiveBeta US Large Cap Equity_etf_Close_average,Goldman Sachs ActiveBeta US Large Cap Equity_etf_Close_max,Goldman Sachs ActiveBeta US Large Cap Equity_etf_Close_min,Goldman Sachs ActiveBeta US Large Cap Equity_etf_Close_volatility,Goldman Sachs ActiveBeta US Large Cap Equity_etf_Close_change
2018-01-14,55.93,55.93,55.93,0.0,0.0,56.09,56.09,56.09,0.0,0.0,55.87,55.87,55.87,0.0,0.0,56.09,56.09,56.09,0.0,0.0
2018-01-21,56.98,56.98,56.98,0.0,0.0,57.37,57.37,57.37,0.0,0.0,56.86,56.86,56.86,0.0,0.0,57.37,57.37,57.37,0.0,0.0
2018-01-28,56.07,56.07,56.07,0.0,0.0,56.08,56.08,56.08,0.0,0.0,55.25,55.25,55.25,0.0,0.0,55.27,55.27,55.27,0.0,0.0
2018-02-04,52.47,52.47,52.47,0.0,0.0,53.03,53.03,53.03,0.0,0.0,51.0,51.0,51.0,0.0,0.0,52.7,52.7,52.7,0.0,0.0
2018-02-11,54.78,54.78,54.78,0.0,0.0,55.38,55.38,55.38,0.0,0.0,54.78,54.78,54.78,0.0,0.0,54.98,54.98,54.98,0.0,0.0
2018-02-18,54.65,54.65,54.65,0.0,0.0,55.24,55.24,55.24,0.0,0.0,54.44,54.44,54.44,0.0,0.0,55.24,55.24,55.24,0.0,0.0
2018-02-25,53.5,53.5,53.5,0.0,0.0,54.31,54.31,54.31,0.0,0.0,53.38,53.38,53.38,0.0,0.0,54.23,54.23,54.23,0.0,0.0
2018-03-04,55.54,55.54,55.54,0.0,0.0,56.11,56.11,56.11,0.0,0.0,55.46,55.46,55.46,0.0,0.0,56.1,56.1,56.1,0.0,0.0
2018-03-11,55.56,55.56,55.56,0.0,0.0,55.77,55.77,55.77,0.0,0.0,55.55,55.55,55.55,0.0,0.0,55.6,55.6,55.6,0.0,0.0
2018-03-18,53.51,53.51,53.51,0.0,0.0,53.59,53.59,53.59,0.0,0.0,52.23,52.23,52.23,0.0,0.0,52.28,52.28,52.28,0.0,0.0
