Date,PIMCO Enhanced Short Maturity Active Exchange-Trad_Open_average,PIMCO Enhanced Short Maturity Active Exchange-Trad_Open_max,PIMCO Enhanced Short Maturity Active Exchange-Trad_Open_volatility,PIMCO Enhanced Short Maturity Active Exchange-Trad_Open_change,PIMCO Enhanced Short Maturity Active Exchange-Trad_High_average,PIMCO Enhanced Short Maturity Active Exchange-Trad_High_max,PIMCO Enhanced Short Maturity Active Exchange-Trad_High_volatility,PIMCO Enhanced Short Maturity Active Exchange-Trad_High_change,PIMCO Enhanced Short Maturity Active Exchange-Trad_Low_average,PIMCO Enhanced Short Maturity Active Exchange-Trad_Low_max,PIMCO Enhanced Short Maturity Active Exchange-Trad_Low_volatility,PIMCO Enhanced Short Maturity Active Exchange-Trad_Low_change,PIMCO Enhanced Short Maturity Active Exchange-Trad_Close_average,PIMCO Enhanced Short Maturity Active Exchange-Trad_Close_max,PIMCO Enhanced Short Maturity Active Exchange-Trad_Close_volatility,PIMCO Enhanced Short Maturity Active Exchange-Trad_Close_change
2016-01-03,100.69,100.69,0.0,0.0,100.73,100.73,0.0,0.0,100.66,100.66,0.0,0.0,100.73,100.73,0.0,0.0
2016-01-10,100.73,100.73,0.0,0.0,100.77,100.77,0.0,0.0,100.71,100.71,0.0,0.0,100.73,100.73,0.0,0.0
2016-01-17,100.74,100.74,0.0,0.0,100.76,100.76,0.0,0.0,100.68,100.68,0.0,0.0,100.7,100.7,0.0,0.0
2016-01-24,100.65,100.65,0.0,0.0,100.65,100.65,0.0,0.0,100.61,100.61,0.0,0.0,100.63,100.63,0.0,0.0
2016-01-31,100.61,100.61,0.0,0.0,100.64,100.64,0.0,0.0,100.56,100.56,0.0,0.0,100.61,100.61,0.0,0.0
2016-02-07,100.55,100.55,0.0,0.0,100.59,100.59,0.0,0.0,100.53,100.53,0.0,0.0,100.57,100.57,0.0,0.0
2016-02-14,100.56,100.56,0.0,0.0,100.6,100.6,0.0,0.0,100.56,100.56,0.0,0.0,100.58,100.58,0.0,0.0
2016-02-21,100.54,100.54,0.0,0.0,100.58,100.58,0.0,0.0,100.49,100.49,0.0,0.0,100.58,100.58,0.0,0.0
2016-02-28,100.51,100.51,0.0,0.0,100.55,100.55,0.0,0.0,100.47,100.47,0.0,0.0,100.5,100.5,0.0,0.0
2016-03-06,100.54,100.54,0.0,0.0,100.59,100.59,0.0,0.0,100.54,100.54,0.0,0.0,100.56,100.56,0.0,0.0
2016-03-13,100.63,100.63,0.0,0.0,100.71,100.71,0.0,0.0,100.63,100.63,0.0,0.0,100.69,100.69,0.0,0.0
2016-03-20,100.76,100.76,0.0,0.0,100.76,100.76,0.0,0.0,100.72,100.72,0.0,0.0,100.76,100.76,0.0,0.0
2016-03-27,100.71,100.71,0.0,0.0,100.75,100.75,0.0,0.0,100.71,100.71,0.0,0.0,100.74,100.74,0.0,0.0
2016-04-03,100.79,100.79,0.0,0.0,100.82,100.82,0.0,0.0,100.79,100.79,0.0,0.0,100.8,100.8,0.0,0.0
2016-04-10,100.85,100.85,0.0,0.0,100.89,100.89,0.0,0.0,100.84,100.84,0.0,0.0,100.89,100.89,0.0,0.0
2016-04-17,100.98,100.98,0.0,0.0,101.0,101.0,0.0,0.0,100.98,100.98,0.0,0.0,100.99,100.99,0.0,0.0
2016-04-24,100.96,100.96,0.0,0.0,100.97,100.97,0.0,0.0,100.93,100.93,0.0,0.0,100.93,100.93,0.0,0.0
2016-05-01,100.99,100.99,0.0,0.0,101.04,101.04,0.0,0.0,100.99,100.99,0.0,0.0,101.03,101.03,0.0,0.0
2016-05-08,101.05,101.05,0.0,0.0,101.08,101.08,0.0,0.0,101.04,101.04,0.0,0.0,101.06,101.06,0.0,0.0
2016-05-15,101.09,101.09,0.0,0.0,101.12,101.12,0.0,0.0,101.06,101.06,0.0,0.0,101.11,101.11,0.0,0.0
2016-05-22,101.12,101.12,0.0,0.0,101.15,101.15,0.0,0.0,101.1,101.1,0.0,0.0,101.11,101.11,0.0,0.0
2016-05-29,101.06,101.06,0.0,0.0,101.09,101.09,0.0,0.0,101.05,101.05,0.0,0.0,101.07,101.07,0.0,0.0
2016-06-05,101.11,101.11,0.0,0.0,101.13,101.13,0.0,0.0,101.09,101.09,0.0,0.0,101.09,101.09,0.0,0.0
2016-06-12,101.09,101.09,0.0,0.0,101.14,101.14,0.0,0.0,101.07,101.07,0.0,0.0,101.11,101.11,0.0,0.0
2016-06-19,101.1,101.1,0.0,0.0,101.14,101.14,0.0,0.0,101.08,101.08,0.0,0.0,101.09,101.09,0.0,0.0
2016-06-26,101.08,101.08,0.0,0.0,101.08,101.08,0.0,0.0,101.02,101.02,0.0,0.0,101.05,101.05,0.0,0.0
2016-07-03,101.1,101.1,0.0,0.0,101.11,101.11,0.0,0.0,101.04,101.04,0.0,0.0,101.05,101.05,0.0,0.0
2016-07-10,101.1,101.1,0.0,0.0,101.16,101.16,0.0,0.0,101.1,101.1,0.0,0.0,101.15,101.15,0.0,0.0
