Date,Guggenheim Invest S&P 500 Equal Weight FinancialsEtf_Open_average,Guggenheim Invest S&P 500 Equal Weight FinancialsEtf_Open_max,Guggenheim Invest S&P 500 Equal Weight FinancialsEtf_Open_min,Guggenheim Invest S&P 500 Equal Weight FinancialsEtf_Open_volatility,Guggenheim Invest S&P 500 Equal Weight FinancialsEtf_Open_change,Guggenheim Invest S&P 500 Equal Weight FinancialsEtf_High_average,Guggenheim Invest S&P 500 Equal Weight FinancialsEtf_High_max,Guggenheim Invest S&P 500 Equal Weight FinancialsEtf_High_min,Guggenheim Invest S&P 500 Equal Weight FinancialsEtf_High_volatility,Guggenheim Invest S&P 500 Equal Weight FinancialsEtf_High_change,Guggenheim Invest S&P 500 Equal Weight FinancialsEtf_Low_average,Guggenheim Invest S&P 500 Equal Weight FinancialsEtf_Low_max,Guggenheim Invest S&P 500 Equal Weight FinancialsEtf_Low_min,Guggenheim Invest S&P 500 Equal Weight FinancialsEtf_Low_volatility,Guggenheim Invest S&P 500 Equal Weight FinancialsEtf_Low_change,Guggenheim Invest S&P 500 Equal Weight FinancialsEtf_Close_average,Guggenheim Invest S&P 500 Equal Weight FinancialsEtf_Close_max,Guggenheim Invest S&P 500 Equal Weight FinancialsEtf_Close_min,Guggenheim Invest S&P 500 Equal Weight FinancialsEtf_Close_volatility,Guggenheim Invest S&P 500 Equal Weight FinancialsEtf_Close_change
2018-01-14,46.13,46.13,46.13,0.0,0.0,46.32,46.32,46.32,0.0,0.0,46.04,46.04,46.04,0.0,0.0,46.32,46.32,46.32,0.0,0.0
2018-01-21,46.93,46.93,46.93,0.0,0.0,47.31,47.31,47.31,0.0,0.0,46.84,46.84,46.84,0.0,0.0,47.31,47.31,47.31,0.0,0.0
2018-01-28,46.67,46.67,46.67,0.0,0.0,46.78,46.78,46.78,0.0,0.0,45.88,45.88,45.88,0.0,0.0,45.88,45.88,45.88,0.0,0.0
2018-02-04,43.18,43.18,43.18,0.0,0.0,43.64,43.64,43.64,0.0,0.0,42.0,42.0,42.0,0.0,0.0,43.31,43.31,43.31,0.0,0.0
2018-02-11,45.14,45.14,45.14,0.0,0.0,45.66,45.66,45.66,0.0,0.0,45.14,45.14,45.14,0.0,0.0,45.41,45.41,45.41,0.0,0.0
2018-02-18,44.96,44.96,44.96,0.0,0.0,45.38,45.38,45.38,0.0,0.0,44.96,44.96,44.96,0.0,0.0,45.38,45.38,45.38,0.0,0.0
2018-02-25,44.07,44.07,44.07,0.0,0.0,44.6,44.6,44.6,0.0,0.0,43.67,43.67,43.67,0.0,0.0,44.6,44.6,44.6,0.0,0.0
2018-03-04,46.19,46.19,46.19,0.0,0.0,46.9,46.9,46.9,0.0,0.0,46.19,46.19,46.19,0.0,0.0,46.89,46.89,46.89,0.0,0.0
2018-03-11,45.47,45.47,45.47,0.0,0.0,45.97,45.97,45.97,0.0,0.0,45.47,45.47,45.47,0.0,0.0,45.75,45.75,45.75,0.0,0.0
2018-03-18,44.0,44.0,44.0,0.0,0.0,44.17,44.17,44.17,0.0,0.0,42.6,42.6,42.6,0.0,0.0,42.67,42.67,42.67,0.0,0.0
