Date,Victory CEMP US 500 Enhanced Volatility Weighted_Open_average,Victory CEMP US 500 Enhanced Volatility Weighted_Open_max,Victory CEMP US 500 Enhanced Volatility Weighted_Open_min,Victory CEMP US 500 Enhanced Volatility Weighted_Open_volatility,Victory CEMP US 500 Enhanced Volatility Weighted_Open_change,Victory CEMP US 500 Enhanced Volatility Weighted_High_average,Victory CEMP US 500 Enhanced Volatility Weighted_High_max,Victory CEMP US 500 Enhanced Volatility Weighted_High_min,Victory CEMP US 500 Enhanced Volatility Weighted_High_volatility,Victory CEMP US 500 Enhanced Volatility Weighted_High_change,Victory CEMP US 500 Enhanced Volatility Weighted_Low_average,Victory CEMP US 500 Enhanced Volatility Weighted_Low_max,Victory CEMP US 500 Enhanced Volatility Weighted_Low_min,Victory CEMP US 500 Enhanced Volatility Weighted_Low_volatility,Victory CEMP US 500 Enhanced Volatility Weighted_Low_change,Victory CEMP US 500 Enhanced Volatility Weighted_Close_average,Victory CEMP US 500 Enhanced Volatility Weighted_Close_max,Victory CEMP US 500 Enhanced Volatility Weighted_Close_min,Victory CEMP US 500 Enhanced Volatility Weighted_Close_volatility,Victory CEMP US 500 Enhanced Volatility Weighted_Close_change
2018-01-14,51.13,51.13,51.13,0.0,0.0,51.31,51.31,51.31,0.0,0.0,50.98,50.98,50.98,0.0,0.0,51.31,51.31,51.31,0.0,0.0
2018-01-21,51.81,51.81,51.81,0.0,0.0,52.02,52.02,52.02,0.0,0.0,51.6,51.6,51.6,0.0,0.0,51.62,51.62,51.62,0.0,0.0
2018-01-28,49.83,49.83,49.83,0.0,0.0,50.11,50.11,50.11,0.0,0.0,48.16,48.16,48.16,0.0,0.0,48.16,48.16,48.16,0.0,0.0
2018-02-04,48.06,48.06,48.06,0.0,0.0,48.57,48.57,48.57,0.0,0.0,47.75,47.75,47.75,0.0,0.0,48.22,48.22,48.22,0.0,0.0
2018-02-11,49.32,49.32,49.32,0.0,0.0,50.05,50.05,50.05,0.0,0.0,49.32,49.32,49.32,0.0,0.0,49.78,49.78,49.78,0.0,0.0
2018-02-18,50.08,50.08,50.08,0.0,0.0,50.25,50.25,50.25,0.0,0.0,49.79,49.79,49.79,0.0,0.0,50.19,50.19,50.19,0.0,0.0
2018-02-25,48.8,48.8,48.8,0.0,0.0,49.6,49.6,49.6,0.0,0.0,48.66,48.66,48.66,0.0,0.0,49.51,49.51,49.51,0.0,0.0
2018-03-04,50.63,50.63,50.63,0.0,0.0,50.77,50.77,50.77,0.0,0.0,50.46,50.46,50.46,0.0,0.0,50.57,50.57,50.57,0.0,0.0
2018-03-11,50.12,50.12,50.12,0.0,0.0,50.12,50.12,50.12,0.0,0.0,49.46,49.46,49.46,0.0,0.0,49.7,49.7,49.7,0.0,0.0
2018-03-18,48.34,48.34,48.34,0.0,0.0,48.91,48.91,48.91,0.0,0.0,48.03,48.03,48.03,0.0,0.0,48.89,48.89,48.89,0.0,0.0
2018-03-25,48.89,48.89,48.89,0.0,0.0,48.89,48.89,48.89,0.0,0.0,47.35,47.35,47.35,0.0,0.0,47.75,47.75,47.75,0.0,0.0
2018-04-01,48.39,48.39,48.39,0.0,0.0,48.81,48.81,48.81,0.0,0.0,48.13,48.13,48.13,0.0,0.0,48.18,48.18,48.18,0.0,0.0
2018-04-08,49.13,49.13,49.13,0.0,0.0,49.38,49.38,49.38,0.0,0.0,48.94,48.94,48.94,0.0,0.0,49.29,49.29,49.29,0.0,0.0
2018-04-15,49.18,49.18,49.18,0.0,0.0,49.46,49.46,49.46,0.0,0.0,49.05,49.05,49.05,0.0,0.0,49.25,49.25,49.25,0.0,0.0
2018-04-22,49.25,49.25,49.25,0.0,0.0,49.25,49.25,49.25,0.0,0.0,48.6,48.6,48.6,0.0,0.0,48.64,48.64,48.64,0.0,0.0
2018-04-29,48.52,48.52,48.52,0.0,0.0,48.93,48.93,48.93,0.0,0.0,48.52,48.52,48.52,0.0,0.0,48.77,48.77,48.77,0.0,0.0
2018-05-06,49.75,49.75,49.75,0.0,0.0,49.75,49.75,49.75,0.0,0.0,49.44,49.44,49.44,0.0,0.0,49.49,49.49,49.49,0.0,0.0
2018-05-13,49.93,49.93,49.93,0.0,0.0,50.08,50.08,50.08,0.0,0.0,49.88,49.88,49.88,0.0,0.0,49.97,49.97,49.97,0.0,0.0
2018-05-20,49.89,49.89,49.89,0.0,0.0,49.89,49.89,49.89,0.0,0.0,49.64,49.64,49.64,0.0,0.0,49.75,49.75,49.75,0.0,0.0
2018-05-27,49.98,49.98,49.98,0.0,0.0,49.99,49.99,49.99,0.0,0.0,49.82,49.82,49.82,0.0,0.0,49.97,49.97,49.97,0.0,0.0
2018-06-03,50.75,50.75,50.75,0.0,0.0,50.81,50.81,50.81,0.0,0.0,50.68,50.68,50.68,0.0,0.0,50.73,50.73,50.73,0.0,0.0
2018-06-10,50.31,50.31,50.31,0.0,0.0,50.62,50.62,50.62,0.0,0.0,50.31,50.31,50.31,0.0,0.0,50.61,50.61,50.61,0.0,0.0
2018-06-17,50.0,50.0,50.0,0.0,0.0,50.0,50.0,50.0,0.0,0.0,49.33,49.33,49.33,0.0,0.0,49.6,49.6,49.6,0.0,0.0
2018-06-24,48.97,48.97,48.97,0.0,0.0,49.39,49.39,49.39,0.0,0.0,48.93,48.93,48.93,0.0,0.0,49.36,49.36,49.36,0.0,0.0
2018-07-01,50.16,50.16,50.16,0.0,0.0,50.49,50.49,50.49,0.0,0.0,50.16,50.16,50.16,0.0,0.0,50.47,50.47,50.47,0.0,0.0
2018-07-08,50.54,50.54,50.54,0.0,0.0,50.54,50.54,50.54,0.0,0.0,50.26,50.26,50.26,0.0,0.0,50.29,50.29,50.29,0.0,0.0
2018-07-15,50.47,50.47,50.47,0.0,0.0,50.73,50.73,50.73,0.0,0.0,50.47,50.47,50.47,0.0,0.0,50.68,50.68,50.68,0.0,0.0
2018-07-22,50.82,50.82,50.82,0.0,0.0,50.82,50.82,50.82,0.0,0.0,50.38,50.38,50.38,0.0,0.0,50.4,50.4,50.4,0.0,0.0
2018-07-29,51.11,51.11,51.11,0.0,0.0,51.31,51.31,51.31,0.0,0.0,51.08,51.08,51.08,0.0,0.0,51.26,51.26,51.26,0.0,0.0
2018-08-05,51.18,51.18,51.18,0.0,0.0,51.19,51.19,51.19,0.0,0.0,50.75,50.75,50.75,0.0,0.0,50.84,50.84,50.84,0.0,0.0
2018-08-12,51.82,51.82,51.82,0.0,0.0,51.83,51.83,51.83,0.0,0.0,51.61,51.61,51.61,0.0,0.0,51.79,51.79,51.79,0.0,0.0
