Date,First Trust Preferred Securities And Income_Open_average,First Trust Preferred Securities And Income_Open_max,First Trust Preferred Securities And Income_Open_min,First Trust Preferred Securities And Income_Open_volatility,First Trust Preferred Securities And Income_Open_change,First Trust Preferred Securities And Income_High_average,First Trust Preferred Securities And Income_High_max,First Trust Preferred Securities And Income_High_min,First Trust Preferred Securities And Income_High_volatility,First Trust Preferred Securities And Income_High_change,First Trust Preferred Securities And Income_Low_average,First Trust Preferred Securities And Income_Low_max,First Trust Preferred Securities And Income_Low_min,First Trust Preferred Securities And Income_Low_volatility,First Trust Preferred Securities And Income_Low_change,First Trust Preferred Securities And Income_Close_average,First Trust Preferred Securities And Income_Close_max,First Trust Preferred Securities And Income_Close_min,First Trust Preferred Securities And Income_Close_volatility,First Trust Preferred Securities And Income_Close_change
2018-01-14,20.0,20.0,20.0,0.0,0.0,20.03,20.03,20.03,0.0,0.0,19.99,19.99,19.99,0.0,0.0,20.0,20.0,20.0,0.0,0.0
2018-01-21,19.96,19.96,19.96,0.0,0.0,19.96,19.96,19.96,0.0,0.0,19.9,19.9,19.9,0.0,0.0,19.91,19.91,19.91,0.0,0.0
2018-01-28,19.77,19.77,19.77,0.0,0.0,19.77,19.77,19.77,0.0,0.0,19.65,19.65,19.65,0.0,0.0,19.7,19.7,19.7,0.0,0.0
2018-02-04,19.7,19.7,19.7,0.0,0.0,19.72,19.72,19.72,0.0,0.0,19.56,19.56,19.56,0.0,0.0,19.58,19.58,19.58,0.0,0.0
2018-02-11,19.67,19.67,19.67,0.0,0.0,19.73,19.73,19.73,0.0,0.0,19.62,19.62,19.62,0.0,0.0,19.72,19.72,19.72,0.0,0.0
2018-02-18,19.71,19.71,19.71,0.0,0.0,19.71,19.71,19.71,0.0,0.0,19.64,19.64,19.64,0.0,0.0,19.65,19.65,19.65,0.0,0.0
2018-02-25,19.7,19.7,19.7,0.0,0.0,19.71,19.71,19.71,0.0,0.0,19.66,19.66,19.66,0.0,0.0,19.71,19.71,19.71,0.0,0.0
2018-03-04,19.78,19.78,19.78,0.0,0.0,19.8,19.8,19.8,0.0,0.0,19.76,19.76,19.76,0.0,0.0,19.78,19.78,19.78,0.0,0.0
2018-03-11,19.72,19.72,19.72,0.0,0.0,19.74,19.74,19.74,0.0,0.0,19.7,19.7,19.7,0.0,0.0,19.71,19.71,19.71,0.0,0.0
2018-03-18,19.54,19.54,19.54,0.0,0.0,19.54,19.54,19.54,0.0,0.0,19.48,19.48,19.48,0.0,0.0,19.49,19.49,19.49,0.0,0.0
2018-03-25,19.48,19.48,19.48,0.0,0.0,19.52,19.52,19.52,0.0,0.0,19.46,19.46,19.46,0.0,0.0,19.46,19.46,19.46,0.0,0.0
2018-04-01,19.5,19.5,19.5,0.0,0.0,19.52,19.52,19.52,0.0,0.0,19.48,19.48,19.48,0.0,0.0,19.52,19.52,19.52,0.0,0.0
2018-04-08,19.55,19.55,19.55,0.0,0.0,19.59,19.59,19.59,0.0,0.0,19.55,19.55,19.55,0.0,0.0,19.57,19.57,19.57,0.0,0.0
2018-04-15,19.53,19.53,19.53,0.0,0.0,19.53,19.53,19.53,0.0,0.0,19.47,19.47,19.47,0.0,0.0,19.49,19.49,19.49,0.0,0.0
2018-04-22,19.42,19.42,19.42,0.0,0.0,19.42,19.42,19.42,0.0,0.0,19.38,19.38,19.38,0.0,0.0,19.42,19.42,19.42,0.0,0.0
2018-04-29,19.36,19.36,19.36,0.0,0.0,19.39,19.39,19.39,0.0,0.0,19.34,19.34,19.34,0.0,0.0,19.37,19.37,19.37,0.0,0.0
