Date,Wisdom Tree Dividend Ex-Financials_Open_average,Wisdom Tree Dividend Ex-Financials_Open_max,Wisdom Tree Dividend Ex-Financials_Open_min,Wisdom Tree Dividend Ex-Financials_Open_volatility,Wisdom Tree Dividend Ex-Financials_Open_change,Wisdom Tree Dividend Ex-Financials_High_average,Wisdom Tree Dividend Ex-Financials_High_max,Wisdom Tree Dividend Ex-Financials_High_min,Wisdom Tree Dividend Ex-Financials_High_volatility,Wisdom Tree Dividend Ex-Financials_High_change,Wisdom Tree Dividend Ex-Financials_Low_average,Wisdom Tree Dividend Ex-Financials_Low_max,Wisdom Tree Dividend Ex-Financials_Low_min,Wisdom Tree Dividend Ex-Financials_Low_volatility,Wisdom Tree Dividend Ex-Financials_Low_change,Wisdom Tree Dividend Ex-Financials_Close_average,Wisdom Tree Dividend Ex-Financials_Close_max,Wisdom Tree Dividend Ex-Financials_Close_min,Wisdom Tree Dividend Ex-Financials_Close_volatility,Wisdom Tree Dividend Ex-Financials_Close_change
2018-01-14,91.28,91.28,91.28,0.0,0.0,92.1,92.1,92.1,0.0,0.0,91.28,91.28,91.28,0.0,0.0,92.1,92.1,92.1,0.0,0.0
2018-01-21,92.7,92.7,92.7,0.0,0.0,92.7,92.7,92.7,0.0,0.0,92.15,92.15,92.15,0.0,0.0,92.3,92.3,92.3,0.0,0.0
2018-01-28,88.35,88.35,88.35,0.0,0.0,89.0,89.0,89.0,0.0,0.0,85.33,85.33,85.33,0.0,0.0,85.58,85.58,85.58,0.0,0.0
2018-02-04,86.13,86.13,86.13,0.0,0.0,87.15,87.15,87.15,0.0,0.0,85.7,85.7,85.7,0.0,0.0,86.7,86.7,86.7,0.0,0.0
2018-02-11,88.97,88.97,88.97,0.0,0.0,89.78,89.78,89.78,0.0,0.0,88.93,88.93,88.93,0.0,0.0,89.24,89.24,89.24,0.0,0.0
2018-02-18,89.08,89.08,89.08,0.0,0.0,89.49,89.49,89.49,0.0,0.0,88.73,88.73,88.73,0.0,0.0,89.35,89.35,89.35,0.0,0.0
2018-02-25,86.11,86.11,86.11,0.0,0.0,87.81,87.81,87.81,0.0,0.0,86.11,86.11,86.11,0.0,0.0,87.81,87.81,87.81,0.0,0.0
2018-03-04,88.73,88.73,88.73,0.0,0.0,88.93,88.93,88.93,0.0,0.0,88.6,88.6,88.6,0.0,0.0,88.84,88.84,88.84,0.0,0.0
2018-03-11,87.61,87.61,87.61,0.0,0.0,87.61,87.61,87.61,0.0,0.0,86.11,86.11,86.11,0.0,0.0,86.41,86.41,86.41,0.0,0.0
2018-03-18,83.58,83.58,83.58,0.0,0.0,84.21,84.21,84.21,0.0,0.0,83.17,83.17,83.17,0.0,0.0,84.21,84.21,84.21,0.0,0.0
2018-03-25,84.13,84.13,84.13,0.0,0.0,84.34,84.34,84.34,0.0,0.0,82.01,82.01,82.01,0.0,0.0,82.38,82.38,82.38,0.0,0.0
2018-04-01,84.36,84.36,84.36,0.0,0.0,85.29,85.29,85.29,0.0,0.0,84.08,84.08,84.08,0.0,0.0,84.1,84.1,84.1,0.0,0.0
2018-04-08,85.62,85.62,85.62,0.0,0.0,86.3,86.3,86.3,0.0,0.0,85.53,85.53,85.53,0.0,0.0,86.28,86.28,86.28,0.0,0.0
