Date,Change Finance Diversified Imp US Large Cap Fossil_Open_average,Change Finance Diversified Imp US Large Cap Fossil_Open_max,Change Finance Diversified Imp US Large Cap Fossil_Open_min,Change Finance Diversified Imp US Large Cap Fossil_Open_volatility,Change Finance Diversified Imp US Large Cap Fossil_Open_change,Change Finance Diversified Imp US Large Cap Fossil_High_average,Change Finance Diversified Imp US Large Cap Fossil_High_max,Change Finance Diversified Imp US Large Cap Fossil_High_min,Change Finance Diversified Imp US Large Cap Fossil_High_volatility,Change Finance Diversified Imp US Large Cap Fossil_High_change,Change Finance Diversified Imp US Large Cap Fossil_Low_average,Change Finance Diversified Imp US Large Cap Fossil_Low_max,Change Finance Diversified Imp US Large Cap Fossil_Low_min,Change Finance Diversified Imp US Large Cap Fossil_Low_volatility,Change Finance Diversified Imp US Large Cap Fossil_Low_change,Change Finance Diversified Imp US Large Cap Fossil_Close_average,Change Finance Diversified Imp US Large Cap Fossil_Close_max,Change Finance Diversified Imp US Large Cap Fossil_Close_min,Change Finance Diversified Imp US Large Cap Fossil_Close_volatility,Change Finance Diversified Imp US Large Cap Fossil_Close_change
2018-01-14,19.7,19.7,19.7,0.0,0.0,19.7,19.7,19.7,0.0,0.0,19.7,19.7,19.7,0.0,0.0,19.7,19.7,19.7,0.0,0.0
2018-01-21,19.9,19.9,19.9,0.0,0.0,19.9,19.9,19.9,0.0,0.0,19.9,19.9,19.9,0.0,0.0,19.9,19.9,19.9,0.0,0.0
2018-01-28,19.85,19.85,19.85,0.0,0.0,19.88,19.88,19.88,0.0,0.0,19.82,19.82,19.82,0.0,0.0,19.88,19.88,19.88,0.0,0.0
2018-02-04,18.58,18.58,18.58,0.0,0.0,18.58,18.58,18.58,0.0,0.0,18.58,18.58,18.58,0.0,0.0,18.58,18.58,18.58,0.0,0.0
2018-02-11,19.23,19.23,19.23,0.0,0.0,19.23,19.23,19.23,0.0,0.0,19.23,19.23,19.23,0.0,0.0,19.23,19.23,19.23,0.0,0.0
2018-02-18,19.0,19.0,19.0,0.0,0.0,19.0,19.0,19.0,0.0,0.0,19.0,19.0,19.0,0.0,0.0,19.0,19.0,19.0,0.0,0.0
2018-02-25,18.84,18.84,18.84,0.0,0.0,18.84,18.84,18.84,0.0,0.0,18.84,18.84,18.84,0.0,0.0,18.84,18.84,18.84,0.0,0.0
2018-03-04,19.5,19.5,19.5,0.0,0.0,19.5,19.5,19.5,0.0,0.0,19.5,19.5,19.5,0.0,0.0,19.5,19.5,19.5,0.0,0.0
2018-03-11,19.52,19.52,19.52,0.0,0.0,19.52,19.52,19.52,0.0,0.0,19.52,19.52,19.52,0.0,0.0,19.52,19.52,19.52,0.0,0.0
2018-03-18,18.67,18.67,18.67,0.0,0.0,18.67,18.67,18.67,0.0,0.0,18.51,18.51,18.51,0.0,0.0,18.51,18.51,18.51,0.0,0.0
2018-03-25,18.7,18.7,18.7,0.0,0.0,18.7,18.7,18.7,0.0,0.0,18.7,18.7,18.7,0.0,0.0,18.7,18.7,18.7,0.0,0.0
2018-04-01,18.57,18.57,18.57,0.0,0.0,18.57,18.57,18.57,0.0,0.0,18.57,18.57,18.57,0.0,0.0,18.57,18.57,18.57,0.0,0.0
2018-04-08,18.74,18.74,18.74,0.0,0.0,18.74,18.74,18.74,0.0,0.0,18.74,18.74,18.74,0.0,0.0,18.74,18.74,18.74,0.0,0.0
2018-04-15,18.96,18.96,18.96,0.0,0.0,18.96,18.96,18.96,0.0,0.0,18.96,18.96,18.96,0.0,0.0,18.96,18.96,18.96,0.0,0.0
2018-04-22,18.93,18.93,18.93,0.0,0.0,18.93,18.93,18.93,0.0,0.0,18.79,18.79,18.79,0.0,0.0,18.79,18.79,18.79,0.0,0.0
