Date,VNRX_Open_average,VNRX_Open_max,VNRX_Open_min,VNRX_Open_volatility,VNRX_Open_change,VNRX_High_average,VNRX_High_max,VNRX_High_min,VNRX_High_volatility,VNRX_High_change,VNRX_Low_average,VNRX_Low_max,VNRX_Low_min,VNRX_Low_volatility,VNRX_Low_change,VNRX_Close_average,VNRX_Close_max,VNRX_Close_min,VNRX_Close_volatility,VNRX_Close_change,VNRX_Volume_average,VNRX_Volume_max,VNRX_Volume_min,VNRX_Volume_volatility,VNRX_Volume_change
2018-01-14,3.002,3.15,2.88,0.27,0.27,3.208,4.0,2.96,1.04,1.04,2.914,3.12,2.8,0.3200000000000003,0.3200000000000003,3.1380000000000003,3.74,2.91,0.8300000000000001,0.8300000000000001,19360,34524,6902,27622,5048
2018-01-21,3.698,3.91,3.5,0.41000000000000014,0.14000000000000012,3.888,3.99,3.75,0.2400000000000002,0.1900000000000004,3.552,3.7,3.45,0.25,-0.04999999999999982,3.74,3.95,3.62,0.33000000000000007,-0.08000000000000007,30982,71835,4411,67424,-47199
2018-01-28,3.498,3.65,3.22,0.4299999999999997,-0.4299999999999997,3.532,3.67,3.22,0.44999999999999973,-0.4299999999999997,3.348,3.5,3.03,0.4700000000000002,-0.41000000000000014,3.396,3.63,3.03,0.6000000000000001,-0.48,5871,10040,1758,8282,-2462
2018-02-04,2.964,3.05,2.88,0.16999999999999993,0.16000000000000014,3.07,3.12,3.04,0.08000000000000007,-0.009999999999999787,2.89,2.91,2.85,0.06000000000000005,0.04999999999999982,2.958,3.05,2.89,0.1599999999999997,-0.010000000000000231,12417,21261,7491,13770,-7553
2018-02-11,2.9850000000000003,3.04,2.91,0.1299999999999999,0.06000000000000005,3.025,3.06,2.98,0.08000000000000007,-0.08000000000000007,2.925,2.97,2.88,0.0900000000000003,0.020000000000000018,2.9985,3.0439999999999996,2.97,0.0739999999999994,-0.06399999999999961,5603,14853,406,14447,-2495
2018-02-18,3.056,3.25,2.93,0.31999999999999984,0.0,3.26,3.53,3.05,0.48,0.22999999999999998,3.012,3.13,2.93,0.19999999999999973,0.0,3.116,3.25,2.99,0.2599999999999998,-0.06999999999999984,9594,16398,1542,14856,5078
2018-02-25,3.168,3.36,2.98,0.3799999999999999,-0.10999999999999988,3.2279999999999998,3.4,3.11,0.29000000000000004,0.009999999999999787,2.808,3.06,2.57,0.4900000000000002,0.3900000000000001,3.016,3.12,2.8,0.3200000000000003,-0.10000000000000009,31925,84871,4727,80144,-80144
2018-03-04,2.7,3.0,2.31,0.69,-0.5899999999999999,2.748,3.0,2.41,0.5899999999999999,-0.5899999999999999,2.604,2.86,2.27,0.5899999999999999,-0.5,2.646,2.94,2.29,0.6499999999999999,-0.52,45429,149665,4850,144815,36617
2018-03-11,2.364,2.39,2.32,0.07000000000000028,0.07000000000000028,2.382,2.42,2.34,0.08000000000000007,0.07000000000000028,2.272,2.34,2.2,0.13999999999999968,0.09999999999999964,2.346,2.4,2.31,0.08999999999999986,-0.029999999999999805,33766,46611,23743,22868,9374
2018-03-18,2.368,2.41,2.32,0.0900000000000003,0.07000000000000028,2.414,2.44,2.4,0.040000000000000036,0.029999999999999805,2.302,2.34,2.29,0.04999999999999982,0.04999999999999982,2.374,2.39,2.33,0.06000000000000005,0.0,27922,37014,19326,17688,5286
