Date,WBI Tactical LCVEtf_Open_average,WBI Tactical LCVEtf_Open_max,WBI Tactical LCVEtf_Open_min,WBI Tactical LCVEtf_Open_volatility,WBI Tactical LCVEtf_Open_change,WBI Tactical LCVEtf_High_average,WBI Tactical LCVEtf_High_max,WBI Tactical LCVEtf_High_min,WBI Tactical LCVEtf_High_volatility,WBI Tactical LCVEtf_High_change,WBI Tactical LCVEtf_Low_average,WBI Tactical LCVEtf_Low_max,WBI Tactical LCVEtf_Low_min,WBI Tactical LCVEtf_Low_volatility,WBI Tactical LCVEtf_Low_change,WBI Tactical LCVEtf_Close_average,WBI Tactical LCVEtf_Close_max,WBI Tactical LCVEtf_Close_min,WBI Tactical LCVEtf_Close_volatility,WBI Tactical LCVEtf_Close_change
2018-01-14,30.11,30.11,30.11,0.0,0.0,30.16,30.16,30.16,0.0,0.0,30.08,30.08,30.08,0.0,0.0,30.16,30.16,30.16,0.0,0.0
2018-01-21,30.26,30.26,30.26,0.0,0.0,30.46,30.46,30.46,0.0,0.0,30.26,30.26,30.26,0.0,0.0,30.46,30.46,30.46,0.0,0.0
2018-01-28,29.69,29.69,29.69,0.0,0.0,29.7,29.7,29.7,0.0,0.0,29.4,29.4,29.4,0.0,0.0,29.4,29.4,29.4,0.0,0.0
2018-02-04,28.4,28.4,28.4,0.0,0.0,28.4,28.4,28.4,0.0,0.0,27.92,27.92,27.92,0.0,0.0,28.11,28.11,28.11,0.0,0.0
2018-02-11,29.04,29.04,29.04,0.0,0.0,29.19,29.19,29.19,0.0,0.0,29.0,29.0,29.0,0.0,0.0,29.08,29.08,29.08,0.0,0.0
2018-02-18,28.79,28.79,28.79,0.0,0.0,29.0,29.0,29.0,0.0,0.0,28.78,28.78,28.78,0.0,0.0,29.0,29.0,29.0,0.0,0.0
2018-02-25,28.06,28.06,28.06,0.0,0.0,28.48,28.48,28.48,0.0,0.0,28.0,28.0,28.0,0.0,0.0,28.48,28.48,28.48,0.0,0.0
2018-03-04,29.6,29.6,29.6,0.0,0.0,29.66,29.66,29.66,0.0,0.0,29.57,29.57,29.57,0.0,0.0,29.66,29.66,29.66,0.0,0.0
2018-03-11,29.21,29.21,29.21,0.0,0.0,29.24,29.24,29.24,0.0,0.0,29.11,29.11,29.11,0.0,0.0,29.14,29.14,29.14,0.0,0.0
2018-03-18,28.13,28.13,28.13,0.0,0.0,28.23,28.23,28.23,0.0,0.0,28.1,28.1,28.1,0.0,0.0,28.23,28.23,28.23,0.0,0.0
2018-03-25,27.95,27.95,27.95,0.0,0.0,28.23,28.23,28.23,0.0,0.0,27.95,27.95,27.95,0.0,0.0,28.22,28.22,28.22,0.0,0.0
2018-04-01,28.22,28.22,28.22,0.0,0.0,28.22,28.22,28.22,0.0,0.0,27.67,27.67,27.67,0.0,0.0,27.67,27.67,27.67,0.0,0.0
2018-04-08,28.27,28.27,28.27,0.0,0.0,28.27,28.27,28.27,0.0,0.0,28.17,28.17,28.17,0.0,0.0,28.18,28.18,28.18,0.0,0.0
2018-04-15,27.96,27.96,27.96,0.0,0.0,28.03,28.03,28.03,0.0,0.0,27.96,27.96,27.96,0.0,0.0,28.03,28.03,28.03,0.0,0.0
2018-04-22,27.81,27.81,27.81,0.0,0.0,27.92,27.92,27.92,0.0,0.0,27.81,27.81,27.81,0.0,0.0,27.92,27.92,27.92,0.0,0.0
2018-04-29,27.45,27.45,27.45,0.0,0.0,27.75,27.75,27.75,0.0,0.0,27.45,27.45,27.45,0.0,0.0,27.75,27.75,27.75,0.0,0.0
2018-05-06,28.15,28.15,28.15,0.0,0.0,28.17,28.17,28.17,0.0,0.0,28.11,28.11,28.11,0.0,0.0,28.17,28.17,28.17,0.0,0.0
2018-05-13,28.05,28.05,28.05,0.0,0.0,28.16,28.16,28.16,0.0,0.0,28.05,28.05,28.05,0.0,0.0,28.16,28.16,28.16,0.0,0.0
2018-05-20,28.33,28.33,28.33,0.0,0.0,28.39,28.39,28.39,0.0,0.0,28.28,28.28,28.28,0.0,0.0,28.32,28.32,28.32,0.0,0.0
2018-05-27,28.48,28.48,28.48,0.0,0.0,28.57,28.57,28.57,0.0,0.0,28.48,28.48,28.48,0.0,0.0,28.54,28.54,28.54,0.0,0.0
2018-06-03,28.86,28.86,28.86,0.0,0.0,28.97,28.97,28.97,0.0,0.0,28.86,28.86,28.86,0.0,0.0,28.97,28.97,28.97,0.0,0.0
2018-06-10,28.86,28.86,28.86,0.0,0.0,29.03,29.03,29.03,0.0,0.0,28.86,28.86,28.86,0.0,0.0,29.03,29.03,29.03,0.0,0.0
2018-06-17,28.77,28.77,28.77,0.0,0.0,28.81,28.81,28.81,0.0,0.0,28.75,28.75,28.75,0.0,0.0,28.81,28.81,28.81,0.0,0.0
2018-06-24,28.21,28.21,28.21,0.0,0.0,28.38,28.38,28.38,0.0,0.0,28.17,28.17,28.17,0.0,0.0,28.17,28.17,28.17,0.0,0.0
2018-07-01,28.17,28.17,28.17,0.0,0.0,28.45,28.45,28.45,0.0,0.0,28.17,28.17,28.17,0.0,0.0,28.39,28.39,28.39,0.0,0.0
2018-07-08,28.94,28.94,28.94,0.0,0.0,28.94,28.94,28.94,0.0,0.0,28.88,28.88,28.88,0.0,0.0,28.88,28.88,28.88,0.0,0.0
2018-07-15,29.06,29.06,29.06,0.0,0.0,29.22,29.22,29.22,0.0,0.0,29.06,29.06,29.06,0.0,0.0,29.11,29.11,29.11,0.0,0.0
2018-07-22,29.45,29.45,29.45,0.0,0.0,29.45,29.45,29.45,0.0,0.0,29.29,29.29,29.29,0.0,0.0,29.33,29.33,29.33,0.0,0.0
2018-07-29,29.31,29.31,29.31,0.0,0.0,29.36,29.36,29.36,0.0,0.0,29.31,29.31,29.31,0.0,0.0,29.36,29.36,29.36,0.0,0.0
2018-08-05,29.46,29.46,29.46,0.0,0.0,29.51,29.51,29.51,0.0,0.0,29.37,29.37,29.37,0.0,0.0,29.42,29.42,29.42,0.0,0.0
