Date,First Trust Developed Markets Ex-US AlphaDEX_Open_average,First Trust Developed Markets Ex-US AlphaDEX_Open_max,First Trust Developed Markets Ex-US AlphaDEX_Open_min,First Trust Developed Markets Ex-US AlphaDEX_Open_volatility,First Trust Developed Markets Ex-US AlphaDEX_Open_change,First Trust Developed Markets Ex-US AlphaDEX_High_average,First Trust Developed Markets Ex-US AlphaDEX_High_max,First Trust Developed Markets Ex-US AlphaDEX_High_min,First Trust Developed Markets Ex-US AlphaDEX_High_volatility,First Trust Developed Markets Ex-US AlphaDEX_High_change,First Trust Developed Markets Ex-US AlphaDEX_Low_average,First Trust Developed Markets Ex-US AlphaDEX_Low_max,First Trust Developed Markets Ex-US AlphaDEX_Low_min,First Trust Developed Markets Ex-US AlphaDEX_Low_volatility,First Trust Developed Markets Ex-US AlphaDEX_Low_change,First Trust Developed Markets Ex-US AlphaDEX_Close_average,First Trust Developed Markets Ex-US AlphaDEX_Close_max,First Trust Developed Markets Ex-US AlphaDEX_Close_min,First Trust Developed Markets Ex-US AlphaDEX_Close_volatility,First Trust Developed Markets Ex-US AlphaDEX_Close_change
2018-01-14,66.27,66.27,66.27,0.0,0.0,66.3,66.3,66.3,0.0,0.0,66.04,66.04,66.04,0.0,0.0,66.24,66.24,66.24,0.0,0.0
2018-01-21,67.05,67.05,67.05,0.0,0.0,67.2,67.2,67.2,0.0,0.0,66.8,66.8,66.8,0.0,0.0,67.08,67.08,67.08,0.0,0.0
2018-01-28,65.44,65.44,65.44,0.0,0.0,65.44,65.44,65.44,0.0,0.0,64.51,64.51,64.51,0.0,0.0,64.61,64.61,64.61,0.0,0.0
2018-02-04,60.87,60.87,60.87,0.0,0.0,61.12,61.12,61.12,0.0,0.0,59.25,59.25,59.25,0.0,0.0,60.78,60.78,60.78,0.0,0.0
2018-02-11,63.41,63.41,63.41,0.0,0.0,63.92,63.92,63.92,0.0,0.0,63.41,63.41,63.41,0.0,0.0,63.63,63.63,63.63,0.0,0.0
2018-02-18,63.84,63.84,63.84,0.0,0.0,64.16,64.16,64.16,0.0,0.0,63.7,63.7,63.7,0.0,0.0,64.08,64.08,64.08,0.0,0.0
2018-02-25,62.0,62.0,62.0,0.0,0.0,62.65,62.65,62.65,0.0,0.0,61.75,61.75,61.75,0.0,0.0,62.65,62.65,62.65,0.0,0.0
2018-03-04,63.33,63.33,63.33,0.0,0.0,63.81,63.81,63.81,0.0,0.0,63.33,63.33,63.33,0.0,0.0,63.77,63.77,63.77,0.0,0.0
2018-03-11,63.81,63.81,63.81,0.0,0.0,64.02,64.02,64.02,0.0,0.0,63.74,63.74,63.74,0.0,0.0,63.74,63.74,63.74,0.0,0.0
2018-03-18,62.15,62.15,62.15,0.0,0.0,62.29,62.29,62.29,0.0,0.0,61.25,61.25,61.25,0.0,0.0,61.25,61.25,61.25,0.0,0.0
2018-03-25,62.48,62.48,62.48,0.0,0.0,63.03,63.03,63.03,0.0,0.0,62.41,62.41,62.41,0.0,0.0,62.83,62.83,62.83,0.0,0.0
2018-04-01,62.36,62.36,62.36,0.0,0.0,62.6,62.6,62.6,0.0,0.0,61.67,61.67,61.67,0.0,0.0,61.86,61.86,61.86,0.0,0.0
2018-04-08,63.08,63.08,63.08,0.0,0.0,63.08,63.08,63.08,0.0,0.0,62.58,62.58,62.58,0.0,0.0,62.76,62.76,62.76,0.0,0.0
2018-04-15,63.03,63.03,63.03,0.0,0.0,63.03,63.03,63.03,0.0,0.0,62.64,62.64,62.64,0.0,0.0,62.77,62.77,62.77,0.0,0.0
2018-04-22,62.57,62.57,62.57,0.0,0.0,62.8,62.8,62.8,0.0,0.0,62.51,62.51,62.51,0.0,0.0,62.75,62.75,62.75,0.0,0.0
