Date,iShares US Real Estate_Open_average,iShares US Real Estate_Open_max,iShares US Real Estate_Open_volatility,iShares US Real Estate_Open_change,iShares US Real Estate_High_average,iShares US Real Estate_High_max,iShares US Real Estate_High_volatility,iShares US Real Estate_High_change,iShares US Real Estate_Low_average,iShares US Real Estate_Low_max,iShares US Real Estate_Low_volatility,iShares US Real Estate_Low_change,iShares US Real Estate_Close_average,iShares US Real Estate_Close_max,iShares US Real Estate_Close_volatility,iShares US Real Estate_Close_change
2016-01-03,73.06,73.06,0.0,0.0,73.45,73.45,0.0,0.0,72.78,72.78,0.0,0.0,73.06,73.06,0.0,0.0
2016-01-10,70.49,70.49,0.0,0.0,70.81,70.81,0.0,0.0,69.87,69.87,0.0,0.0,70.54,70.54,0.0,0.0
2016-01-17,71.07,71.07,0.0,0.0,71.73,71.73,0.0,0.0,70.5,70.5,0.0,0.0,70.55,70.55,0.0,0.0
2016-01-24,71.7,71.7,0.0,0.0,72.6,72.6,0.0,0.0,71.32,71.32,0.0,0.0,72.01,72.01,0.0,0.0
2016-01-31,69.3,69.3,0.0,0.0,69.76,69.76,0.0,0.0,67.05,67.05,0.0,0.0,68.01,68.01,0.0,0.0
2016-02-07,66.88,66.88,0.0,0.0,67.28,67.28,0.0,0.0,66.54,66.54,0.0,0.0,67.13,67.13,0.0,0.0
2016-02-14,70.31,70.31,0.0,0.0,71.08,71.08,0.0,0.0,70.3,70.3,0.0,0.0,70.66,70.66,0.0,0.0
2016-02-21,71.47,71.47,0.0,0.0,72.36,72.36,0.0,0.0,71.31,71.31,0.0,0.0,71.46,71.46,0.0,0.0
2016-02-28,74.09,74.09,0.0,0.0,74.77,74.77,0.0,0.0,73.96,73.96,0.0,0.0,74.59,74.59,0.0,0.0
2016-03-06,75.43,75.43,0.0,0.0,75.67,75.67,0.0,0.0,75.15,75.15,0.0,0.0,75.58,75.58,0.0,0.0
2016-03-13,77.0,77.0,0.0,0.0,77.45,77.45,0.0,0.0,76.66,76.66,0.0,0.0,76.79,76.79,0.0,0.0
2016-03-20,75.58,75.58,0.0,0.0,76.21,76.21,0.0,0.0,75.37,75.37,0.0,0.0,76.01,76.01,0.0,0.0
2016-03-27,77.94,77.94,0.0,0.0,78.1,78.1,0.0,0.0,77.54,77.54,0.0,0.0,77.8,77.8,0.0,0.0
2016-04-03,77.67,77.67,0.0,0.0,77.98,77.98,0.0,0.0,77.43,77.43,0.0,0.0,77.47,77.47,0.0,0.0
2016-04-10,77.74,77.74,0.0,0.0,78.2,78.2,0.0,0.0,77.61,77.61,0.0,0.0,78.16,78.16,0.0,0.0
2016-04-17,76.33,76.33,0.0,0.0,77.14,77.14,0.0,0.0,76.33,76.33,0.0,0.0,77.12,77.12,0.0,0.0
2016-04-24,76.26,76.26,0.0,0.0,77.77,77.77,0.0,0.0,76.2,76.2,0.0,0.0,77.58,77.58,0.0,0.0
2016-05-01,79.67,79.67,0.0,0.0,80.3,80.3,0.0,0.0,79.59,79.59,0.0,0.0,80.16,80.16,0.0,0.0
2016-05-08,78.56,78.56,0.0,0.0,79.52,79.52,0.0,0.0,78.45,78.45,0.0,0.0,79.25,79.25,0.0,0.0
2016-05-15,76.87,76.87,0.0,0.0,77.08,77.08,0.0,0.0,76.61,76.61,0.0,0.0,76.81,76.81,0.0,0.0
2016-05-22,77.94,77.94,0.0,0.0,78.58,78.58,0.0,0.0,77.9,77.9,0.0,0.0,78.24,78.24,0.0,0.0
2016-05-29,79.08,79.08,0.0,0.0,79.22,79.22,0.0,0.0,78.15,78.15,0.0,0.0,78.47,78.47,0.0,0.0
2016-06-05,79.04,79.04,0.0,0.0,79.66,79.66,0.0,0.0,78.9,78.9,0.0,0.0,79.04,79.04,0.0,0.0
2016-06-12,79.89,79.89,0.0,0.0,80.64,80.64,0.0,0.0,79.69,79.69,0.0,0.0,79.76,79.76,0.0,0.0
