Date,SPDR Barclays Convertible Securities_Open_average,SPDR Barclays Convertible Securities_Open_max,SPDR Barclays Convertible Securities_Open_min,SPDR Barclays Convertible Securities_Open_volatility,SPDR Barclays Convertible Securities_Open_change,SPDR Barclays Convertible Securities_High_average,SPDR Barclays Convertible Securities_High_max,SPDR Barclays Convertible Securities_High_min,SPDR Barclays Convertible Securities_High_volatility,SPDR Barclays Convertible Securities_High_change,SPDR Barclays Convertible Securities_Low_average,SPDR Barclays Convertible Securities_Low_max,SPDR Barclays Convertible Securities_Low_min,SPDR Barclays Convertible Securities_Low_volatility,SPDR Barclays Convertible Securities_Low_change,SPDR Barclays Convertible Securities_Close_average,SPDR Barclays Convertible Securities_Close_max,SPDR Barclays Convertible Securities_Close_min,SPDR Barclays Convertible Securities_Close_volatility,SPDR Barclays Convertible Securities_Close_change
2018-01-14,52.54,52.54,52.54,0.0,0.0,52.66,52.66,52.66,0.0,0.0,52.35,52.35,52.35,0.0,0.0,52.66,52.66,52.66,0.0,0.0
2018-01-21,53.2,53.2,53.2,0.0,0.0,53.73,53.73,53.73,0.0,0.0,53.2,53.2,53.2,0.0,0.0,53.7,53.7,53.7,0.0,0.0
2018-01-28,52.5,52.5,52.5,0.0,0.0,52.62,52.62,52.62,0.0,0.0,51.81,51.81,51.81,0.0,0.0,51.82,51.82,51.82,0.0,0.0
2018-02-04,50.0,50.0,50.0,0.0,0.0,50.12,50.12,50.12,0.0,0.0,48.86,48.86,48.86,0.0,0.0,49.89,49.89,49.89,0.0,0.0
2018-02-11,51.43,51.43,51.43,0.0,0.0,51.8,51.8,51.8,0.0,0.0,51.37,51.37,51.37,0.0,0.0,51.49,51.49,51.49,0.0,0.0
2018-02-18,51.69,51.69,51.69,0.0,0.0,52.1,52.1,52.1,0.0,0.0,51.66,51.66,51.66,0.0,0.0,52.09,52.09,52.09,0.0,0.0
2018-02-25,51.0,51.0,51.0,0.0,0.0,51.62,51.62,51.62,0.0,0.0,50.78,50.78,50.78,0.0,0.0,51.6,51.6,51.6,0.0,0.0
2018-03-04,53.04,53.04,53.04,0.0,0.0,53.32,53.32,53.32,0.0,0.0,52.96,52.96,52.96,0.0,0.0,53.29,53.29,53.29,0.0,0.0
2018-03-11,53.45,53.45,53.45,0.0,0.0,53.59,53.59,53.59,0.0,0.0,53.41,53.41,53.41,0.0,0.0,53.47,53.47,53.47,0.0,0.0
2018-03-18,52.4,52.4,52.4,0.0,0.0,52.46,52.46,52.46,0.0,0.0,51.44,51.44,51.44,0.0,0.0,51.47,51.47,51.47,0.0,0.0
2018-03-25,51.44,51.44,51.44,0.0,0.0,51.88,51.88,51.88,0.0,0.0,51.14,51.14,51.14,0.0,0.0,51.66,51.66,51.66,0.0,0.0
2018-04-01,50.97,50.97,50.97,0.0,0.0,51.3,51.3,51.3,0.0,0.0,50.46,50.46,50.46,0.0,0.0,50.67,50.67,50.67,0.0,0.0
2018-04-08,52.01,52.01,52.01,0.0,0.0,52.04,52.04,52.04,0.0,0.0,51.39,51.39,51.39,0.0,0.0,51.55,51.55,51.55,0.0,0.0
2018-04-15,52.03,52.03,52.03,0.0,0.0,52.16,52.16,52.16,0.0,0.0,51.72,51.72,51.72,0.0,0.0,51.84,51.84,51.84,0.0,0.0
2018-04-22,51.83,51.83,51.83,0.0,0.0,51.92,51.92,51.92,0.0,0.0,51.38,51.38,51.38,0.0,0.0,51.61,51.61,51.61,0.0,0.0
