Date,FlexShares Morningstar Emerging Markets Factors Ti_Open_average,FlexShares Morningstar Emerging Markets Factors Ti_Open_max,FlexShares Morningstar Emerging Markets Factors Ti_Open_min,FlexShares Morningstar Emerging Markets Factors Ti_Open_volatility,FlexShares Morningstar Emerging Markets Factors Ti_Open_change,FlexShares Morningstar Emerging Markets Factors Ti_High_average,FlexShares Morningstar Emerging Markets Factors Ti_High_max,FlexShares Morningstar Emerging Markets Factors Ti_High_min,FlexShares Morningstar Emerging Markets Factors Ti_High_volatility,FlexShares Morningstar Emerging Markets Factors Ti_High_change,FlexShares Morningstar Emerging Markets Factors Ti_Low_average,FlexShares Morningstar Emerging Markets Factors Ti_Low_max,FlexShares Morningstar Emerging Markets Factors Ti_Low_min,FlexShares Morningstar Emerging Markets Factors Ti_Low_volatility,FlexShares Morningstar Emerging Markets Factors Ti_Low_change,FlexShares Morningstar Emerging Markets Factors Ti_Close_average,FlexShares Morningstar Emerging Markets Factors Ti_Close_max,FlexShares Morningstar Emerging Markets Factors Ti_Close_min,FlexShares Morningstar Emerging Markets Factors Ti_Close_volatility,FlexShares Morningstar Emerging Markets Factors Ti_Close_change
2018-01-14,63.27,63.27,63.27,0.0,0.0,63.89,63.89,63.89,0.0,0.0,63.27,63.27,63.27,0.0,0.0,63.57,63.57,63.57,0.0,0.0
2018-01-21,64.77,64.77,64.77,0.0,0.0,65.09,65.09,65.09,0.0,0.0,64.43,64.43,64.43,0.0,0.0,64.5,64.5,64.5,0.0,0.0
2018-01-28,62.29,62.29,62.29,0.0,0.0,62.83,62.83,62.83,0.0,0.0,60.12,60.12,60.12,0.0,0.0,60.92,60.92,60.92,0.0,0.0
2018-02-04,59.8,59.8,59.8,0.0,0.0,60.15,60.15,60.15,0.0,0.0,59.38,59.38,59.38,0.0,0.0,60.02,60.02,60.02,0.0,0.0
2018-02-11,62.34,62.34,62.34,0.0,0.0,62.76,62.76,62.76,0.0,0.0,62.03,62.03,62.03,0.0,0.0,62.33,62.33,62.33,0.0,0.0
2018-02-18,62.58,62.58,62.58,0.0,0.0,63.1,63.1,63.1,0.0,0.0,62.58,62.58,62.58,0.0,0.0,63.04,63.04,63.04,0.0,0.0
2018-02-25,60.08,60.08,60.08,0.0,0.0,61.04,61.04,61.04,0.0,0.0,60.08,60.08,60.08,0.0,0.0,60.84,60.84,60.84,0.0,0.0
2018-03-04,62.06,62.06,62.06,0.0,0.0,62.39,62.39,62.39,0.0,0.0,62.0,62.0,62.0,0.0,0.0,62.16,62.16,62.16,0.0,0.0
2018-03-11,61.06,61.06,61.06,0.0,0.0,61.25,61.25,61.25,0.0,0.0,60.64,60.64,60.64,0.0,0.0,60.98,60.98,60.98,0.0,0.0
2018-03-18,60.03,60.03,60.03,0.0,0.0,60.65,60.65,60.65,0.0,0.0,59.8,59.8,59.8,0.0,0.0,60.6,60.6,60.6,0.0,0.0
2018-03-25,60.68,60.68,60.68,0.0,0.0,60.68,60.68,60.68,0.0,0.0,59.13,59.13,59.13,0.0,0.0,59.62,59.62,59.62,0.0,0.0
2018-04-01,59.9,59.9,59.9,0.0,0.0,60.18,60.18,60.18,0.0,0.0,59.71,59.71,59.71,0.0,0.0,59.71,59.71,59.71,0.0,0.0
2018-04-08,59.96,59.96,59.96,0.0,0.0,60.16,60.16,60.16,0.0,0.0,59.85,59.85,59.85,0.0,0.0,59.99,59.99,59.99,0.0,0.0
2018-04-15,59.41,59.41,59.41,0.0,0.0,59.72,59.72,59.72,0.0,0.0,59.35,59.35,59.35,0.0,0.0,59.44,59.44,59.44,0.0,0.0
2018-04-22,59.99,59.99,59.99,0.0,0.0,59.99,59.99,59.99,0.0,0.0,59.53,59.53,59.53,0.0,0.0,59.55,59.55,59.55,0.0,0.0
2018-04-29,58.6,58.6,58.6,0.0,0.0,58.74,58.74,58.74,0.0,0.0,58.44,58.44,58.44,0.0,0.0,58.48,58.48,58.48,0.0,0.0
2018-05-06,60.05,60.05,60.05,0.0,0.0,60.05,60.05,60.05,0.0,0.0,59.5,59.5,59.5,0.0,0.0,59.53,59.53,59.53,0.0,0.0
