Date,iShares MSCI UAE Capped_Open_average,iShares MSCI UAE Capped_Open_max,iShares MSCI UAE Capped_Open_min,iShares MSCI UAE Capped_Open_volatility,iShares MSCI UAE Capped_Open_change,iShares MSCI UAE Capped_High_average,iShares MSCI UAE Capped_High_max,iShares MSCI UAE Capped_High_min,iShares MSCI UAE Capped_High_volatility,iShares MSCI UAE Capped_High_change,iShares MSCI UAE Capped_Low_average,iShares MSCI UAE Capped_Low_max,iShares MSCI UAE Capped_Low_min,iShares MSCI UAE Capped_Low_volatility,iShares MSCI UAE Capped_Low_change,iShares MSCI UAE Capped_Close_average,iShares MSCI UAE Capped_Close_max,iShares MSCI UAE Capped_Close_min,iShares MSCI UAE Capped_Close_volatility,iShares MSCI UAE Capped_Close_change
2018-01-14,18.02,18.02,18.02,0.0,0.0,18.08,18.08,18.08,0.0,0.0,17.84,17.84,17.84,0.0,0.0,18.08,18.08,18.08,0.0,0.0
2018-01-21,17.91,17.91,17.91,0.0,0.0,18.02,18.02,18.02,0.0,0.0,17.87,17.87,17.87,0.0,0.0,18.02,18.02,18.02,0.0,0.0
2018-01-28,17.52,17.52,17.52,0.0,0.0,17.52,17.52,17.52,0.0,0.0,17.31,17.31,17.31,0.0,0.0,17.36,17.36,17.36,0.0,0.0
2018-02-04,17.1,17.1,17.1,0.0,0.0,17.16,17.16,17.16,0.0,0.0,16.61,16.61,16.61,0.0,0.0,17.1,17.1,17.1,0.0,0.0
2018-02-11,17.11,17.11,17.11,0.0,0.0,17.14,17.14,17.14,0.0,0.0,16.97,16.97,16.97,0.0,0.0,16.97,16.97,16.97,0.0,0.0
2018-02-18,17.13,17.13,17.13,0.0,0.0,17.2,17.2,17.2,0.0,0.0,16.94,16.94,16.94,0.0,0.0,17.03,17.03,17.03,0.0,0.0
2018-02-25,16.61,16.61,16.61,0.0,0.0,16.67,16.67,16.67,0.0,0.0,16.55,16.55,16.55,0.0,0.0,16.63,16.63,16.63,0.0,0.0
2018-03-04,16.84,16.84,16.84,0.0,0.0,16.88,16.88,16.88,0.0,0.0,16.78,16.78,16.78,0.0,0.0,16.88,16.88,16.88,0.0,0.0
2018-03-11,16.64,16.64,16.64,0.0,0.0,16.71,16.71,16.71,0.0,0.0,16.62,16.62,16.62,0.0,0.0,16.7,16.7,16.7,0.0,0.0
2018-03-18,16.56,16.56,16.56,0.0,0.0,16.57,16.57,16.57,0.0,0.0,16.4,16.4,16.4,0.0,0.0,16.4,16.4,16.4,0.0,0.0
2018-03-25,16.62,16.62,16.62,0.0,0.0,16.74,16.74,16.74,0.0,0.0,16.61,16.61,16.61,0.0,0.0,16.74,16.74,16.74,0.0,0.0
2018-04-01,16.57,16.57,16.57,0.0,0.0,16.61,16.61,16.61,0.0,0.0,16.15,16.15,16.15,0.0,0.0,16.2,16.2,16.2,0.0,0.0
2018-04-08,16.59,16.59,16.59,0.0,0.0,16.59,16.59,16.59,0.0,0.0,16.57,16.57,16.57,0.0,0.0,16.59,16.59,16.59,0.0,0.0
2018-04-15,16.48,16.48,16.48,0.0,0.0,16.53,16.53,16.53,0.0,0.0,16.4,16.4,16.4,0.0,0.0,16.51,16.51,16.51,0.0,0.0
2018-04-22,16.55,16.55,16.55,0.0,0.0,16.55,16.55,16.55,0.0,0.0,16.4,16.4,16.4,0.0,0.0,16.53,16.53,16.53,0.0,0.0
2018-04-29,16.29,16.29,16.29,0.0,0.0,16.4,16.4,16.4,0.0,0.0,16.29,16.29,16.29,0.0,0.0,16.4,16.4,16.4,0.0,0.0
2018-05-06,15.9,15.9,15.9,0.0,0.0,16.04,16.04,16.04,0.0,0.0,15.9,15.9,15.9,0.0,0.0,16.03,16.03,16.03,0.0,0.0
2018-05-13,15.93,15.93,15.93,0.0,0.0,15.96,15.96,15.96,0.0,0.0,15.93,15.93,15.93,0.0,0.0,15.96,15.96,15.96,0.0,0.0
2018-05-20,16.33,16.33,16.33,0.0,0.0,16.42,16.42,16.42,0.0,0.0,16.23,16.23,16.23,0.0,0.0,16.24,16.24,16.24,0.0,0.0
2018-05-27,16.27,16.27,16.27,0.0,0.0,16.34,16.34,16.34,0.0,0.0,16.27,16.27,16.27,0.0,0.0,16.34,16.34,16.34,0.0,0.0
2018-06-03,16.59,16.59,16.59,0.0,0.0,16.66,16.66,16.66,0.0,0.0,16.59,16.59,16.59,0.0,0.0,16.64,16.64,16.64,0.0,0.0
2018-06-10,16.76,16.76,16.76,0.0,0.0,16.77,16.77,16.77,0.0,0.0,16.7,16.7,16.7,0.0,0.0,16.77,16.77,16.77,0.0,0.0
2018-06-17,15.65,15.65,15.65,0.0,0.0,15.65,15.65,15.65,0.0,0.0,15.57,15.57,15.57,0.0,0.0,15.58,15.58,15.58,0.0,0.0
2018-06-24,15.24,15.24,15.24,0.0,0.0,15.35,15.35,15.35,0.0,0.0,15.15,15.15,15.15,0.0,0.0,15.22,15.22,15.22,0.0,0.0
2018-07-01,15.37,15.37,15.37,0.0,0.0,15.37,15.37,15.37,0.0,0.0,15.27,15.27,15.27,0.0,0.0,15.27,15.27,15.27,0.0,0.0
2018-07-08,15.51,15.51,15.51,0.0,0.0,15.53,15.53,15.53,0.0,0.0,15.48,15.48,15.48,0.0,0.0,15.48,15.48,15.48,0.0,0.0
2018-07-15,15.42,15.42,15.42,0.0,0.0,15.81,15.81,15.81,0.0,0.0,15.42,15.42,15.42,0.0,0.0,15.76,15.76,15.76,0.0,0.0
2018-07-22,15.63,15.63,15.63,0.0,0.0,15.78,15.78,15.78,0.0,0.0,15.61,15.61,15.61,0.0,0.0,15.62,15.62,15.62,0.0,0.0
2018-07-29,15.9,15.9,15.9,0.0,0.0,15.93,15.93,15.93,0.0,0.0,15.9,15.9,15.9,0.0,0.0,15.92,15.92,15.92,0.0,0.0
2018-08-05,15.74,15.74,15.74,0.0,0.0,15.74,15.74,15.74,0.0,0.0,15.74,15.74,15.74,0.0,0.0,15.74,15.74,15.74,0.0,0.0
2018-08-12,15.53,15.53,15.53,0.0,0.0,15.53,15.53,15.53,0.0,0.0,15.53,15.53,15.53,0.0,0.0,15.53,15.53,15.53,0.0,0.0
2018-08-19,15.79,15.79,15.79,0.0,0.0,15.79,15.79,15.79,0.0,0.0,15.77,15.77,15.77,0.0,0.0,15.79,15.79,15.79,0.0,0.0
2018-08-26,15.5,15.5,15.5,0.0,0.0,15.56,15.56,15.56,0.0,0.0,15.45,15.45,15.45,0.0,0.0,15.55,15.55,15.55,0.0,0.0
2018-09-02,15.53,15.53,15.53,0.0,0.0,15.53,15.53,15.53,0.0,0.0,15.43,15.43,15.43,0.0,0.0,15.43,15.43,15.43,0.0,0.0
2018-09-09,15.58,15.58,15.58,0.0,0.0,15.6,15.6,15.6,0.0,0.0,15.57,15.57,15.57,0.0,0.0,15.6,15.6,15.6,0.0,0.0
2018-09-16,15.3,15.3,15.3,0.0,0.0,15.3,15.3,15.3,0.0,0.0,15.3,15.3,15.3,0.0,0.0,15.3,15.3,15.3,0.0,0.0
2018-09-23,15.4,15.4,15.4,0.0,0.0,15.4,15.4,15.4,0.0,0.0,15.27,15.27,15.27,0.0,0.0,15.27,15.27,15.27,0.0,0.0
2018-09-30,15.12,15.12,15.12,0.0,0.0,15.14,15.14,15.14,0.0,0.0,15.04,15.04,15.04,0.0,0.0,15.07,15.07,15.07,0.0,0.0
2018-10-07,14.99,14.99,14.99,0.0,0.0,15.07,15.07,15.07,0.0,0.0,14.98,14.98,14.98,0.0,0.0,15.04,15.04,15.04,0.0,0.0
2018-10-14,15.02,15.02,15.02,0.0,0.0,15.02,15.02,15.02,0.0,0.0,14.9,14.9,14.9,0.0,0.0,14.93,14.93,14.93,0.0,0.0
2018-10-21,14.82,14.82,14.82,0.0,0.0,14.89,14.89,14.89,0.0,0.0,14.73,14.73,14.73,0.0,0.0,14.83,14.83,14.83,0.0,0.0
2018-10-28,15.29,15.29,15.29,0.0,0.0,15.29,15.29,15.29,0.0,0.0,15.25,15.25,15.25,0.0,0.0,15.25,15.25,15.25,0.0,0.0
