Date,GROW_stock_Open_average,GROW_stock_Open_max,GROW_stock_Open_min,GROW_stock_Open_volatility,GROW_stock_Open_change,GROW_stock_High_average,GROW_stock_High_max,GROW_stock_High_min,GROW_stock_High_volatility,GROW_stock_High_change,GROW_stock_Low_average,GROW_stock_Low_max,GROW_stock_Low_min,GROW_stock_Low_volatility,GROW_stock_Low_change,GROW_stock_Close_average,GROW_stock_Close_max,GROW_stock_Close_min,GROW_stock_Close_volatility,GROW_stock_Close_change,GROW_stock_Volume_average,GROW_stock_Volume_max,GROW_stock_Volume_min,GROW_stock_Volume_volatility,GROW_stock_Volume_change
2018-01-14,4.0225,4.28,3.7,0.5800000000000001,-0.16999999999999993,4.10475,4.379,3.81,0.5689999999999995,-0.26899999999999924,3.76,3.9,3.48,0.41999999999999993,-0.040000000000000036,3.89,3.96,3.77,0.18999999999999995,-0.03000000000000025,860610,1305265,308721,996544,-848556
2018-01-21,3.868,4.13,3.66,0.46999999999999975,-0.06000000000000005,4.028,4.13,3.9,0.22999999999999998,0.13000000000000034,3.722,3.8,3.65,0.1499999999999999,-0.010000000000000231,3.854,4.03,3.73,0.30000000000000027,-0.010000000000000231,626683,1032023,332282,699741,581058
2018-01-28,3.552,3.78,3.3,0.48,-0.48,3.6218,3.96,3.3,0.6600000000000001,-0.6600000000000001,3.3542,3.76,3.0210000000000004,0.7389999999999994,-0.7389999999999994,3.498,3.87,3.22,0.6499999999999999,-0.6499999999999999,415519,527783,281386,246397,152838
2018-02-04,3.162,3.32,3.02,0.2999999999999998,-0.020000000000000018,3.257,3.42,3.14,0.2799999999999998,-0.06000000000000005,3.046,3.18,2.93,0.25,-0.1299999999999999,3.122,3.23,3.03,0.20000000000000018,-0.07000000000000028,256608,386779,125638,261141,-45869
2018-02-11,3.358,3.55,3.0,0.5499999999999998,0.48,3.534,3.67,3.44,0.22999999999999998,0.1299999999999999,3.216,3.39,3.0,0.3900000000000001,0.3900000000000001,3.393,3.56,3.28,0.28000000000000025,0.20000000000000018,337738,469388,194215,275173,132414
2018-02-18,3.6475,3.66,3.62,0.040000000000000036,0.010000000000000231,3.7897499999999997,3.85,3.75,0.10000000000000009,-0.10000000000000009,3.63,3.66,3.6,0.06000000000000005,0.020000000000000018,3.7125000000000004,3.81,3.6,0.20999999999999996,-0.08999999999999986,220157,428833,118372,310461,-310461
2018-02-25,3.462,3.75,3.29,0.45999999999999996,-0.45999999999999996,3.528,3.79,3.36,0.43000000000000016,-0.43000000000000016,3.323,3.49,3.17,0.3200000000000003,-0.3200000000000003,3.392,3.57,3.29,0.2799999999999998,-0.25,164443,236923,87009,149914,-100382
2018-03-04,3.172,3.35,2.81,0.54,-0.5299999999999998,3.206,3.4,2.87,0.5299999999999998,-0.5299999999999998,3.038,3.27,2.75,0.52,-0.52,3.076,3.36,2.81,0.5499999999999998,-0.5499999999999998,185765,282813,87196,195617,134287
2018-03-11,2.922,3.14,2.79,0.3500000000000001,0.029999999999999805,3.0232,3.19,2.853,0.33699999999999974,-0.2669999999999999,2.8040000000000003,2.95,2.7,0.25,-0.08999999999999986,2.886,3.1,2.7,0.3999999999999999,-0.3999999999999999,214748,465709,131293,334416,-275862
2018-03-18,2.674,2.73,2.59,0.14000000000000012,-0.050000000000000266,2.762,2.8,2.7,0.09999999999999964,-0.04999999999999982,2.5742,2.661,2.51,0.15100000000000025,0.040000000000000036,2.664,2.74,2.59,0.15000000000000036,0.010000000000000231,126949,187628,69617,118011,-38845
2018-03-25,2.5825,2.68,2.43,0.25,-0.21999999999999975,2.64025,2.7289999999999996,2.569,0.1599999999999997,-0.12400000000000011,2.484,2.6010000000000004,2.375,0.22600000000000042,-0.19100000000000028,2.535,2.66,2.4,0.26000000000000023,-0.13000000000000034,103838,181296,73967,107329,-11073
2018-04-01,2.484,2.53,2.44,0.08999999999999986,-0.07999999999999963,2.546,2.59,2.5,0.08999999999999986,0.020000000000000018,2.4228,2.45,2.4,0.050000000000000266,-0.04400000000000004,2.4979999999999998,2.57,2.46,0.10999999999999988,0.06999999999999984,96649,165039,58572,106467,106301
2018-04-08,2.864,3.14,2.6,0.54,0.54,3.0148,3.2,2.784,0.41600000000000037,0.41600000000000037,2.8042000000000002,3.02,2.6,0.41999999999999993,0.41999999999999993,2.917,3.13,2.71,0.41999999999999993,0.41999999999999993,167438,232015,119216,112799,-79583
2018-04-15,3.082,3.17,2.9,0.27,-0.06999999999999984,3.134,3.18,3.1,0.08000000000000007,-0.04999999999999982,2.9892,3.08,2.9,0.18000000000000016,-0.053999999999999826,3.032,3.12,2.9,0.2200000000000002,-0.0900000000000003,80420,136952,47567,89385,30697
2018-04-22,2.95,3.03,2.9,0.1299999999999999,-0.1299999999999999,2.9858,3.0589999999999997,2.93,0.12899999999999956,-0.09999999999999964,2.898,2.9,2.89,0.009999999999999787,0.0,2.918,2.95,2.9,0.050000000000000266,-0.040000000000000036,60175,129018,19726,109292,-32273
2018-04-29,2.83,2.95,2.75,0.20000000000000018,-0.14000000000000012,2.8651999999999997,2.95,2.7889999999999997,0.16100000000000048,-0.0900000000000003,2.754,2.78,2.69,0.08999999999999986,0.020000000000000018,2.802,2.85,2.76,0.0900000000000003,0.040000000000000036,48564,75564,29424,46140,-31227
