Date,ProShares Ultra Basic Materials_Open_average,ProShares Ultra Basic Materials_Open_max,ProShares Ultra Basic Materials_Open_min,ProShares Ultra Basic Materials_Open_volatility,ProShares Ultra Basic Materials_Open_change,ProShares Ultra Basic Materials_High_average,ProShares Ultra Basic Materials_High_max,ProShares Ultra Basic Materials_High_min,ProShares Ultra Basic Materials_High_volatility,ProShares Ultra Basic Materials_High_change,ProShares Ultra Basic Materials_Low_average,ProShares Ultra Basic Materials_Low_max,ProShares Ultra Basic Materials_Low_min,ProShares Ultra Basic Materials_Low_volatility,ProShares Ultra Basic Materials_Low_change,ProShares Ultra Basic Materials_Close_average,ProShares Ultra Basic Materials_Close_max,ProShares Ultra Basic Materials_Close_min,ProShares Ultra Basic Materials_Close_volatility,ProShares Ultra Basic Materials_Close_change
2018-01-14,79.88,79.88,79.88,0.0,0.0,80.64,80.64,80.64,0.0,0.0,79.46,79.46,79.46,0.0,0.0,80.54,80.54,80.54,0.0,0.0
2018-01-21,82.33,82.33,82.33,0.0,0.0,82.52,82.52,82.52,0.0,0.0,81.0,81.0,81.0,0.0,0.0,82.35,82.35,82.35,0.0,0.0
2018-01-28,76.49,76.49,76.49,0.0,0.0,76.49,76.49,76.49,0.0,0.0,72.86,72.86,72.86,0.0,0.0,72.97,72.97,72.97,0.0,0.0
2018-02-04,67.15,67.15,67.15,0.0,0.0,68.2,68.2,68.2,0.0,0.0,63.99,63.99,63.99,0.0,0.0,67.69,67.69,67.69,0.0,0.0
2018-02-11,73.03,73.03,73.03,0.0,0.0,74.11,74.11,74.11,0.0,0.0,72.62,72.62,72.62,0.0,0.0,73.92,73.92,73.92,0.0,0.0
2018-02-18,74.42,74.42,74.42,0.0,0.0,75.94,75.94,75.94,0.0,0.0,74.13,74.13,74.13,0.0,0.0,75.94,75.94,75.94,0.0,0.0
2018-02-25,69.02,69.02,69.02,0.0,0.0,70.18,70.18,70.18,0.0,0.0,68.71,68.71,68.71,0.0,0.0,70.06,70.06,70.06,0.0,0.0
2018-03-04,73.9,73.9,73.9,0.0,0.0,75.55,75.55,75.55,0.0,0.0,73.72,73.72,73.72,0.0,0.0,75.55,75.55,75.55,0.0,0.0
2018-03-11,70.44,70.44,70.44,0.0,0.0,71.4,71.4,71.4,0.0,0.0,70.39,70.39,70.39,0.0,0.0,70.94,70.94,70.94,0.0,0.0
2018-03-18,66.12,66.12,66.12,0.0,0.0,66.12,66.12,66.12,0.0,0.0,62.77,62.77,62.77,0.0,0.0,62.77,62.77,62.77,0.0,0.0
2018-03-25,63.2,63.2,63.2,0.0,0.0,64.9,64.9,64.9,0.0,0.0,62.97,62.97,62.97,0.0,0.0,64.54,64.54,64.54,0.0,0.0
2018-04-01,65.86,65.86,65.86,0.0,0.0,66.05,66.05,66.05,0.0,0.0,62.88,62.88,62.88,0.0,0.0,63.85,63.85,63.85,0.0,0.0
2018-04-08,68.78,68.78,68.78,0.0,0.0,69.06,69.06,69.06,0.0,0.0,68.03,68.03,68.03,0.0,0.0,68.14,68.14,68.14,0.0,0.0
2018-04-15,71.5,71.5,71.5,0.0,0.0,71.5,71.5,71.5,0.0,0.0,70.08,70.08,70.08,0.0,0.0,70.51,70.51,70.51,0.0,0.0
2018-04-22,68.81,68.81,68.81,0.0,0.0,68.81,68.81,68.81,0.0,0.0,67.87,67.87,67.87,0.0,0.0,67.87,67.87,67.87,0.0,0.0
2018-04-29,65.42,65.42,65.42,0.0,0.0,68.3,68.3,68.3,0.0,0.0,65.42,65.42,65.42,0.0,0.0,67.65,67.65,67.65,0.0,0.0
2018-05-06,71.42,71.42,71.42,0.0,0.0,71.57,71.57,71.57,0.0,0.0,70.22,70.22,70.22,0.0,0.0,70.25,70.25,70.25,0.0,0.0
2018-05-13,72.72,72.72,72.72,0.0,0.0,73.43,73.43,73.43,0.0,0.0,72.66,72.66,72.66,0.0,0.0,72.82,72.82,72.82,0.0,0.0
2018-05-20,70.69,70.69,70.69,0.0,0.0,70.69,70.69,70.69,0.0,0.0,69.79,69.79,69.79,0.0,0.0,70.28,70.28,70.28,0.0,0.0
2018-05-27,70.39,70.39,70.39,0.0,0.0,71.0,71.0,71.0,0.0,0.0,70.39,70.39,70.39,0.0,0.0,70.88,70.88,70.88,0.0,0.0
2018-06-03,73.39,73.39,73.39,0.0,0.0,74.57,74.57,74.57,0.0,0.0,73.39,73.39,73.39,0.0,0.0,74.53,74.53,74.53,0.0,0.0
2018-06-10,72.2,72.2,72.2,0.0,0.0,72.36,72.36,72.36,0.0,0.0,71.07,71.07,71.07,0.0,0.0,71.88,71.88,71.88,0.0,0.0
2018-06-17,69.4,69.4,69.4,0.0,0.0,69.89,69.89,69.89,0.0,0.0,69.2,69.2,69.2,0.0,0.0,69.89,69.89,69.89,0.0,0.0
2018-06-24,67.6,67.6,67.6,0.0,0.0,69.49,69.49,69.49,0.0,0.0,67.6,67.6,67.6,0.0,0.0,68.5,68.5,68.5,0.0,0.0
2018-07-01,68.24,68.24,68.24,0.0,0.0,69.25,69.25,69.25,0.0,0.0,67.48,67.48,67.48,0.0,0.0,68.91,68.91,68.91,0.0,0.0
2018-07-08,68.49,68.49,68.49,0.0,0.0,69.81,69.81,69.81,0.0,0.0,68.27,68.27,68.27,0.0,0.0,69.25,69.25,69.25,0.0,0.0
2018-07-15,68.19,68.19,68.19,0.0,0.0,68.64,68.64,68.64,0.0,0.0,68.05,68.05,68.05,0.0,0.0,68.46,68.46,68.46,0.0,0.0
2018-07-22,72.0,72.0,72.0,0.0,0.0,72.01,72.01,72.01,0.0,0.0,71.77,71.77,71.77,0.0,0.0,72.01,72.01,72.01,0.0,0.0
2018-07-29,69.57,69.57,69.57,0.0,0.0,70.6,70.6,70.6,0.0,0.0,69.57,69.57,69.57,0.0,0.0,70.43,70.43,70.43,0.0,0.0
2018-08-05,70.57,70.57,70.57,0.0,0.0,70.57,70.57,70.57,0.0,0.0,69.22,69.22,69.22,0.0,0.0,69.43,69.43,69.43,0.0,0.0
2018-08-12,67.25,67.25,67.25,0.0,0.0,68.5,68.5,68.5,0.0,0.0,67.25,67.25,67.25,0.0,0.0,68.5,68.5,68.5,0.0,0.0
2018-08-19,69.05,69.05,69.05,0.0,0.0,70.2,70.2,70.2,0.0,0.0,69.05,69.05,69.05,0.0,0.0,70.15,70.15,70.15,0.0,0.0
2018-08-26,70.25,70.25,70.25,0.0,0.0,70.7,70.7,70.7,0.0,0.0,70.25,70.25,70.25,0.0,0.0,70.7,70.7,70.7,0.0,0.0
2018-09-02,69.22,69.22,69.22,0.0,0.0,69.41,69.41,69.41,0.0,0.0,68.47,68.47,68.47,0.0,0.0,68.66,68.66,68.66,0.0,0.0
2018-09-09,69.21,69.21,69.21,0.0,0.0,69.55,69.55,69.55,0.0,0.0,68.96,68.96,68.96,0.0,0.0,68.96,68.96,68.96,0.0,0.0
2018-09-16,72.77,72.77,72.77,0.0,0.0,73.5,73.5,73.5,0.0,0.0,72.23,72.23,72.23,0.0,0.0,72.72,72.72,72.72,0.0,0.0
2018-09-23,67.12,67.12,67.12,0.0,0.0,67.2,67.2,67.2,0.0,0.0,66.78,66.78,66.78,0.0,0.0,66.97,66.97,66.97,0.0,0.0
2018-09-30,66.94,66.94,66.94,0.0,0.0,66.94,66.94,66.94,0.0,0.0,65.44,65.44,65.44,0.0,0.0,66.16,66.16,66.16,0.0,0.0
2018-10-07,59.61,59.61,59.61,0.0,0.0,59.61,59.61,59.61,0.0,0.0,57.66,57.66,57.66,0.0,0.0,57.98,57.98,57.98,0.0,0.0
2018-10-14,57.19,57.19,57.19,0.0,0.0,57.19,57.19,57.19,0.0,0.0,56.13,56.13,56.13,0.0,0.0,56.59,56.59,56.59,0.0,0.0
2018-10-21,50.72,50.72,50.72,0.0,0.0,51.87,51.87,51.87,0.0,0.0,50.04,50.04,50.04,0.0,0.0,51.87,51.87,51.87,0.0,0.0
2018-10-28,57.73,57.73,57.73,0.0,0.0,57.83,57.83,57.83,0.0,0.0,55.93,55.93,55.93,0.0,0.0,56.81,56.81,56.81,0.0,0.0
2018-11-04,59.13,59.13,59.13,0.0,0.0,59.13,59.13,59.13,0.0,0.0,57.5,57.5,57.5,0.0,0.0,58.23,58.23,58.23,0.0,0.0
2018-11-11,56.52,56.52,56.52,0.0,0.0,58.21,58.21,58.21,0.0,0.0,56.52,56.52,56.52,0.0,0.0,58.13,58.13,58.13,0.0,0.0
2018-11-18,54.02,54.02,54.02,0.0,0.0,54.26,54.26,54.26,0.0,0.0,53.76,53.76,53.76,0.0,0.0,54.26,54.26,54.26,0.0,0.0
2018-11-25,55.32,55.32,55.32,0.0,0.0,55.8,55.8,55.8,0.0,0.0,55.25,55.25,55.25,0.0,0.0,55.68,55.68,55.68,0.0,0.0
2018-12-02,52.14,52.14,52.14,0.0,0.0,53.56,53.56,53.56,0.0,0.0,49.96,49.96,49.96,0.0,0.0,49.96,49.96,49.96,0.0,0.0
2018-12-09,48.45,48.45,48.45,0.0,0.0,49.28,49.28,49.28,0.0,0.0,48.18,48.18,48.18,0.0,0.0,48.44,48.44,48.44,0.0,0.0
2018-12-16,45.58,45.58,45.58,0.0,0.0,46.94,46.94,46.94,0.0,0.0,44.47,44.47,44.47,0.0,0.0,44.5,44.5,44.5,0.0,0.0
2018-12-23,47.93,47.93,47.93,0.0,0.0,48.35,48.35,48.35,0.0,0.0,46.7,46.7,46.7,0.0,0.0,46.83,46.83,46.83,0.0,0.0
2018-12-30,46.9,46.9,46.9,0.0,0.0,49.51,49.51,49.51,0.0,0.0,46.9,46.9,46.9,0.0,0.0,49.17,49.17,49.17,0.0,0.0
2019-01-06,51.13,51.13,51.13,0.0,0.0,51.35,51.35,51.35,0.0,0.0,50.72,50.72,50.72,0.0,0.0,51.08,51.08,51.08,0.0,0.0
2019-01-13,53.3,53.3,53.3,0.0,0.0,54.14,54.14,54.14,0.0,0.0,52.65,52.65,52.65,0.0,0.0,53.58,53.58,53.58,0.0,0.0
2019-01-20,51.8,51.8,51.8,0.0,0.0,53.11,53.11,53.11,0.0,0.0,51.8,51.8,51.8,0.0,0.0,52.92,52.92,52.92,0.0,0.0
2019-01-27,53.7,53.7,53.7,0.0,0.0,53.94,53.94,53.94,0.0,0.0,53.06,53.06,53.06,0.0,0.0,53.7,53.7,53.7,0.0,0.0
2019-02-03,51.14,51.14,51.14,0.0,0.0,51.25,51.25,51.25,0.0,0.0,50.23,50.23,50.23,0.0,0.0,51.24,51.24,51.24,0.0,0.0
2019-02-10,55.1,55.1,55.1,0.0,0.0,55.1,55.1,55.1,0.0,0.0,54.16,54.16,54.16,0.0,0.0,54.94,54.94,54.94,0.0,0.0
2019-02-17,58.0,58.0,58.0,0.0,0.0,58.33,58.33,58.33,0.0,0.0,57.8,57.8,57.8,0.0,0.0,57.8,57.8,57.8,0.0,0.0
2019-02-24,57.12,57.12,57.12,0.0,0.0,57.89,57.89,57.89,0.0,0.0,56.06,56.06,56.06,0.0,0.0,56.39,56.39,56.39,0.0,0.0
2019-03-03,54.24,54.24,54.24,0.0,0.0,54.84,54.84,54.84,0.0,0.0,54.24,54.24,54.24,0.0,0.0,54.69,54.69,54.69,0.0,0.0
2019-03-10,56.45,56.45,56.45,0.0,0.0,56.95,56.95,56.95,0.0,0.0,56.18,56.18,56.18,0.0,0.0,56.22,56.22,56.22,0.0,0.0
2019-03-17,56.18,56.18,56.18,0.0,0.0,56.18,56.18,56.18,0.0,0.0,53.97,53.97,53.97,0.0,0.0,53.97,53.97,53.97,0.0,0.0
2019-03-24,55.34,55.34,55.34,0.0,0.0,55.76,55.76,55.76,0.0,0.0,55.23,55.23,55.23,0.0,0.0,55.76,55.76,55.76,0.0,0.0
2019-03-31,60.75,60.75,60.75,0.0,0.0,61.18,61.18,61.18,0.0,0.0,60.75,60.75,60.75,0.0,0.0,60.97,60.97,60.97,0.0,0.0
2019-04-07,60.83,60.83,60.83,0.0,0.0,61.23,61.23,61.23,0.0,0.0,60.49,60.49,60.49,0.0,0.0,61.23,61.23,61.23,0.0,0.0
2019-04-14,61.36,61.36,61.36,0.0,0.0,61.36,61.36,61.36,0.0,0.0,60.62,60.62,60.62,0.0,0.0,60.99,60.99,60.99,0.0,0.0
2019-04-21,57.25,57.25,57.25,0.0,0.0,58.71,58.71,58.71,0.0,0.0,57.25,57.25,57.25,0.0,0.0,58.14,58.14,58.14,0.0,0.0
2019-04-28,55.73,55.73,55.73,0.0,0.0,56.96,56.96,56.96,0.0,0.0,55.73,55.73,55.73,0.0,0.0,56.96,56.96,56.96,0.0,0.0
2019-05-05,51.42,51.42,51.42,0.0,0.0,53.15,53.15,53.15,0.0,0.0,51.41,51.41,51.41,0.0,0.0,53.15,53.15,53.15,0.0,0.0
2019-05-12,52.37,52.37,52.37,0.0,0.0,52.37,52.37,52.37,0.0,0.0,51.69,51.69,51.69,0.0,0.0,51.69,51.69,51.69,0.0,0.0
2019-05-19,50.15,50.15,50.15,0.0,0.0,50.15,50.15,50.15,0.0,0.0,49.47,49.47,49.47,0.0,0.0,49.83,49.83,49.83,0.0,0.0
2019-05-26,47.86,47.86,47.86,0.0,0.0,47.86,47.86,47.86,0.0,0.0,47.45,47.45,47.45,0.0,0.0,47.49,47.49,47.49,0.0,0.0
2019-06-02,55.54,55.54,55.54,0.0,0.0,56.24,56.24,56.24,0.0,0.0,55.54,55.54,55.54,0.0,0.0,55.89,55.89,55.89,0.0,0.0
2019-06-09,57.31,57.31,57.31,0.0,0.0,57.32,57.32,57.32,0.0,0.0,57.22,57.22,57.22,0.0,0.0,57.32,57.32,57.32,0.0,0.0
2019-06-16,58.19,58.19,58.19,0.0,0.0,58.53,58.53,58.53,0.0,0.0,58.04,58.04,58.04,0.0,0.0,58.04,58.04,58.04,0.0,0.0
2019-06-23,59.3,59.3,59.3,0.0,0.0,59.64,59.64,59.64,0.0,0.0,59.14,59.14,59.14,0.0,0.0,59.64,59.64,59.64,0.0,0.0
2019-06-30,58.95,58.95,58.95,0.0,0.0,59.58,59.58,59.58,0.0,0.0,58.69,58.69,58.69,0.0,0.0,59.54,59.54,59.54,0.0,0.0
2019-07-07,58.41,58.41,58.41,0.0,0.0,58.9,58.9,58.9,0.0,0.0,58.41,58.41,58.41,0.0,0.0,58.9,58.9,58.9,0.0,0.0
2019-07-14,58.95,58.95,58.95,0.0,0.0,59.64,59.64,59.64,0.0,0.0,58.95,58.95,58.95,0.0,0.0,59.43,59.43,59.43,0.0,0.0
2019-07-21,59.46,59.46,59.46,0.0,0.0,59.8,59.8,59.8,0.0,0.0,59.45,59.45,59.45,0.0,0.0,59.8,59.8,59.8,0.0,0.0
2019-07-28,56.2,56.2,56.2,0.0,0.0,56.2,56.2,56.2,0.0,0.0,54.45,54.45,54.45,0.0,0.0,54.93,54.93,54.93,0.0,0.0
2019-08-04,55.12,55.12,55.12,0.0,0.0,55.61,55.61,55.61,0.0,0.0,54.77,54.77,54.77,0.0,0.0,55.28,55.28,55.28,0.0,0.0
2019-08-11,51.4,51.4,51.4,0.0,0.0,52.29,52.29,52.29,0.0,0.0,51.34,51.34,51.34,0.0,0.0,52.17,52.17,52.17,0.0,0.0
2019-08-18,50.89,50.89,50.89,0.0,0.0,50.89,50.89,50.89,0.0,0.0,48.67,48.67,48.67,0.0,0.0,48.67,48.67,48.67,0.0,0.0
2019-08-25,52.9,52.9,52.9,0.0,0.0,52.9,52.9,52.9,0.0,0.0,52.34,52.34,52.34,0.0,0.0,52.55,52.55,52.55,0.0,0.0
2019-09-01,53.62,53.62,53.62,0.0,0.0,54.0,54.0,54.0,0.0,0.0,53.62,53.62,53.62,0.0,0.0,53.71,53.71,53.71,0.0,0.0
2019-09-08,57.58,57.58,57.58,0.0,0.0,58.57,58.57,58.57,0.0,0.0,57.58,57.58,57.58,0.0,0.0,58.36,58.36,58.36,0.0,0.0
2019-09-15,57.58,57.58,57.58,0.0,0.0,57.58,57.58,57.58,0.0,0.0,56.82,56.82,56.82,0.0,0.0,57.28,57.28,57.28,0.0,0.0
2019-09-22,55.45,55.45,55.45,0.0,0.0,55.89,55.89,55.89,0.0,0.0,55.04,55.04,55.04,0.0,0.0,55.04,55.04,55.04,0.0,0.0
2019-09-29,51.91,51.91,51.91,0.0,0.0,52.36,52.36,52.36,0.0,0.0,51.69,51.69,51.69,0.0,0.0,52.36,52.36,52.36,0.0,0.0
2019-10-06,52.52,52.52,52.52,0.0,0.0,54.83,54.83,54.83,0.0,0.0,52.52,52.52,52.52,0.0,0.0,54.04,54.04,54.04,0.0,0.0
2019-10-13,53.89,53.89,53.89,0.0,0.0,54.06,54.06,54.06,0.0,0.0,53.89,53.89,53.89,0.0,0.0,54.06,54.06,54.06,0.0,0.0
2019-10-20,55.01,55.01,55.01,0.0,0.0,55.74,55.74,55.74,0.0,0.0,55.01,55.01,55.01,0.0,0.0,55.61,55.61,55.61,0.0,0.0
2019-10-27,57.55,57.55,57.55,0.0,0.0,57.55,57.55,57.55,0.0,0.0,57.3,57.3,57.3,0.0,0.0,57.48,57.48,57.48,0.0,0.0
2019-11-03,60.7,60.7,60.7,0.0,0.0,61.05,61.05,61.05,0.0,0.0,60.51,60.51,60.51,0.0,0.0,60.93,60.93,60.93,0.0,0.0
