Date,Oppenheimer Small Cap Revenue_Open_average,Oppenheimer Small Cap Revenue_Open_max,Oppenheimer Small Cap Revenue_Open_min,Oppenheimer Small Cap Revenue_Open_volatility,Oppenheimer Small Cap Revenue_Open_change,Oppenheimer Small Cap Revenue_High_average,Oppenheimer Small Cap Revenue_High_max,Oppenheimer Small Cap Revenue_High_min,Oppenheimer Small Cap Revenue_High_volatility,Oppenheimer Small Cap Revenue_High_change,Oppenheimer Small Cap Revenue_Low_average,Oppenheimer Small Cap Revenue_Low_max,Oppenheimer Small Cap Revenue_Low_min,Oppenheimer Small Cap Revenue_Low_volatility,Oppenheimer Small Cap Revenue_Low_change,Oppenheimer Small Cap Revenue_Close_average,Oppenheimer Small Cap Revenue_Close_max,Oppenheimer Small Cap Revenue_Close_min,Oppenheimer Small Cap Revenue_Close_volatility,Oppenheimer Small Cap Revenue_Close_change
2018-01-14,72.7,72.7,72.7,0.0,0.0,73.22,73.22,73.22,0.0,0.0,72.49,72.49,72.49,0.0,0.0,73.18,73.18,73.18,0.0,0.0
2018-01-21,72.8,72.8,72.8,0.0,0.0,73.11,73.11,73.11,0.0,0.0,72.63,72.63,72.63,0.0,0.0,72.63,72.63,72.63,0.0,0.0
2018-01-28,68.54,68.54,68.54,0.0,0.0,69.04,69.04,69.04,0.0,0.0,66.36,66.36,66.36,0.0,0.0,66.36,66.36,66.36,0.0,0.0
2018-02-04,66.83,66.83,66.83,0.0,0.0,67.48,67.48,67.48,0.0,0.0,65.83,65.83,65.83,0.0,0.0,67.16,67.16,67.16,0.0,0.0
2018-02-11,69.43,69.43,69.43,0.0,0.0,70.45,70.45,70.45,0.0,0.0,69.43,69.43,69.43,0.0,0.0,69.91,69.91,69.91,0.0,0.0
2018-02-18,69.81,69.81,69.81,0.0,0.0,70.23,70.23,70.23,0.0,0.0,69.37,69.37,69.37,0.0,0.0,70.16,70.16,70.16,0.0,0.0
2018-02-25,67.94,67.94,67.94,0.0,0.0,68.84,68.84,68.84,0.0,0.0,67.85,67.85,67.85,0.0,0.0,68.64,68.64,68.64,0.0,0.0
2018-03-04,70.63,70.63,70.63,0.0,0.0,71.18,71.18,71.18,0.0,0.0,70.53,70.53,70.53,0.0,0.0,70.82,70.82,70.82,0.0,0.0
2018-03-11,70.03,70.03,70.03,0.0,0.0,70.03,70.03,70.03,0.0,0.0,68.79,68.79,68.79,0.0,0.0,69.5,69.5,69.5,0.0,0.0
2018-03-18,67.68,67.68,67.68,0.0,0.0,68.0,68.0,68.0,0.0,0.0,66.74,66.74,66.74,0.0,0.0,68.0,68.0,68.0,0.0,0.0
2018-03-25,67.67,67.67,67.67,0.0,0.0,67.96,67.96,67.96,0.0,0.0,65.62,65.62,65.62,0.0,0.0,65.96,65.96,65.96,0.0,0.0
2018-04-01,68.68,68.68,68.68,0.0,0.0,68.68,68.68,68.68,0.0,0.0,67.93,67.93,67.93,0.0,0.0,68.0,68.0,68.0,0.0,0.0
2018-04-08,69.69,69.69,69.69,0.0,0.0,70.39,70.39,70.39,0.0,0.0,69.69,69.69,69.69,0.0,0.0,70.07,70.07,70.07,0.0,0.0
2018-04-15,69.83,69.83,69.83,0.0,0.0,70.08,70.08,70.08,0.0,0.0,69.38,69.38,69.38,0.0,0.0,69.57,69.57,69.57,0.0,0.0
2018-04-22,69.62,69.62,69.62,0.0,0.0,69.75,69.75,69.75,0.0,0.0,68.83,68.83,68.83,0.0,0.0,68.83,68.83,68.83,0.0,0.0
2018-04-29,69.83,69.83,69.83,0.0,0.0,70.31,70.31,70.31,0.0,0.0,69.7,69.7,69.7,0.0,0.0,69.91,69.91,69.91,0.0,0.0
2018-05-06,70.88,70.88,70.88,0.0,0.0,70.99,70.99,70.99,0.0,0.0,70.64,70.64,70.64,0.0,0.0,70.71,70.71,70.71,0.0,0.0
2018-05-13,72.65,72.65,72.65,0.0,0.0,73.05,73.05,73.05,0.0,0.0,72.65,72.65,72.65,0.0,0.0,73.0,73.0,73.0,0.0,0.0
2018-05-20,71.84,71.84,71.84,0.0,0.0,72.33,72.33,72.33,0.0,0.0,71.84,71.84,71.84,0.0,0.0,72.18,72.18,72.18,0.0,0.0
2018-05-27,73.13,73.13,73.13,0.0,0.0,73.79,73.79,73.79,0.0,0.0,73.13,73.13,73.13,0.0,0.0,73.79,73.79,73.79,0.0,0.0
2018-06-03,75.63,75.63,75.63,0.0,0.0,76.26,76.26,76.26,0.0,0.0,75.63,75.63,75.63,0.0,0.0,76.18,76.18,76.18,0.0,0.0
2018-06-10,75.36,75.36,75.36,0.0,0.0,76.4,76.4,76.4,0.0,0.0,75.36,75.36,75.36,0.0,0.0,76.4,76.4,76.4,0.0,0.0
2018-06-17,76.16,76.16,76.16,0.0,0.0,76.16,76.16,76.16,0.0,0.0,74.45,74.45,74.45,0.0,0.0,74.88,74.88,74.88,0.0,0.0
2018-06-24,73.1,73.1,73.1,0.0,0.0,73.67,73.67,73.67,0.0,0.0,72.77,72.77,72.77,0.0,0.0,73.67,73.67,73.67,0.0,0.0
2018-07-01,75.59,75.59,75.59,0.0,0.0,75.93,75.93,75.93,0.0,0.0,75.53,75.53,75.53,0.0,0.0,75.81,75.81,75.81,0.0,0.0
2018-07-08,74.76,74.76,74.76,0.0,0.0,74.76,74.76,74.76,0.0,0.0,74.0,74.0,74.0,0.0,0.0,74.23,74.23,74.23,0.0,0.0
2018-07-15,75.01,75.01,75.01,0.0,0.0,75.01,75.01,75.01,0.0,0.0,74.35,74.35,74.35,0.0,0.0,74.8,74.8,74.8,0.0,0.0
2018-07-22,74.45,74.45,74.45,0.0,0.0,75.33,75.33,75.33,0.0,0.0,74.45,74.45,74.45,0.0,0.0,75.0,75.0,75.0,0.0,0.0
2018-07-29,75.41,75.41,75.41,0.0,0.0,75.99,75.99,75.99,0.0,0.0,75.41,75.41,75.41,0.0,0.0,75.9,75.9,75.9,0.0,0.0
2018-08-05,76.46,76.46,76.46,0.0,0.0,76.61,76.61,76.61,0.0,0.0,75.9,75.9,75.9,0.0,0.0,76.26,76.26,76.26,0.0,0.0
2018-08-12,77.49,77.49,77.49,0.0,0.0,78.02,78.02,78.02,0.0,0.0,77.49,77.49,77.49,0.0,0.0,77.8,77.8,77.8,0.0,0.0
2018-08-19,79.07,79.07,79.07,0.0,0.0,79.48,79.48,79.48,0.0,0.0,78.5,78.5,78.5,0.0,0.0,78.5,78.5,78.5,0.0,0.0
2018-08-26,78.11,78.11,78.11,0.0,0.0,78.64,78.64,78.64,0.0,0.0,78.11,78.11,78.11,0.0,0.0,78.57,78.57,78.57,0.0,0.0
2018-09-02,77.76,77.76,77.76,0.0,0.0,77.77,77.77,77.77,0.0,0.0,77.37,77.37,77.37,0.0,0.0,77.45,77.45,77.45,0.0,0.0
2018-09-09,77.8,77.8,77.8,0.0,0.0,77.8,77.8,77.8,0.0,0.0,77.15,77.15,77.15,0.0,0.0,77.2,77.2,77.2,0.0,0.0
2018-09-16,77.59,77.59,77.59,0.0,0.0,77.59,77.59,77.59,0.0,0.0,76.07,76.07,76.07,0.0,0.0,76.38,76.38,76.38,0.0,0.0
2018-09-23,75.92,75.92,75.92,0.0,0.0,75.92,75.92,75.92,0.0,0.0,73.92,73.92,73.92,0.0,0.0,74.25,74.25,74.25,0.0,0.0
2018-09-30,72.15,72.15,72.15,0.0,0.0,72.56,72.56,72.56,0.0,0.0,71.77,71.77,71.77,0.0,0.0,72.46,72.46,72.46,0.0,0.0
2018-10-07,68.58,68.58,68.58,0.0,0.0,69.56,69.56,69.56,0.0,0.0,68.46,68.46,68.46,0.0,0.0,69.39,69.39,69.39,0.0,0.0
2018-10-14,68.7,68.7,68.7,0.0,0.0,68.94,68.94,68.94,0.0,0.0,68.3,68.3,68.3,0.0,0.0,68.58,68.58,68.58,0.0,0.0
2018-10-21,67.5,67.5,67.5,0.0,0.0,68.47,68.47,68.47,0.0,0.0,66.43,66.43,66.43,0.0,0.0,66.84,66.84,66.84,0.0,0.0
2018-10-28,70.45,70.45,70.45,0.0,0.0,70.45,70.45,70.45,0.0,0.0,69.59,69.59,69.59,0.0,0.0,70.08,70.08,70.08,0.0,0.0
2018-11-04,68.93,68.93,68.93,0.0,0.0,68.93,68.93,68.93,0.0,0.0,67.78,67.78,67.78,0.0,0.0,67.78,67.78,67.78,0.0,0.0
2018-11-11,66.92,66.92,66.92,0.0,0.0,67.37,67.37,67.37,0.0,0.0,66.22,66.22,66.22,0.0,0.0,66.3,66.3,66.3,0.0,0.0
2018-11-18,66.47,66.47,66.47,0.0,0.0,66.71,66.71,66.71,0.0,0.0,65.95,65.95,65.95,0.0,0.0,66.21,66.21,66.21,0.0,0.0
2018-11-25,68.37,68.37,68.37,0.0,0.0,68.37,68.37,68.37,0.0,0.0,67.38,67.38,67.38,0.0,0.0,67.95,67.95,67.95,0.0,0.0
2018-12-02,63.23,63.23,63.23,0.0,0.0,63.23,63.23,63.23,0.0,0.0,61.52,61.52,61.52,0.0,0.0,62.38,62.38,62.38,0.0,0.0
2018-12-09,60.0,60.0,60.0,0.0,0.0,60.66,60.66,60.66,0.0,0.0,58.53,58.53,58.53,0.0,0.0,58.79,58.79,58.79,0.0,0.0
2018-12-16,55.08,55.08,55.08,0.0,0.0,55.56,55.56,55.56,0.0,0.0,54.53,54.53,54.53,0.0,0.0,54.53,54.53,54.53,0.0,0.0
2018-12-23,57.36,57.36,57.36,0.0,0.0,57.36,57.36,57.36,0.0,0.0,56.17,56.17,56.17,0.0,0.0,57.31,57.31,57.31,0.0,0.0
2018-12-30,59.9,59.9,59.9,0.0,0.0,61.78,61.78,61.78,0.0,0.0,59.59,59.59,59.59,0.0,0.0,61.27,61.27,61.27,0.0,0.0
2019-01-06,63.23,63.23,63.23,0.0,0.0,64.01,64.01,64.01,0.0,0.0,63.23,63.23,63.23,0.0,0.0,63.38,63.38,63.38,0.0,0.0
