Date,Direxion Daily European Financials Bull 2X Shares_Open_average,Direxion Daily European Financials Bull 2X Shares_Open_max,Direxion Daily European Financials Bull 2X Shares_Open_min,Direxion Daily European Financials Bull 2X Shares_Open_volatility,Direxion Daily European Financials Bull 2X Shares_Open_change,Direxion Daily European Financials Bull 2X Shares_High_average,Direxion Daily European Financials Bull 2X Shares_High_max,Direxion Daily European Financials Bull 2X Shares_High_min,Direxion Daily European Financials Bull 2X Shares_High_volatility,Direxion Daily European Financials Bull 2X Shares_High_change,Direxion Daily European Financials Bull 2X Shares_Low_average,Direxion Daily European Financials Bull 2X Shares_Low_max,Direxion Daily European Financials Bull 2X Shares_Low_min,Direxion Daily European Financials Bull 2X Shares_Low_volatility,Direxion Daily European Financials Bull 2X Shares_Low_change,Direxion Daily European Financials Bull 2X Shares_Close_average,Direxion Daily European Financials Bull 2X Shares_Close_max,Direxion Daily European Financials Bull 2X Shares_Close_min,Direxion Daily European Financials Bull 2X Shares_Close_volatility,Direxion Daily European Financials Bull 2X Shares_Close_change
2018-01-14,52.35,52.35,52.35,0.0,0.0,53.19,53.19,53.19,0.0,0.0,52.17,52.17,52.17,0.0,0.0,52.6,52.6,52.6,0.0,0.0
2018-01-21,54.52,54.52,54.52,0.0,0.0,54.98,54.98,54.98,0.0,0.0,54.52,54.52,54.52,0.0,0.0,54.9,54.9,54.9,0.0,0.0
2018-01-28,52.27,52.27,52.27,0.0,0.0,52.27,52.27,52.27,0.0,0.0,51.37,51.37,51.37,0.0,0.0,51.37,51.37,51.37,0.0,0.0
2018-02-04,45.73,45.73,45.73,0.0,0.0,45.73,45.73,45.73,0.0,0.0,43.97,43.97,43.97,0.0,0.0,44.36,44.36,44.36,0.0,0.0
2018-02-11,51.1,51.1,51.1,0.0,0.0,51.1,51.1,51.1,0.0,0.0,49.11,49.11,49.11,0.0,0.0,49.38,49.38,49.38,0.0,0.0
2018-02-18,48.38,48.38,48.38,0.0,0.0,48.64,48.64,48.64,0.0,0.0,48.38,48.38,48.38,0.0,0.0,48.52,48.52,48.52,0.0,0.0
2018-02-25,45.33,45.33,45.33,0.0,0.0,45.33,45.33,45.33,0.0,0.0,45.33,45.33,45.33,0.0,0.0,45.33,45.33,45.33,0.0,0.0
2018-03-04,46.1,46.1,46.1,0.0,0.0,46.12,46.12,46.12,0.0,0.0,46.0,46.0,46.0,0.0,0.0,46.11,46.11,46.11,0.0,0.0
2018-03-11,46.69,46.69,46.69,0.0,0.0,46.99,46.99,46.99,0.0,0.0,46.4,46.4,46.4,0.0,0.0,46.4,46.4,46.4,0.0,0.0
2018-03-18,43.16,43.16,43.16,0.0,0.0,43.16,43.16,43.16,0.0,0.0,42.4,42.4,42.4,0.0,0.0,42.4,42.4,42.4,0.0,0.0
2018-03-25,43.15,43.15,43.15,0.0,0.0,43.24,43.24,43.24,0.0,0.0,43.14,43.14,43.14,0.0,0.0,43.15,43.15,43.15,0.0,0.0
2018-04-01,43.36,43.36,43.36,0.0,0.0,43.36,43.36,43.36,0.0,0.0,42.6,42.6,42.6,0.0,0.0,42.6,42.6,42.6,0.0,0.0
2018-04-08,45.03,45.03,45.03,0.0,0.0,45.06,45.06,45.06,0.0,0.0,44.66,44.66,44.66,0.0,0.0,44.66,44.66,44.66,0.0,0.0
2018-04-15,46.42,46.42,46.42,0.0,0.0,46.44,46.44,46.44,0.0,0.0,46.4,46.4,46.4,0.0,0.0,46.44,46.44,46.44,0.0,0.0
2018-04-22,44.74,44.74,44.74,0.0,0.0,45.06,45.06,45.06,0.0,0.0,44.74,44.74,44.74,0.0,0.0,45.06,45.06,45.06,0.0,0.0
2018-04-29,43.09,43.09,43.09,0.0,0.0,43.09,43.09,43.09,0.0,0.0,43.09,43.09,43.09,0.0,0.0,43.09,43.09,43.09,0.0,0.0
2018-05-06,45.04,45.04,45.04,0.0,0.0,45.04,45.04,45.04,0.0,0.0,45.04,45.04,45.04,0.0,0.0,45.04,45.04,45.04,0.0,0.0
2018-05-13,42.79,42.79,42.79,0.0,0.0,42.79,42.79,42.79,0.0,0.0,42.38,42.38,42.38,0.0,0.0,42.42,42.42,42.42,0.0,0.0
2018-05-20,40.18,40.18,40.18,0.0,0.0,40.18,40.18,40.18,0.0,0.0,40.18,40.18,40.18,0.0,0.0,40.18,40.18,40.18,0.0,0.0
2018-05-27,38.19,38.19,38.19,0.0,0.0,38.19,38.19,38.19,0.0,0.0,38.12,38.12,38.12,0.0,0.0,38.12,38.12,38.12,0.0,0.0
2018-06-03,38.07,38.07,38.07,0.0,0.0,38.07,38.07,38.07,0.0,0.0,37.59,37.59,37.59,0.0,0.0,37.59,37.59,37.59,0.0,0.0
2018-06-10,37.5,37.5,37.5,0.0,0.0,37.5,37.5,37.5,0.0,0.0,37.07,37.07,37.07,0.0,0.0,37.07,37.07,37.07,0.0,0.0
2018-06-17,36.0,36.0,36.0,0.0,0.0,36.0,36.0,36.0,0.0,0.0,35.49,35.49,35.49,0.0,0.0,35.53,35.53,35.53,0.0,0.0
2018-06-24,35.61,35.61,35.61,0.0,0.0,35.61,35.61,35.61,0.0,0.0,35.44,35.44,35.44,0.0,0.0,35.44,35.44,35.44,0.0,0.0
2018-07-01,36.15,36.15,36.15,0.0,0.0,36.21,36.21,36.21,0.0,0.0,36.15,36.15,36.15,0.0,0.0,36.21,36.21,36.21,0.0,0.0
2018-07-08,35.48,35.48,35.48,0.0,0.0,35.61,35.61,35.61,0.0,0.0,35.48,35.48,35.48,0.0,0.0,35.61,35.61,35.61,0.0,0.0
2018-07-15,35.36,35.36,35.36,0.0,0.0,35.46,35.46,35.46,0.0,0.0,35.36,35.36,35.36,0.0,0.0,35.46,35.46,35.46,0.0,0.0
2018-07-22,37.65,37.65,37.65,0.0,0.0,37.65,37.65,37.65,0.0,0.0,37.59,37.59,37.59,0.0,0.0,37.64,37.64,37.64,0.0,0.0
2018-07-29,36.78,36.78,36.78,0.0,0.0,36.79,36.79,36.79,0.0,0.0,36.78,36.78,36.78,0.0,0.0,36.79,36.79,36.79,0.0,0.0
2018-08-05,34.9,34.9,34.9,0.0,0.0,34.9,34.9,34.9,0.0,0.0,34.37,34.37,34.37,0.0,0.0,34.37,34.37,34.37,0.0,0.0
2018-08-12,32.92,32.92,32.92,0.0,0.0,33.33,33.33,33.33,0.0,0.0,32.9,32.9,32.9,0.0,0.0,33.33,33.33,33.33,0.0,0.0
2018-08-19,34.69,34.69,34.69,0.0,0.0,34.69,34.69,34.69,0.0,0.0,34.53,34.53,34.53,0.0,0.0,34.53,34.53,34.53,0.0,0.0
2018-08-26,35.51,35.51,35.51,0.0,0.0,35.51,35.51,35.51,0.0,0.0,35.5,35.5,35.5,0.0,0.0,35.5,35.5,35.5,0.0,0.0
2018-09-02,34.72,34.72,34.72,0.0,0.0,34.72,34.72,34.72,0.0,0.0,34.72,34.72,34.72,0.0,0.0,34.72,34.72,34.72,0.0,0.0
2018-09-09,34.5,34.5,34.5,0.0,0.0,34.55,34.55,34.55,0.0,0.0,34.5,34.5,34.5,0.0,0.0,34.55,34.55,34.55,0.0,0.0
