Date,Vanguard REIT_Open_average,Vanguard REIT_Open_max,Vanguard REIT_Open_min,Vanguard REIT_Open_volatility,Vanguard REIT_Open_change,Vanguard REIT_High_average,Vanguard REIT_High_max,Vanguard REIT_High_min,Vanguard REIT_High_volatility,Vanguard REIT_High_change,Vanguard REIT_Low_average,Vanguard REIT_Low_max,Vanguard REIT_Low_min,Vanguard REIT_Low_volatility,Vanguard REIT_Low_change,Vanguard REIT_Close_average,Vanguard REIT_Close_max,Vanguard REIT_Close_min,Vanguard REIT_Close_volatility,Vanguard REIT_Close_change
2018-01-14,78.83,78.83,78.83,0.0,0.0,79.47,79.47,79.47,0.0,0.0,78.74,78.74,78.74,0.0,0.0,79.43,79.43,79.43,0.0,0.0
2018-01-21,79.48,79.48,79.48,0.0,0.0,79.49,79.49,79.49,0.0,0.0,78.57,78.57,78.57,0.0,0.0,78.62,78.62,78.62,0.0,0.0
2018-01-28,76.7,76.7,76.7,0.0,0.0,77.54,77.54,77.54,0.0,0.0,74.69,74.69,74.69,0.0,0.0,74.79,74.79,74.79,0.0,0.0
2018-02-04,74.59,74.59,74.59,0.0,0.0,74.63,74.63,74.63,0.0,0.0,72.11,72.11,72.11,0.0,0.0,74.18,74.18,74.18,0.0,0.0
2018-02-11,75.11,75.11,75.11,0.0,0.0,75.67,75.67,75.67,0.0,0.0,74.82,74.82,74.82,0.0,0.0,75.29,75.29,75.29,0.0,0.0
2018-02-18,75.31,75.31,75.31,0.0,0.0,75.36,75.36,75.36,0.0,0.0,74.64,74.64,74.64,0.0,0.0,75.15,75.15,75.15,0.0,0.0
2018-02-25,73.19,73.19,73.19,0.0,0.0,74.57,74.57,74.57,0.0,0.0,73.14,73.14,73.14,0.0,0.0,74.22,74.22,74.22,0.0,0.0
2018-03-04,75.63,75.63,75.63,0.0,0.0,76.09,76.09,76.09,0.0,0.0,75.38,75.38,75.38,0.0,0.0,75.91,75.91,75.91,0.0,0.0
2018-03-11,76.46,76.46,76.46,0.0,0.0,76.48,76.48,76.48,0.0,0.0,75.42,75.42,75.42,0.0,0.0,75.9,75.9,75.9,0.0,0.0
2018-03-18,73.03,73.03,73.03,0.0,0.0,73.56,73.56,73.56,0.0,0.0,72.68,72.68,72.68,0.0,0.0,73.43,73.43,73.43,0.0,0.0
2018-03-25,75.34,75.34,75.34,0.0,0.0,75.67,75.67,75.67,0.0,0.0,73.95,73.95,73.95,0.0,0.0,74.45,74.45,74.45,0.0,0.0
2018-04-01,75.32,75.32,75.32,0.0,0.0,75.63,75.63,75.63,0.0,0.0,74.91,74.91,74.91,0.0,0.0,75.03,75.03,75.03,0.0,0.0
2018-04-08,74.75,74.75,74.75,0.0,0.0,75.37,75.37,75.37,0.0,0.0,74.57,74.57,74.57,0.0,0.0,75.12,75.12,75.12,0.0,0.0
2018-04-15,74.08,74.08,74.08,0.0,0.0,74.38,74.38,74.38,0.0,0.0,73.66,73.66,73.66,0.0,0.0,73.99,73.99,73.99,0.0,0.0
2018-04-22,76.42,76.42,76.42,0.0,0.0,76.71,76.71,76.71,0.0,0.0,76.07,76.07,76.07,0.0,0.0,76.09,76.09,76.09,0.0,0.0
2018-04-29,77.4,77.4,77.4,0.0,0.0,77.9,77.9,77.9,0.0,0.0,77.35,77.35,77.35,0.0,0.0,77.81,77.81,77.81,0.0,0.0
2018-05-06,78.22,78.22,78.22,0.0,0.0,78.39,78.39,78.39,0.0,0.0,77.24,77.24,77.24,0.0,0.0,77.61,77.61,77.61,0.0,0.0
2018-05-13,76.01,76.01,76.01,0.0,0.0,76.87,76.87,76.87,0.0,0.0,75.6,75.6,75.6,0.0,0.0,76.74,76.74,76.74,0.0,0.0
2018-05-20,77.53,77.53,77.53,0.0,0.0,78.02,78.02,78.02,0.0,0.0,77.42,77.42,77.42,0.0,0.0,77.73,77.73,77.73,0.0,0.0
2018-05-27,79.4,79.4,79.4,0.0,0.0,79.95,79.95,79.95,0.0,0.0,79.11,79.11,79.11,0.0,0.0,79.93,79.93,79.93,0.0,0.0
2018-06-03,80.11,80.11,80.11,0.0,0.0,80.27,80.27,80.27,0.0,0.0,79.93,79.93,79.93,0.0,0.0,80.08,80.08,80.08,0.0,0.0
2018-06-10,78.78,78.78,78.78,0.0,0.0,79.04,79.04,79.04,0.0,0.0,78.44,78.44,78.44,0.0,0.0,78.98,78.98,78.98,0.0,0.0
2018-06-17,80.65,80.65,80.65,0.0,0.0,80.9,80.9,80.9,0.0,0.0,80.09,80.09,80.09,0.0,0.0,80.58,80.58,80.58,0.0,0.0
2018-06-24,81.52,81.52,81.52,0.0,0.0,81.54,81.54,81.54,0.0,0.0,80.08,80.08,80.08,0.0,0.0,81.0,81.0,81.0,0.0,0.0
2018-07-01,83.13,83.13,83.13,0.0,0.0,83.13,83.13,83.13,0.0,0.0,81.94,81.94,81.94,0.0,0.0,82.36,82.36,82.36,0.0,0.0
2018-07-08,82.11,82.11,82.11,0.0,0.0,82.19,82.19,82.19,0.0,0.0,81.36,81.36,81.36,0.0,0.0,81.82,81.82,81.82,0.0,0.0
2018-07-15,81.04,81.04,81.04,0.0,0.0,81.18,81.18,81.18,0.0,0.0,80.43,80.43,80.43,0.0,0.0,80.91,80.91,80.91,0.0,0.0
2018-07-22,80.51,80.51,80.51,0.0,0.0,80.78,80.78,80.78,0.0,0.0,79.99,79.99,79.99,0.0,0.0,80.59,80.59,80.59,0.0,0.0
2018-07-29,83.12,83.12,83.12,0.0,0.0,83.38,83.38,83.38,0.0,0.0,82.77,82.77,82.77,0.0,0.0,82.97,82.97,82.97,0.0,0.0
2018-08-05,81.66,81.66,81.66,0.0,0.0,81.85,81.85,81.85,0.0,0.0,81.38,81.38,81.38,0.0,0.0,81.59,81.59,81.59,0.0,0.0
2018-08-12,84.17,84.17,84.17,0.0,0.0,84.55,84.55,84.55,0.0,0.0,84.0,84.0,84.0,0.0,0.0,84.12,84.12,84.12,0.0,0.0
2018-08-19,83.49,83.49,83.49,0.0,0.0,83.56,83.56,83.56,0.0,0.0,82.84,82.84,82.84,0.0,0.0,83.12,83.12,83.12,0.0,0.0
2018-08-26,83.78,83.78,83.78,0.0,0.0,84.23,84.23,84.23,0.0,0.0,83.72,83.72,83.72,0.0,0.0,84.05,84.05,84.05,0.0,0.0
2018-09-02,83.25,83.25,83.25,0.0,0.0,83.7,83.7,83.7,0.0,0.0,83.11,83.11,83.11,0.0,0.0,83.23,83.23,83.23,0.0,0.0
