Date,TXN_Open_average,TXN_Open_max,TXN_Open_min,TXN_Open_volatility,TXN_Open_change,TXN_High_average,TXN_High_max,TXN_High_min,TXN_High_volatility,TXN_High_change,TXN_Low_average,TXN_Low_max,TXN_Low_min,TXN_Low_volatility,TXN_Low_change,TXN_Close_average,TXN_Close_max,TXN_Close_min,TXN_Close_volatility,TXN_Close_change,TXN_Volume_average,TXN_Volume_max,TXN_Volume_min,TXN_Volume_volatility,TXN_Volume_change
2018-01-14,116.286,119.0,113.55,5.450000000000003,4.3700000000000045,118.072,119.98,113.91,6.070000000000007,5.570000000000007,114.92399999999999,117.46,111.94,5.519999999999996,5.519999999999996,116.952,119.44,112.92,6.519999999999996,6.519999999999996,7544645,9251460,6367294,2884166,-2034058
2018-01-21,113.084,120.02,110.86,9.159999999999997,-7.549999999999997,114.772,120.75,111.71,9.040000000000006,-7.349999999999994,111.49000000000001,118.9,108.68,10.219999999999999,-7.650000000000006,113.21600000000001,119.89,109.7,10.189999999999998,-7.239999999999995,10013335,19223892,6389293,12834599,-1697850
2018-01-28,109.394,111.2,107.02,4.180000000000007,-4.180000000000007,110.51,111.47,109.11,2.3599999999999994,-2.3599999999999994,107.414,109.3,103.38,5.920000000000002,-5.920000000000002,108.30199999999999,110.08,104.21,5.8700000000000045,-5.680000000000007,7123679,8460397,5828150,2632247,1967522
2018-02-04,102.064,104.6,99.52,5.079999999999998,-1.0700000000000074,103.76,106.66,101.3,5.359999999999999,-4.109999999999999,99.836,102.25,96.99,5.260000000000005,-1.8199999999999932,101.588,105.87,97.66,8.210000000000008,-3.930000000000007,9811133,11599319,6673726,4925593,-2593156
2018-02-11,102.265,104.28,99.85,4.430000000000007,3.1700000000000017,103.7025,105.54,101.73,3.8100000000000023,3.8100000000000023,101.3475,103.88,99.85,4.030000000000001,3.759999999999991,103.175,104.57,100.98,3.589999999999989,3.489999999999995,5662525,7413480,4910360,2503120,-151063
2018-02-18,105.21,107.28,103.99,3.2900000000000063,3.2900000000000063,106.984,109.74,105.08,4.659999999999997,2.8799999999999955,104.586,107.28,103.41,3.8700000000000045,3.3700000000000045,105.91,109.63,103.66,5.969999999999999,4.339999999999989,5195268,6536466,4036480,2499986,525608
2018-02-25,107.924,109.38,104.79,4.589999999999989,-1.8999999999999915,109.45,110.29,108.48,1.8100000000000023,-0.960000000000008,106.712,108.34,104.66,3.680000000000007,-1.8200000000000074,108.09,109.01,106.53,2.480000000000004,0.6700000000000017,6433002,8626635,4417206,4209429,-894686
2018-03-04,109.846,112.04,108.04,4.0,2.0700000000000074,110.748,113.0,109.46,3.5400000000000063,2.819999999999993,109.026,111.46,107.13,4.329999999999998,2.519999999999996,110.17999999999999,111.63,108.56,3.069999999999993,1.9399999999999977,4425475,5535870,3573538,1962332,161259
2018-03-11,110.626,112.49,109.37,3.1199999999999903,-3.1199999999999903,111.256,113.55,109.38,4.170000000000002,-4.170000000000002,108.798,110.09,105.95,4.140000000000001,-4.140000000000001,109.62,110.59,107.86,2.730000000000004,-2.730000000000004,5566842,8049685,3240614,4809071,869694
2018-03-18,106.41,109.13,104.03,5.099999999999994,-4.159999999999997,107.94200000000001,110.29,104.94,5.3500000000000085,-3.280000000000001,104.9,108.27,101.34,6.929999999999993,-5.239999999999995,105.992,109.46,101.36,8.099999999999994,-2.8599999999999994,5640669,7208440,3703768,3504672,2978550
