Date,Vanguard Total World Stock_Open_average,Vanguard Total World Stock_Open_max,Vanguard Total World Stock_Open_min,Vanguard Total World Stock_Open_volatility,Vanguard Total World Stock_Open_change,Vanguard Total World Stock_High_average,Vanguard Total World Stock_High_max,Vanguard Total World Stock_High_min,Vanguard Total World Stock_High_volatility,Vanguard Total World Stock_High_change,Vanguard Total World Stock_Low_average,Vanguard Total World Stock_Low_max,Vanguard Total World Stock_Low_min,Vanguard Total World Stock_Low_volatility,Vanguard Total World Stock_Low_change,Vanguard Total World Stock_Close_average,Vanguard Total World Stock_Close_max,Vanguard Total World Stock_Close_min,Vanguard Total World Stock_Close_volatility,Vanguard Total World Stock_Close_change
2018-01-14,78.12,78.12,78.12,0.0,0.0,78.69,78.69,78.69,0.0,0.0,78.11,78.11,78.11,0.0,0.0,78.69,78.69,78.69,0.0,0.0
2018-01-21,79.34,79.34,79.34,0.0,0.0,79.39,79.39,79.39,0.0,0.0,79.0,79.0,79.0,0.0,0.0,79.07,79.07,79.07,0.0,0.0
2018-01-28,75.96,75.96,75.96,0.0,0.0,76.5,76.5,76.5,0.0,0.0,73.55,73.55,73.55,0.0,0.0,73.62,73.62,73.62,0.0,0.0
2018-02-04,73.3,73.3,73.3,0.0,0.0,74.03,74.03,74.03,0.0,0.0,72.84,72.84,72.84,0.0,0.0,73.69,73.69,73.69,0.0,0.0
2018-02-11,75.58,75.58,75.58,0.0,0.0,76.31,76.31,76.31,0.0,0.0,75.53,75.53,75.53,0.0,0.0,75.8,75.8,75.8,0.0,0.0
2018-02-18,76.38,76.38,76.38,0.0,0.0,76.82,76.82,76.82,0.0,0.0,76.1,76.1,76.1,0.0,0.0,76.8,76.8,76.8,0.0,0.0
2018-02-25,73.84,73.84,73.84,0.0,0.0,75.04,75.04,75.04,0.0,0.0,73.74,73.74,73.74,0.0,0.0,74.91,74.91,74.91,0.0,0.0
2018-03-04,76.62,76.62,76.62,0.0,0.0,76.85,76.85,76.85,0.0,0.0,76.43,76.43,76.43,0.0,0.0,76.58,76.58,76.58,0.0,0.0
2018-03-11,75.63,75.63,75.63,0.0,0.0,75.63,75.63,75.63,0.0,0.0,74.62,74.62,74.62,0.0,0.0,75.06,75.06,75.06,0.0,0.0
2018-03-18,73.19,73.19,73.19,0.0,0.0,73.78,73.78,73.78,0.0,0.0,72.45,72.45,72.45,0.0,0.0,73.74,73.74,73.74,0.0,0.0
2018-03-25,73.39,73.39,73.39,0.0,0.0,73.49,73.49,73.49,0.0,0.0,71.6,71.6,71.6,0.0,0.0,72.17,72.17,72.17,0.0,0.0
2018-04-01,73.27,73.27,73.27,0.0,0.0,73.98,73.98,73.98,0.0,0.0,73.1,73.1,73.1,0.0,0.0,73.15,73.15,73.15,0.0,0.0
2018-04-08,74.52,74.52,74.52,0.0,0.0,74.8,74.8,74.8,0.0,0.0,74.27,74.27,74.27,0.0,0.0,74.51,74.51,74.51,0.0,0.0
2018-04-15,74.5,74.5,74.5,0.0,0.0,74.61,74.61,74.61,0.0,0.0,74.06,74.06,74.06,0.0,0.0,74.33,74.33,74.33,0.0,0.0
2018-04-22,74.49,74.49,74.49,0.0,0.0,74.63,74.63,74.63,0.0,0.0,73.94,73.94,73.94,0.0,0.0,73.94,73.94,73.94,0.0,0.0
2018-04-29,74.34,74.34,74.34,0.0,0.0,74.53,74.53,74.53,0.0,0.0,74.15,74.15,74.15,0.0,0.0,74.33,74.33,74.33,0.0,0.0
2018-05-06,75.86,75.86,75.86,0.0,0.0,76.06,76.06,76.06,0.0,0.0,75.67,75.67,75.67,0.0,0.0,75.75,75.75,75.75,0.0,0.0
2018-05-13,75.6,75.6,75.6,0.0,0.0,75.69,75.69,75.69,0.0,0.0,75.44,75.44,75.44,0.0,0.0,75.61,75.61,75.61,0.0,0.0
2018-05-20,74.96,74.96,74.96,0.0,0.0,75.05,75.05,75.05,0.0,0.0,74.8,74.8,74.8,0.0,0.0,74.94,74.94,74.94,0.0,0.0
2018-05-27,75.43,75.43,75.43,0.0,0.0,75.58,75.58,75.58,0.0,0.0,75.32,75.32,75.32,0.0,0.0,75.46,75.46,75.46,0.0,0.0
2018-06-03,76.11,76.11,76.11,0.0,0.0,76.36,76.36,76.36,0.0,0.0,76.05,76.05,76.05,0.0,0.0,76.2,76.2,76.2,0.0,0.0
2018-06-10,75.03,75.03,75.03,0.0,0.0,75.33,75.33,75.33,0.0,0.0,74.91,74.91,74.91,0.0,0.0,75.29,75.29,75.29,0.0,0.0
2018-06-17,73.89,73.89,73.89,0.0,0.0,73.9,73.9,73.9,0.0,0.0,72.91,72.91,72.91,0.0,0.0,73.25,73.25,73.25,0.0,0.0
2018-06-24,72.65,72.65,72.65,0.0,0.0,73.13,73.13,73.13,0.0,0.0,72.55,72.55,72.55,0.0,0.0,73.11,73.11,73.11,0.0,0.0
2018-07-01,74.54,74.54,74.54,0.0,0.0,74.86,74.86,74.86,0.0,0.0,74.49,74.49,74.49,0.0,0.0,74.82,74.82,74.82,0.0,0.0
2018-07-08,74.83,74.83,74.83,0.0,0.0,74.84,74.84,74.84,0.0,0.0,74.57,74.57,74.57,0.0,0.0,74.69,74.69,74.69,0.0,0.0
2018-07-15,74.87,74.87,74.87,0.0,0.0,74.92,74.92,74.92,0.0,0.0,74.66,74.66,74.66,0.0,0.0,74.89,74.89,74.89,0.0,0.0
2018-07-22,75.56,75.56,75.56,0.0,0.0,75.63,75.63,75.63,0.0,0.0,75.09,75.09,75.09,0.0,0.0,75.19,75.19,75.19,0.0,0.0
2018-07-29,75.2,75.2,75.2,0.0,0.0,75.55,75.55,75.55,0.0,0.0,75.13,75.13,75.13,0.0,0.0,75.48,75.48,75.48,0.0,0.0
2018-08-05,74.65,74.65,74.65,0.0,0.0,74.78,74.78,74.78,0.0,0.0,74.17,74.17,74.17,0.0,0.0,74.3,74.3,74.3,0.0,0.0
2018-08-12,74.93,74.93,74.93,0.0,0.0,75.04,75.04,75.04,0.0,0.0,74.8,74.8,74.8,0.0,0.0,75.0,75.0,75.0,0.0,0.0
2018-08-19,76.16,76.16,76.16,0.0,0.0,76.53,76.53,76.53,0.0,0.0,76.07,76.07,76.07,0.0,0.0,76.49,76.49,76.49,0.0,0.0
2018-08-26,76.05,76.05,76.05,0.0,0.0,76.29,76.29,76.29,0.0,0.0,75.79,75.79,75.79,0.0,0.0,76.13,76.13,76.13,0.0,0.0
2018-09-02,74.96,74.96,74.96,0.0,0.0,75.03,75.03,75.03,0.0,0.0,74.76,74.76,74.76,0.0,0.0,74.83,74.83,74.83,0.0,0.0
2018-09-09,75.77,75.77,75.77,0.0,0.0,75.77,75.77,75.77,0.0,0.0,75.3,75.3,75.3,0.0,0.0,75.37,75.37,75.37,0.0,0.0
2018-09-16,76.62,76.62,76.62,0.0,0.0,76.65,76.65,76.65,0.0,0.0,76.33,76.33,76.33,0.0,0.0,76.44,76.44,76.44,0.0,0.0
2018-09-23,76.26,76.26,76.26,0.0,0.0,76.32,76.32,76.32,0.0,0.0,75.9,75.9,75.9,0.0,0.0,76.07,76.07,76.07,0.0,0.0
2018-09-30,74.03,74.03,74.03,0.0,0.0,74.34,74.34,74.34,0.0,0.0,73.66,73.66,73.66,0.0,0.0,74.27,74.27,74.27,0.0,0.0
2018-10-07,71.36,71.36,71.36,0.0,0.0,71.71,71.71,71.71,0.0,0.0,71.06,71.06,71.06,0.0,0.0,71.23,71.23,71.23,0.0,0.0
2018-10-14,71.55,71.55,71.55,0.0,0.0,71.65,71.65,71.65,0.0,0.0,70.94,70.94,70.94,0.0,0.0,71.1,71.1,71.1,0.0,0.0
2018-10-21,69.4,69.4,69.4,0.0,0.0,69.76,69.76,69.76,0.0,0.0,67.48,67.48,67.48,0.0,0.0,68.27,68.27,68.27,0.0,0.0
2018-10-28,70.98,70.98,70.98,0.0,0.0,71.16,71.16,71.16,0.0,0.0,70.69,70.69,70.69,0.0,0.0,71.04,71.04,71.04,0.0,0.0
2018-11-04,71.25,71.25,71.25,0.0,0.0,71.25,71.25,71.25,0.0,0.0,70.11,70.11,70.11,0.0,0.0,70.22,70.22,70.22,0.0,0.0
2018-11-11,70.7,70.7,70.7,0.0,0.0,70.72,70.72,70.72,0.0,0.0,69.64,69.64,69.64,0.0,0.0,69.88,69.88,69.88,0.0,0.0
2018-11-18,69.48,69.48,69.48,0.0,0.0,69.85,69.85,69.85,0.0,0.0,69.42,69.42,69.42,0.0,0.0,69.8,69.8,69.8,0.0,0.0
2018-11-25,72.36,72.36,72.36,0.0,0.0,72.38,72.38,72.38,0.0,0.0,71.72,71.72,71.72,0.0,0.0,72.08,72.08,72.08,0.0,0.0
2018-12-02,68.23,68.23,68.23,0.0,0.0,68.39,68.39,68.39,0.0,0.0,67.11,67.11,67.11,0.0,0.0,68.17,68.17,68.17,0.0,0.0
