Date,iShares Russell Top 200 Growth_Open_average,iShares Russell Top 200 Growth_Open_max,iShares Russell Top 200 Growth_Open_min,iShares Russell Top 200 Growth_Open_volatility,iShares Russell Top 200 Growth_Open_change,iShares Russell Top 200 Growth_High_average,iShares Russell Top 200 Growth_High_max,iShares Russell Top 200 Growth_High_min,iShares Russell Top 200 Growth_High_volatility,iShares Russell Top 200 Growth_High_change,iShares Russell Top 200 Growth_Low_average,iShares Russell Top 200 Growth_Low_max,iShares Russell Top 200 Growth_Low_min,iShares Russell Top 200 Growth_Low_volatility,iShares Russell Top 200 Growth_Low_change,iShares Russell Top 200 Growth_Close_average,iShares Russell Top 200 Growth_Close_max,iShares Russell Top 200 Growth_Close_min,iShares Russell Top 200 Growth_Close_volatility,iShares Russell Top 200 Growth_Close_change
2018-01-14,77.61,77.61,77.61,0.0,0.0,78.32,78.32,78.32,0.0,0.0,77.59,77.59,77.59,0.0,0.0,78.32,78.32,78.32,0.0,0.0
2018-01-21,79.5,79.5,79.5,0.0,0.0,79.54,79.54,79.54,0.0,0.0,79.0,79.0,79.0,0.0,0.0,79.05,79.05,79.05,0.0,0.0
2018-01-28,75.86,75.86,75.86,0.0,0.0,76.89,76.89,76.89,0.0,0.0,73.23,73.23,73.23,0.0,0.0,73.43,73.43,73.43,0.0,0.0
2018-02-04,73.59,73.59,73.59,0.0,0.0,74.47,74.47,74.47,0.0,0.0,73.07,73.07,73.07,0.0,0.0,74.06,74.06,74.06,0.0,0.0
2018-02-11,76.22,76.22,76.22,0.0,0.0,77.11,77.11,77.11,0.0,0.0,76.22,76.22,76.22,0.0,0.0,76.41,76.41,76.41,0.0,0.0
2018-02-18,77.66,77.66,77.66,0.0,0.0,78.28,78.28,78.28,0.0,0.0,77.66,77.66,77.66,0.0,0.0,78.28,78.28,78.28,0.0,0.0
2018-02-25,75.39,75.39,75.39,0.0,0.0,76.73,76.73,76.73,0.0,0.0,75.22,75.22,75.22,0.0,0.0,76.6,76.6,76.6,0.0,0.0
2018-03-04,78.82,78.82,78.82,0.0,0.0,79.02,79.02,79.02,0.0,0.0,78.56,78.56,78.56,0.0,0.0,78.64,78.64,78.64,0.0,0.0
2018-03-11,77.35,77.35,77.35,0.0,0.0,77.35,77.35,77.35,0.0,0.0,75.81,75.81,75.81,0.0,0.0,76.43,76.43,76.43,0.0,0.0
2018-03-18,73.75,73.75,73.75,0.0,0.0,74.71,74.71,74.71,0.0,0.0,72.79,72.79,72.79,0.0,0.0,74.7,74.7,74.7,0.0,0.0
