Date,First Trust NASDAQ CEA Cybersecurity_etf_Open_average,First Trust NASDAQ CEA Cybersecurity_etf_Open_max,First Trust NASDAQ CEA Cybersecurity_etf_Open_min,First Trust NASDAQ CEA Cybersecurity_etf_Open_volatility,First Trust NASDAQ CEA Cybersecurity_etf_Open_change,First Trust NASDAQ CEA Cybersecurity_etf_High_average,First Trust NASDAQ CEA Cybersecurity_etf_High_max,First Trust NASDAQ CEA Cybersecurity_etf_High_min,First Trust NASDAQ CEA Cybersecurity_etf_High_volatility,First Trust NASDAQ CEA Cybersecurity_etf_High_change,First Trust NASDAQ CEA Cybersecurity_etf_Low_average,First Trust NASDAQ CEA Cybersecurity_etf_Low_max,First Trust NASDAQ CEA Cybersecurity_etf_Low_min,First Trust NASDAQ CEA Cybersecurity_etf_Low_volatility,First Trust NASDAQ CEA Cybersecurity_etf_Low_change,First Trust NASDAQ CEA Cybersecurity_etf_Close_average,First Trust NASDAQ CEA Cybersecurity_etf_Close_max,First Trust NASDAQ CEA Cybersecurity_etf_Close_min,First Trust NASDAQ CEA Cybersecurity_etf_Close_volatility,First Trust NASDAQ CEA Cybersecurity_etf_Close_change
2018-01-14,24.18,24.18,24.18,0.0,0.0,24.28,24.28,24.28,0.0,0.0,24.13,24.13,24.13,0.0,0.0,24.18,24.18,24.18,0.0,0.0
2018-01-21,24.42,24.42,24.42,0.0,0.0,24.8,24.8,24.8,0.0,0.0,24.42,24.42,24.42,0.0,0.0,24.65,24.65,24.65,0.0,0.0
2018-01-28,24.25,24.25,24.25,0.0,0.0,24.25,24.25,24.25,0.0,0.0,23.84,23.84,23.84,0.0,0.0,23.91,23.91,23.91,0.0,0.0
2018-02-04,22.85,22.85,22.85,0.0,0.0,23.21,23.21,23.21,0.0,0.0,22.31,22.31,22.31,0.0,0.0,23.02,23.02,23.02,0.0,0.0
2018-02-11,24.55,24.55,24.55,0.0,0.0,24.84,24.84,24.84,0.0,0.0,24.55,24.55,24.55,0.0,0.0,24.71,24.71,24.71,0.0,0.0
2018-02-18,24.73,24.73,24.73,0.0,0.0,24.94,24.94,24.94,0.0,0.0,24.66,24.66,24.66,0.0,0.0,24.88,24.88,24.88,0.0,0.0
2018-02-25,24.49,24.49,24.49,0.0,0.0,25.1,25.1,25.1,0.0,0.0,24.33,24.33,24.33,0.0,0.0,25.06,25.06,25.06,0.0,0.0
2018-03-04,26.02,26.02,26.02,0.0,0.0,26.05,26.05,26.05,0.0,0.0,25.89,25.89,25.89,0.0,0.0,26.03,26.03,26.03,0.0,0.0
2018-03-11,26.03,26.03,26.03,0.0,0.0,26.12,26.12,26.12,0.0,0.0,25.82,25.82,25.82,0.0,0.0,25.83,25.83,25.83,0.0,0.0
2018-03-18,25.11,25.11,25.11,0.0,0.0,25.22,25.22,25.22,0.0,0.0,24.66,24.66,24.66,0.0,0.0,24.68,24.68,24.68,0.0,0.0
2018-03-25,24.79,24.79,24.79,0.0,0.0,25.23,25.23,25.23,0.0,0.0,24.68,24.68,24.68,0.0,0.0,25.07,25.07,25.07,0.0,0.0
2018-04-01,25.23,25.23,25.23,0.0,0.0,25.42,25.42,25.42,0.0,0.0,24.86,24.86,24.86,0.0,0.0,24.99,24.99,24.99,0.0,0.0
2018-04-08,25.9,25.9,25.9,0.0,0.0,26.0,26.0,26.0,0.0,0.0,25.55,25.55,25.55,0.0,0.0,25.71,25.71,25.71,0.0,0.0
2018-04-15,26.5,26.5,26.5,0.0,0.0,26.51,26.51,26.51,0.0,0.0,26.2,26.2,26.2,0.0,0.0,26.28,26.28,26.28,0.0,0.0
2018-04-22,26.17,26.17,26.17,0.0,0.0,26.22,26.22,26.22,0.0,0.0,25.84,25.84,25.84,0.0,0.0,25.92,25.92,25.92,0.0,0.0
2018-04-29,25.83,25.83,25.83,0.0,0.0,26.24,26.24,26.24,0.0,0.0,25.72,25.72,25.72,0.0,0.0,26.16,26.16,26.16,0.0,0.0
2018-05-06,26.86,26.86,26.86,0.0,0.0,26.86,26.86,26.86,0.0,0.0,26.55,26.55,26.55,0.0,0.0,26.61,26.61,26.61,0.0,0.0
2018-05-13,26.38,26.38,26.38,0.0,0.0,26.55,26.55,26.55,0.0,0.0,26.38,26.38,26.38,0.0,0.0,26.47,26.47,26.47,0.0,0.0
2018-05-20,26.55,26.55,26.55,0.0,0.0,26.64,26.64,26.64,0.0,0.0,26.44,26.44,26.44,0.0,0.0,26.47,26.47,26.47,0.0,0.0
2018-05-27,26.69,26.69,26.69,0.0,0.0,26.8,26.8,26.8,0.0,0.0,26.59,26.59,26.59,0.0,0.0,26.76,26.76,26.76,0.0,0.0
2018-06-03,26.93,26.93,26.93,0.0,0.0,27.16,27.16,27.16,0.0,0.0,26.91,26.91,26.91,0.0,0.0,27.14,27.14,27.14,0.0,0.0
2018-06-10,27.56,27.56,27.56,0.0,0.0,27.59,27.59,27.59,0.0,0.0,27.3,27.3,27.3,0.0,0.0,27.51,27.51,27.51,0.0,0.0
2018-06-17,27.3,27.3,27.3,0.0,0.0,27.35,27.35,27.35,0.0,0.0,26.75,26.75,26.75,0.0,0.0,26.81,26.81,26.81,0.0,0.0
2018-06-24,26.31,26.31,26.31,0.0,0.0,26.54,26.54,26.54,0.0,0.0,26.29,26.29,26.29,0.0,0.0,26.38,26.38,26.38,0.0,0.0
2018-07-01,26.72,26.72,26.72,0.0,0.0,27.05,27.05,27.05,0.0,0.0,26.72,26.72,26.72,0.0,0.0,26.99,26.99,26.99,0.0,0.0
2018-07-08,27.82,27.82,27.82,0.0,0.0,27.82,27.82,27.82,0.0,0.0,27.51,27.51,27.51,0.0,0.0,27.6,27.6,27.6,0.0,0.0
2018-07-15,27.72,27.72,27.72,0.0,0.0,27.84,27.84,27.84,0.0,0.0,27.66,27.66,27.66,0.0,0.0,27.72,27.72,27.72,0.0,0.0
2018-07-22,27.45,27.45,27.45,0.0,0.0,27.5,27.5,27.5,0.0,0.0,26.7,26.7,26.7,0.0,0.0,26.87,26.87,26.87,0.0,0.0
2018-07-29,26.44,26.44,26.44,0.0,0.0,26.48,26.48,26.48,0.0,0.0,26.2,26.2,26.2,0.0,0.0,26.45,26.45,26.45,0.0,0.0
2018-08-05,26.92,26.92,26.92,0.0,0.0,27.13,27.13,27.13,0.0,0.0,26.78,26.78,26.78,0.0,0.0,27.05,27.05,27.05,0.0,0.0
2018-08-12,26.86,26.86,26.86,0.0,0.0,27.1,27.1,27.1,0.0,0.0,26.81,26.81,26.81,0.0,0.0,27.07,27.07,27.07,0.0,0.0
2018-08-19,27.84,27.84,27.84,0.0,0.0,28.25,28.25,28.25,0.0,0.0,27.82,27.82,27.82,0.0,0.0,28.23,28.23,28.23,0.0,0.0
