Date,Invesco Shipping ETF_Open_average,Invesco Shipping ETF_Open_max,Invesco Shipping ETF_Open_min,Invesco Shipping ETF_Open_volatility,Invesco Shipping ETF_Open_change,Invesco Shipping ETF_High_average,Invesco Shipping ETF_High_max,Invesco Shipping ETF_High_min,Invesco Shipping ETF_High_volatility,Invesco Shipping ETF_High_change,Invesco Shipping ETF_Low_average,Invesco Shipping ETF_Low_max,Invesco Shipping ETF_Low_min,Invesco Shipping ETF_Low_volatility,Invesco Shipping ETF_Low_change,Invesco Shipping ETF_Close_average,Invesco Shipping ETF_Close_max,Invesco Shipping ETF_Close_min,Invesco Shipping ETF_Close_volatility,Invesco Shipping ETF_Close_change
2018-01-14,12.06,12.06,12.06,0.0,0.0,12.2,12.2,12.2,0.0,0.0,12.06,12.06,12.06,0.0,0.0,12.2,12.2,12.2,0.0,0.0
2018-01-21,12.2,12.2,12.2,0.0,0.0,12.3,12.3,12.3,0.0,0.0,12.2,12.2,12.2,0.0,0.0,12.21,12.21,12.21,0.0,0.0
2018-01-28,11.45,11.45,11.45,0.0,0.0,11.54,11.54,11.54,0.0,0.0,11.18,11.18,11.18,0.0,0.0,11.2,11.2,11.2,0.0,0.0
2018-02-04,11.16,11.16,11.16,0.0,0.0,11.38,11.38,11.38,0.0,0.0,11.16,11.16,11.16,0.0,0.0,11.35,11.35,11.35,0.0,0.0
2018-02-11,11.5,11.5,11.5,0.0,0.0,11.54,11.54,11.54,0.0,0.0,11.42,11.42,11.42,0.0,0.0,11.43,11.43,11.43,0.0,0.0
2018-02-18,11.21,11.21,11.21,0.0,0.0,11.24,11.24,11.24,0.0,0.0,11.15,11.15,11.15,0.0,0.0,11.21,11.21,11.21,0.0,0.0
2018-02-25,10.69,10.69,10.69,0.0,0.0,10.86,10.86,10.86,0.0,0.0,10.69,10.69,10.69,0.0,0.0,10.79,10.79,10.79,0.0,0.0
2018-03-04,10.91,10.91,10.91,0.0,0.0,11.0,11.0,11.0,0.0,0.0,10.91,10.91,10.91,0.0,0.0,11.0,11.0,11.0,0.0,0.0
2018-03-11,10.97,10.97,10.97,0.0,0.0,10.97,10.97,10.97,0.0,0.0,10.76,10.76,10.76,0.0,0.0,10.84,10.84,10.84,0.0,0.0
2018-03-18,10.61,10.61,10.61,0.0,0.0,10.63,10.63,10.63,0.0,0.0,10.51,10.51,10.51,0.0,0.0,10.62,10.62,10.62,0.0,0.0
