Date,DOV_stock_Open_average,DOV_stock_Open_max,DOV_stock_Open_min,DOV_stock_Open_volatility,DOV_stock_Open_change,DOV_stock_High_average,DOV_stock_High_max,DOV_stock_High_min,DOV_stock_High_volatility,DOV_stock_High_change,DOV_stock_Low_average,DOV_stock_Low_max,DOV_stock_Low_min,DOV_stock_Low_volatility,DOV_stock_Low_change,DOV_stock_Close_average,DOV_stock_Close_max,DOV_stock_Close_min,DOV_stock_Close_volatility,DOV_stock_Close_change,DOV_stock_Volume_average,DOV_stock_Volume_max,DOV_stock_Volume_min,DOV_stock_Volume_volatility,DOV_stock_Volume_change
2018-01-14,104.405,104.91,103.88,1.0300000000000011,-0.5799999999999983,104.8,104.95,104.5,0.45000000000000284,0.04000000000000625,103.35499999999999,104.08,102.74,1.3400000000000034,1.3400000000000034,104.025,104.41,103.36,1.0499999999999972,1.0499999999999972,854536,1229918,550778,679140,423769
2018-01-21,104.998,106.0,104.37,1.6299999999999955,0.28000000000000114,105.582,106.41,105.0,1.4099999999999966,0.0799999999999983,103.926,104.37,103.56,0.8100000000000023,0.3499999999999943,104.93,105.56,104.43,1.1299999999999955,0.20000000000000284,1010307,1420605,776629,643976,277212
2018-01-28,105.068,107.15,102.72,4.430000000000007,0.3299999999999983,106.828,109.06,105.16,3.9000000000000057,-0.3200000000000074,103.544,105.7,101.08,4.6200000000000045,-0.6000000000000085,105.1,107.05,103.22,3.8299999999999983,-0.46000000000000796,2297219,3565489,1554715,2010774,-169976
2018-02-04,99.60000000000001,102.84,97.52,5.320000000000007,-5.320000000000007,101.006,104.56,98.49,6.070000000000007,-6.070000000000007,96.768,99.19,94.33,4.859999999999999,-4.189999999999998,98.374,99.92,96.2,3.719999999999999,-1.2199999999999989,1688175,2117857,1477445,640412,281199
2018-02-11,98.96,101.46,96.22,5.239999999999995,3.1899999999999977,100.452,102.59,98.64,3.950000000000003,3.240000000000009,98.356,101.06,96.22,4.840000000000003,3.760000000000005,99.776,101.59,98.12,3.469999999999999,2.9399999999999977,974635,1175404,776837,398567,-275959
2018-02-18,101.14,102.81,100.22,2.5900000000000034,2.019999999999996,102.3625,103.0,101.36,1.6400000000000006,1.4500000000000028,100.3025,100.96,99.8,1.1599999999999966,1.1599999999999966,101.245,102.73,99.98,2.75,2.5200000000000102,956721,1608598,727722,880876,30490
2018-02-25,101.452,104.27,97.2,7.069999999999993,-6.269999999999996,102.068,104.65,98.32,6.3300000000000125,-6.280000000000001,99.796,102.85,96.77,6.079999999999998,-6.079999999999998,100.46,104.39,97.9,6.489999999999995,-6.420000000000002,1108684,1231393,934836,296557,-137940
2018-03-04,99.258,100.83,97.41,3.4200000000000017,3.4200000000000017,100.438,102.96,98.92,4.039999999999992,4.039999999999992,98.69800000000001,100.7,97.04,3.6599999999999966,3.6599999999999966,100.194,102.69,98.57,4.1200000000000045,4.1200000000000045,948000,1096009,719627,376382,6039
2018-03-11,100.93599999999999,102.59,99.2,3.3900000000000006,-3.3900000000000006,101.384,102.82,99.78,3.039999999999992,-2.180000000000007,99.354,100.88,98.46,2.4200000000000017,-2.3100000000000023,100.06400000000001,101.5,99.0,2.5,-1.4200000000000017,1053164,1670105,742837,927268,720839
2018-03-18,101.172,104.22,99.34,4.8799999999999955,-0.47999999999998977,102.27199999999999,104.74,100.07,4.670000000000002,0.2600000000000051,99.64,102.33,98.19,4.140000000000001,-0.5700000000000074,100.842,103.91,98.35,5.560000000000002,-1.5500000000000114,3282055,5028256,1119048,3909208,2971833
