Date,iShares MSCI Taiwan Capped_Open_average,iShares MSCI Taiwan Capped_Open_max,iShares MSCI Taiwan Capped_Open_min,iShares MSCI Taiwan Capped_Open_volatility,iShares MSCI Taiwan Capped_Open_change,iShares MSCI Taiwan Capped_High_average,iShares MSCI Taiwan Capped_High_max,iShares MSCI Taiwan Capped_High_min,iShares MSCI Taiwan Capped_High_volatility,iShares MSCI Taiwan Capped_High_change,iShares MSCI Taiwan Capped_Low_average,iShares MSCI Taiwan Capped_Low_max,iShares MSCI Taiwan Capped_Low_min,iShares MSCI Taiwan Capped_Low_volatility,iShares MSCI Taiwan Capped_Low_change,iShares MSCI Taiwan Capped_Close_average,iShares MSCI Taiwan Capped_Close_max,iShares MSCI Taiwan Capped_Close_min,iShares MSCI Taiwan Capped_Close_volatility,iShares MSCI Taiwan Capped_Close_change
2018-01-14,39.14,39.14,39.14,0.0,0.0,39.35,39.35,39.35,0.0,0.0,39.12,39.12,39.12,0.0,0.0,39.32,39.32,39.32,0.0,0.0
2018-01-21,38.93,38.93,38.93,0.0,0.0,38.95,38.95,38.95,0.0,0.0,38.77,38.77,38.77,0.0,0.0,38.84,38.84,38.84,0.0,0.0
2018-01-28,37.64,37.64,37.64,0.0,0.0,37.9,37.9,37.9,0.0,0.0,36.69,36.69,36.69,0.0,0.0,36.76,36.76,36.76,0.0,0.0
2018-02-04,36.14,36.14,36.14,0.0,0.0,36.48,36.48,36.48,0.0,0.0,36.01,36.01,36.01,0.0,0.0,36.3,36.3,36.3,0.0,0.0
2018-02-11,37.56,37.56,37.56,0.0,0.0,37.97,37.97,37.97,0.0,0.0,37.56,37.56,37.56,0.0,0.0,37.79,37.79,37.79,0.0,0.0
2018-02-18,37.79,37.79,37.79,0.0,0.0,38.0,38.0,38.0,0.0,0.0,37.58,37.58,37.58,0.0,0.0,37.92,37.92,37.92,0.0,0.0
2018-02-25,36.8,36.8,36.8,0.0,0.0,37.19,37.19,37.19,0.0,0.0,36.73,36.73,36.73,0.0,0.0,37.1,37.1,37.1,0.0,0.0
2018-03-04,38.49,38.49,38.49,0.0,0.0,38.64,38.64,38.64,0.0,0.0,38.42,38.42,38.42,0.0,0.0,38.53,38.53,38.53,0.0,0.0
2018-03-11,38.53,38.53,38.53,0.0,0.0,38.53,38.53,38.53,0.0,0.0,38.06,38.06,38.06,0.0,0.0,38.23,38.23,38.23,0.0,0.0
2018-03-18,38.2,38.2,38.2,0.0,0.0,38.44,38.44,38.44,0.0,0.0,37.83,37.83,37.83,0.0,0.0,38.41,38.41,38.41,0.0,0.0
2018-03-25,37.95,37.95,37.95,0.0,0.0,38.05,38.05,38.05,0.0,0.0,37.26,37.26,37.26,0.0,0.0,37.45,37.45,37.45,0.0,0.0
2018-04-01,37.9,37.9,37.9,0.0,0.0,38.02,38.02,38.02,0.0,0.0,37.73,37.73,37.73,0.0,0.0,37.73,37.73,37.73,0.0,0.0
2018-04-08,37.88,37.88,37.88,0.0,0.0,38.05,38.05,38.05,0.0,0.0,37.86,37.86,37.86,0.0,0.0,38.05,38.05,38.05,0.0,0.0
2018-04-15,36.63,36.63,36.63,0.0,0.0,36.67,36.67,36.67,0.0,0.0,36.39,36.39,36.39,0.0,0.0,36.48,36.48,36.48,0.0,0.0
2018-04-22,36.46,36.46,36.46,0.0,0.0,36.48,36.48,36.48,0.0,0.0,36.27,36.27,36.27,0.0,0.0,36.3,36.3,36.3,0.0,0.0
2018-04-29,35.87,35.87,35.87,0.0,0.0,35.99,35.99,35.99,0.0,0.0,35.83,35.83,35.83,0.0,0.0,35.94,35.94,35.94,0.0,0.0
2018-05-06,37.59,37.59,37.59,0.0,0.0,37.67,37.67,37.67,0.0,0.0,37.46,37.46,37.46,0.0,0.0,37.48,37.48,37.48,0.0,0.0
2018-05-13,37.15,37.15,37.15,0.0,0.0,37.31,37.31,37.31,0.0,0.0,37.1,37.1,37.1,0.0,0.0,37.23,37.23,37.23,0.0,0.0
2018-05-20,37.04,37.04,37.04,0.0,0.0,37.19,37.19,37.19,0.0,0.0,37.01,37.01,37.01,0.0,0.0,37.11,37.11,37.11,0.0,0.0
2018-05-27,37.87,37.87,37.87,0.0,0.0,37.99,37.99,37.99,0.0,0.0,37.85,37.85,37.85,0.0,0.0,37.9,37.9,37.9,0.0,0.0
2018-06-03,37.71,37.71,37.71,0.0,0.0,37.79,37.79,37.79,0.0,0.0,37.67,37.67,37.67,0.0,0.0,37.76,37.76,37.76,0.0,0.0
2018-06-10,36.33,36.33,36.33,0.0,0.0,36.33,36.33,36.33,0.0,0.0,35.96,35.96,35.96,0.0,0.0,36.24,36.24,36.24,0.0,0.0
2018-06-17,35.74,35.74,35.74,0.0,0.0,35.78,35.78,35.78,0.0,0.0,35.42,35.42,35.42,0.0,0.0,35.68,35.68,35.68,0.0,0.0
2018-06-24,35.54,35.54,35.54,0.0,0.0,35.76,35.76,35.76,0.0,0.0,35.4,35.4,35.4,0.0,0.0,35.7,35.7,35.7,0.0,0.0
2018-07-01,36.15,36.15,36.15,0.0,0.0,36.36,36.36,36.36,0.0,0.0,36.06,36.06,36.06,0.0,0.0,36.33,36.33,36.33,0.0,0.0
2018-07-08,36.29,36.29,36.29,0.0,0.0,36.42,36.42,36.42,0.0,0.0,36.29,36.29,36.29,0.0,0.0,36.41,36.41,36.41,0.0,0.0
2018-07-15,37.14,37.14,37.14,0.0,0.0,37.14,37.14,37.14,0.0,0.0,36.96,36.96,36.96,0.0,0.0,37.03,37.03,37.03,0.0,0.0
2018-07-22,37.63,37.63,37.63,0.0,0.0,37.63,37.63,37.63,0.0,0.0,37.44,37.44,37.44,0.0,0.0,37.55,37.55,37.55,0.0,0.0
2018-07-29,37.67,37.67,37.67,0.0,0.0,37.71,37.71,37.71,0.0,0.0,37.53,37.53,37.53,0.0,0.0,37.68,37.68,37.68,0.0,0.0
2018-08-05,36.73,36.73,36.73,0.0,0.0,36.82,36.82,36.82,0.0,0.0,36.51,36.51,36.51,0.0,0.0,36.53,36.53,36.53,0.0,0.0
2018-08-12,36.55,36.55,36.55,0.0,0.0,36.63,36.63,36.63,0.0,0.0,36.44,36.44,36.44,0.0,0.0,36.6,36.6,36.6,0.0,0.0
2018-08-19,37.39,37.39,37.39,0.0,0.0,37.61,37.61,37.61,0.0,0.0,37.38,37.38,37.38,0.0,0.0,37.51,37.51,37.51,0.0,0.0
2018-08-26,37.64,37.64,37.64,0.0,0.0,37.93,37.93,37.93,0.0,0.0,37.63,37.63,37.63,0.0,0.0,37.93,37.93,37.93,0.0,0.0
2018-09-02,36.72,36.72,36.72,0.0,0.0,36.74,36.74,36.74,0.0,0.0,36.52,36.52,36.52,0.0,0.0,36.58,36.58,36.58,0.0,0.0
2018-09-09,36.87,36.87,36.87,0.0,0.0,36.94,36.94,36.94,0.0,0.0,36.72,36.72,36.72,0.0,0.0,36.78,36.78,36.78,0.0,0.0
2018-09-16,37.22,37.22,37.22,0.0,0.0,37.48,37.48,37.48,0.0,0.0,37.21,37.21,37.21,0.0,0.0,37.43,37.43,37.43,0.0,0.0
2018-09-23,37.92,37.92,37.92,0.0,0.0,37.94,37.94,37.94,0.0,0.0,37.78,37.78,37.78,0.0,0.0,37.83,37.83,37.83,0.0,0.0
2018-09-30,35.03,35.03,35.03,0.0,0.0,35.36,35.36,35.36,0.0,0.0,34.95,34.95,34.95,0.0,0.0,35.28,35.28,35.28,0.0,0.0
2018-10-07,33.56,33.56,33.56,0.0,0.0,33.64,33.64,33.64,0.0,0.0,33.4,33.4,33.4,0.0,0.0,33.41,33.41,33.41,0.0,0.0
2018-10-14,33.91,33.91,33.91,0.0,0.0,33.91,33.91,33.91,0.0,0.0,33.47,33.47,33.47,0.0,0.0,33.55,33.55,33.55,0.0,0.0
2018-10-21,32.46,32.46,32.46,0.0,0.0,32.56,32.56,32.56,0.0,0.0,31.55,31.55,31.55,0.0,0.0,31.87,31.87,31.87,0.0,0.0
2018-10-28,33.74,33.74,33.74,0.0,0.0,33.92,33.92,33.92,0.0,0.0,33.63,33.63,33.63,0.0,0.0,33.86,33.86,33.86,0.0,0.0
2018-11-04,33.21,33.21,33.21,0.0,0.0,33.26,33.26,33.26,0.0,0.0,32.66,32.66,32.66,0.0,0.0,32.7,32.7,32.7,0.0,0.0
2018-11-11,33.09,33.09,33.09,0.0,0.0,33.09,33.09,33.09,0.0,0.0,32.76,32.76,32.76,0.0,0.0,32.84,32.84,32.84,0.0,0.0
2018-11-18,32.95,32.95,32.95,0.0,0.0,32.99,32.99,32.99,0.0,0.0,32.78,32.78,32.78,0.0,0.0,32.98,32.98,32.98,0.0,0.0
2018-11-25,34.31,34.31,34.31,0.0,0.0,34.38,34.38,34.38,0.0,0.0,34.09,34.09,34.09,0.0,0.0,34.28,34.28,34.28,0.0,0.0
2018-12-02,32.24,32.24,32.24,0.0,0.0,32.5,32.5,32.5,0.0,0.0,31.95,31.95,31.95,0.0,0.0,32.37,32.37,32.37,0.0,0.0
2018-12-09,32.74,32.74,32.74,0.0,0.0,32.83,32.83,32.83,0.0,0.0,32.27,32.27,32.27,0.0,0.0,32.37,32.37,32.37,0.0,0.0
2018-12-16,31.16,31.16,31.16,0.0,0.0,31.28,31.28,31.28,0.0,0.0,30.84,30.84,30.84,0.0,0.0,30.86,30.86,30.86,0.0,0.0
2018-12-23,31.95,31.95,31.95,0.0,0.0,31.95,31.95,31.95,0.0,0.0,31.49,31.49,31.49,0.0,0.0,31.62,31.62,31.62,0.0,0.0
2018-12-30,31.11,31.11,31.11,0.0,0.0,31.31,31.31,31.31,0.0,0.0,30.96,30.96,30.96,0.0,0.0,31.16,31.16,31.16,0.0,0.0
