Date,ProShares Ultra MSCI Japan_Open_average,ProShares Ultra MSCI Japan_Open_max,ProShares Ultra MSCI Japan_Open_min,ProShares Ultra MSCI Japan_Open_volatility,ProShares Ultra MSCI Japan_Open_change,ProShares Ultra MSCI Japan_High_average,ProShares Ultra MSCI Japan_High_max,ProShares Ultra MSCI Japan_High_min,ProShares Ultra MSCI Japan_High_volatility,ProShares Ultra MSCI Japan_High_change,ProShares Ultra MSCI Japan_Low_average,ProShares Ultra MSCI Japan_Low_max,ProShares Ultra MSCI Japan_Low_min,ProShares Ultra MSCI Japan_Low_volatility,ProShares Ultra MSCI Japan_Low_change,ProShares Ultra MSCI Japan_Close_average,ProShares Ultra MSCI Japan_Close_max,ProShares Ultra MSCI Japan_Close_min,ProShares Ultra MSCI Japan_Close_volatility,ProShares Ultra MSCI Japan_Close_change
2018-01-14,49.51,49.51,49.51,0.0,0.0,49.51,49.51,49.51,0.0,0.0,49.15,49.15,49.15,0.0,0.0,49.15,49.15,49.15,0.0,0.0
2018-01-21,49.89,49.89,49.89,0.0,0.0,50.46,50.46,50.46,0.0,0.0,49.82,49.82,49.82,0.0,0.0,50.1,50.1,50.1,0.0,0.0
2018-01-28,46.67,46.67,46.67,0.0,0.0,46.81,46.81,46.81,0.0,0.0,46.67,46.67,46.67,0.0,0.0,46.81,46.81,46.81,0.0,0.0
2018-02-04,41.85,41.85,41.85,0.0,0.0,42.01,42.01,42.01,0.0,0.0,39.82,39.82,39.82,0.0,0.0,40.99,40.99,40.99,0.0,0.0
2018-02-11,45.03,45.03,45.03,0.0,0.0,45.56,45.56,45.56,0.0,0.0,45.03,45.03,45.03,0.0,0.0,45.43,45.43,45.43,0.0,0.0
2018-02-18,44.86,44.86,44.86,0.0,0.0,45.03,45.03,45.03,0.0,0.0,44.86,44.86,44.86,0.0,0.0,45.03,45.03,45.03,0.0,0.0
2018-02-25,42.57,42.57,42.57,0.0,0.0,42.57,42.57,42.57,0.0,0.0,42.19,42.19,42.19,0.0,0.0,42.19,42.19,42.19,0.0,0.0
2018-03-04,43.0,43.0,43.0,0.0,0.0,43.0,43.0,43.0,0.0,0.0,43.0,43.0,43.0,0.0,0.0,43.0,43.0,43.0,0.0,0.0
2018-03-11,44.42,44.42,44.42,0.0,0.0,44.42,44.42,44.42,0.0,0.0,43.8,43.8,43.8,0.0,0.0,43.8,43.8,43.8,0.0,0.0
2018-03-18,40.34,40.34,40.34,0.0,0.0,40.34,40.34,40.34,0.0,0.0,40.23,40.23,40.23,0.0,0.0,40.23,40.23,40.23,0.0,0.0
