Date,FlexShares Quality Dividend_Open_average,FlexShares Quality Dividend_Open_max,FlexShares Quality Dividend_Open_min,FlexShares Quality Dividend_Open_volatility,FlexShares Quality Dividend_Open_change,FlexShares Quality Dividend_High_average,FlexShares Quality Dividend_High_max,FlexShares Quality Dividend_High_min,FlexShares Quality Dividend_High_volatility,FlexShares Quality Dividend_High_change,FlexShares Quality Dividend_Low_average,FlexShares Quality Dividend_Low_max,FlexShares Quality Dividend_Low_min,FlexShares Quality Dividend_Low_volatility,FlexShares Quality Dividend_Low_change,FlexShares Quality Dividend_Close_average,FlexShares Quality Dividend_Close_max,FlexShares Quality Dividend_Close_min,FlexShares Quality Dividend_Close_volatility,FlexShares Quality Dividend_Close_change
2018-01-14,47.09,47.09,47.09,0.0,0.0,47.37,47.37,47.37,0.0,0.0,47.06,47.06,47.06,0.0,0.0,47.37,47.37,47.37,0.0,0.0
2018-01-21,47.72,47.72,47.72,0.0,0.0,47.81,47.81,47.81,0.0,0.0,47.51,47.51,47.51,0.0,0.0,47.57,47.57,47.57,0.0,0.0
2018-01-28,45.42,45.42,45.42,0.0,0.0,45.64,45.64,45.64,0.0,0.0,43.67,43.67,43.67,0.0,0.0,43.93,43.93,43.93,0.0,0.0
2018-02-04,43.91,43.91,43.91,0.0,0.0,44.29,44.29,44.29,0.0,0.0,43.64,43.64,43.64,0.0,0.0,44.04,44.04,44.04,0.0,0.0
2018-02-11,45.26,45.26,45.26,0.0,0.0,45.72,45.72,45.72,0.0,0.0,45.25,45.25,45.25,0.0,0.0,45.43,45.43,45.43,0.0,0.0
2018-02-18,45.43,45.43,45.43,0.0,0.0,45.78,45.78,45.78,0.0,0.0,45.4,45.4,45.4,0.0,0.0,45.75,45.75,45.75,0.0,0.0
2018-02-25,44.13,44.13,44.13,0.0,0.0,44.92,44.92,44.92,0.0,0.0,44.13,44.13,44.13,0.0,0.0,44.81,44.81,44.81,0.0,0.0
2018-03-04,45.66,45.66,45.66,0.0,0.0,45.75,45.75,45.75,0.0,0.0,45.44,45.44,45.44,0.0,0.0,45.5,45.5,45.5,0.0,0.0
2018-03-11,44.87,44.87,44.87,0.0,0.0,44.87,44.87,44.87,0.0,0.0,44.31,44.31,44.31,0.0,0.0,44.56,44.56,44.56,0.0,0.0
2018-03-18,43.19,43.19,43.19,0.0,0.0,43.61,43.61,43.61,0.0,0.0,42.91,42.91,42.91,0.0,0.0,43.58,43.58,43.58,0.0,0.0
2018-03-25,43.6,43.6,43.6,0.0,0.0,43.8,43.8,43.8,0.0,0.0,42.42,42.42,42.42,0.0,0.0,42.86,42.86,42.86,0.0,0.0
2018-04-01,43.53,43.53,43.53,0.0,0.0,43.87,43.87,43.87,0.0,0.0,43.48,43.48,43.48,0.0,0.0,43.51,43.51,43.51,0.0,0.0
2018-04-08,44.12,44.12,44.12,0.0,0.0,44.5,44.5,44.5,0.0,0.0,44.08,44.08,44.08,0.0,0.0,44.34,44.34,44.34,0.0,0.0
2018-04-15,44.27,44.27,44.27,0.0,0.0,44.41,44.41,44.41,0.0,0.0,44.1,44.1,44.1,0.0,0.0,44.27,44.27,44.27,0.0,0.0
2018-04-22,44.53,44.53,44.53,0.0,0.0,44.69,44.69,44.69,0.0,0.0,44.17,44.17,44.17,0.0,0.0,44.17,44.17,44.17,0.0,0.0
2018-04-29,44.57,44.57,44.57,0.0,0.0,44.61,44.61,44.61,0.0,0.0,44.37,44.37,44.37,0.0,0.0,44.44,44.44,44.44,0.0,0.0
2018-05-06,45.51,45.51,45.51,0.0,0.0,45.64,45.64,45.64,0.0,0.0,45.45,45.45,45.45,0.0,0.0,45.5,45.5,45.5,0.0,0.0
2018-05-13,45.64,45.64,45.64,0.0,0.0,45.94,45.94,45.94,0.0,0.0,45.64,45.64,45.64,0.0,0.0,45.92,45.92,45.92,0.0,0.0
2018-05-20,45.63,45.63,45.63,0.0,0.0,45.63,45.63,45.63,0.0,0.0,45.43,45.43,45.43,0.0,0.0,45.54,45.54,45.54,0.0,0.0
2018-05-27,46.0,46.0,46.0,0.0,0.0,46.19,46.19,46.19,0.0,0.0,46.0,46.0,46.0,0.0,0.0,46.14,46.14,46.14,0.0,0.0
2018-06-03,46.76,46.76,46.76,0.0,0.0,46.85,46.85,46.85,0.0,0.0,46.7,46.7,46.7,0.0,0.0,46.7,46.7,46.7,0.0,0.0
2018-06-10,45.84,45.84,45.84,0.0,0.0,46.04,46.04,46.04,0.0,0.0,45.84,45.84,45.84,0.0,0.0,46.03,46.03,46.03,0.0,0.0
2018-06-17,45.55,45.55,45.55,0.0,0.0,45.55,45.55,45.55,0.0,0.0,45.01,45.01,45.01,0.0,0.0,45.25,45.25,45.25,0.0,0.0
2018-06-24,44.98,44.98,44.98,0.0,0.0,45.2,45.2,45.2,0.0,0.0,44.89,44.89,44.89,0.0,0.0,45.2,45.2,45.2,0.0,0.0
2018-07-01,45.95,45.95,45.95,0.0,0.0,46.18,46.18,46.18,0.0,0.0,45.95,45.95,45.95,0.0,0.0,46.12,46.12,46.12,0.0,0.0
2018-07-08,46.17,46.17,46.17,0.0,0.0,46.23,46.23,46.23,0.0,0.0,46.08,46.08,46.08,0.0,0.0,46.19,46.19,46.19,0.0,0.0
