Date,CM_stock_Open_average,CM_stock_Open_max,CM_stock_Open_min,CM_stock_Open_volatility,CM_stock_Open_change,CM_stock_High_average,CM_stock_High_max,CM_stock_High_min,CM_stock_High_volatility,CM_stock_High_change,CM_stock_Low_average,CM_stock_Low_max,CM_stock_Low_min,CM_stock_Low_volatility,CM_stock_Low_change,CM_stock_Close_average,CM_stock_Close_max,CM_stock_Close_min,CM_stock_Close_volatility,CM_stock_Close_change,CM_stock_Volume_average,CM_stock_Volume_max,CM_stock_Volume_min,CM_stock_Volume_volatility,CM_stock_Volume_change
2018-01-14,98.8375,99.05,98.58,0.46999999999999886,-0.37999999999999545,99.0875,99.64,98.7,0.9399999999999977,-0.2599999999999909,97.99000000000001,98.21,97.84,0.36999999999999034,-0.1700000000000017,98.4775,99.04,97.95,1.0900000000000034,-0.4899999999999949,395649,438200,358548,79652,14154
2018-01-21,98.8,99.38,98.08,1.2999999999999972,0.3399999999999892,99.062,99.53,98.52,1.0100000000000051,0.28000000000000114,98.018,98.37,97.19,1.1800000000000068,0.37000000000000455,98.634,99.1,98.21,0.8900000000000006,0.5700000000000074,294557,359369,201267,158102,-135395
2018-01-28,98.544,99.05,97.82,1.230000000000004,-0.8000000000000114,98.708,99.23,97.84,1.3900000000000006,-0.9799999999999898,97.82,98.59,95.74,2.8500000000000085,-2.530000000000001,98.144,99.02,95.8,3.219999999999999,-2.7900000000000063,332913,478419,237695,240724,158574
2018-02-04,92.452,94.69,90.57,4.1200000000000045,-4.1200000000000045,92.94,94.75,90.57,4.180000000000007,-4.180000000000007,90.76400000000001,92.45,89.12,3.3299999999999983,-2.969999999999999,91.636,92.81,90.16,2.6500000000000057,-2.1499999999999915,530223,707880,356283,351597,-221656
2018-02-11,91.456,92.78,90.7,2.0799999999999983,0.9799999999999898,92.174,93.09,91.42,1.6700000000000017,0.6700000000000017,90.788,91.66,90.14,1.519999999999996,1.3299999999999983,91.68599999999999,92.41,90.99,1.4200000000000017,0.5799999999999983,328932,408649,266597,142052,-80095
2018-02-18,92.3075,93.84,91.07,2.7700000000000102,2.0,93.025,94.16,91.58,2.5799999999999983,2.480000000000004,91.505,92.75,90.72,2.030000000000001,2.030000000000001,92.155,93.96,90.88,3.0799999999999983,3.0799999999999983,617379,806224,502419,303805,54872
2018-02-25,92.592,94.08,90.31,3.769999999999996,-3.769999999999996,92.748,94.08,90.38,3.700000000000003,-3.700000000000003,91.506,93.19,89.46,3.730000000000004,-3.6500000000000057,91.84,93.74,89.74,4.0,-4.0,459333,643185,335123,308062,285838
2018-03-04,90.346,92.14,88.72,3.4200000000000017,3.4200000000000017,91.018,92.2,89.81,2.3900000000000006,2.3900000000000006,90.032,91.22,88.61,2.6099999999999994,2.6099999999999994,90.836,92.05,89.59,2.4599999999999937,2.4599999999999937,379140,453158,329945,123213,-123213
2018-03-11,91.378,92.07,90.15,1.9199999999999875,-1.9099999999999966,91.612,92.46,90.55,1.9099999999999966,-1.9099999999999966,90.628,91.76,89.51,2.25,-2.25,90.776,91.96,89.56,2.3999999999999915,-2.3999999999999915,385041,567408,282933,284475,284475
2018-03-18,90.256,91.1,89.52,1.5799999999999983,0.8800000000000097,90.742,91.84,89.99,1.8500000000000085,0.7400000000000091,89.354,90.31,88.46,1.8500000000000085,-0.6300000000000097,89.81400000000001,91.34,88.59,2.75,-0.9699999999999989,764287,1326806,436883,889923,131197
2018-03-25,88.185,89.32,87.5,1.8199999999999932,-1.519999999999996,88.615,89.32,88.33,0.9899999999999949,-0.9499999999999886,87.485,88.28,86.93,1.3499999999999943,-0.8400000000000034,88.0675,88.98,87.36,1.6200000000000045,-0.7000000000000028,523663,675714,414367,261347,-76973
2018-04-01,87.782,88.28,86.8,1.480000000000004,-0.269999999999996,88.28999999999999,88.69,87.75,0.9399999999999977,0.1799999999999926,86.934,87.55,86.17,1.3799999999999955,0.29000000000000625,87.7,88.57,87.27,1.2999999999999972,-0.060000000000002274,409597,453001,366667,86334,-40567
