Date,EBMT_stock_Open_average,EBMT_stock_Open_max,EBMT_stock_Open_min,EBMT_stock_Open_volatility,EBMT_stock_Open_change,EBMT_stock_High_average,EBMT_stock_High_max,EBMT_stock_High_min,EBMT_stock_High_volatility,EBMT_stock_High_change,EBMT_stock_Low_average,EBMT_stock_Low_max,EBMT_stock_Low_min,EBMT_stock_Low_volatility,EBMT_stock_Low_change,EBMT_stock_Close_average,EBMT_stock_Close_max,EBMT_stock_Close_min,EBMT_stock_Close_volatility,EBMT_stock_Close_change,EBMT_stock_Volume_average,EBMT_stock_Volume_max,EBMT_stock_Volume_min,EBMT_stock_Volume_volatility,EBMT_stock_Volume_change
2018-01-14,20.9375,21.25,20.7,0.5500000000000007,-0.3000000000000007,21.55,21.75,21.35,0.3999999999999986,0.05000000000000071,20.75,21.05,20.55,0.5,-0.5,21.0375,21.45,20.65,0.8000000000000007,-0.8000000000000007,1674,2494,1244,1250,369
2018-01-21,20.468,20.9,20.1,0.7999999999999972,-0.5,20.818,21.19,20.5,0.6900000000000013,-0.5,20.12,20.3,19.75,0.5500000000000007,-0.5,20.498,21.19,20.05,1.1400000000000006,0.14999999999999858,3646,6090,1717,4373,1245
2018-01-28,20.37,20.85,20.0,0.8500000000000014,0.8500000000000014,20.502,20.85,20.31,0.5400000000000027,0.45000000000000284,20.1,20.55,19.85,0.6999999999999993,0.5500000000000007,20.31,20.55,20.2,0.3500000000000014,0.15000000000000213,7297,17077,986,16091,-4205
2018-02-04,20.27,20.7,19.9,0.8000000000000007,-0.8000000000000007,20.402,20.7,20.25,0.4499999999999993,-0.4399999999999977,20.02,20.25,19.6,0.6499999999999986,-0.5999999999999979,20.099999999999998,20.4,19.7,0.6999999999999993,-0.6999999999999993,3564,9894,354,9540,7996
2018-02-11,19.7,20.0,19.55,0.4499999999999993,0.3500000000000014,19.88,20.1,19.75,0.3500000000000014,0.1999999999999993,19.63,19.8,19.5,0.3000000000000007,0.25,19.79,20.05,19.55,0.5,0.4499999999999993,4609,7436,1194,6242,-6242
2018-02-18,19.8875,20.0,19.7,0.3000000000000007,0.25,20.0125,20.15,19.95,0.1999999999999993,-0.1999999999999993,19.8125,19.9,19.7,0.1999999999999993,0.10000000000000142,19.9175,20.07,19.8,0.2699999999999996,-0.2699999999999996,976,2264,263,2001,-2001
2018-02-25,19.98,20.2,19.7,0.5,-0.05000000000000071,20.080000000000002,20.3,19.95,0.3500000000000014,0.10000000000000142,19.75,19.95,19.7,0.25,0.0,19.91,20.0,19.7,0.3000000000000007,0.0,2635,5786,607,5179,-3294
2018-03-04,19.82,20.0,19.65,0.3500000000000014,-0.10000000000000142,20.012,20.25,19.75,0.5,0.03999999999999915,19.695999999999998,19.81,19.62,0.18999999999999773,-0.10000000000000142,19.902,20.05,19.7,0.3500000000000014,0.3000000000000007,6143,11581,754,10827,10827
2018-03-11,20.51,20.7,20.2,0.5,0.25,20.59,20.85,20.2,0.6500000000000021,0.6500000000000021,20.168,20.6,19.74,0.860000000000003,0.7100000000000009,20.490000000000002,20.85,20.2,0.6500000000000021,0.6500000000000021,3479,6667,241,6426,-1578
2018-03-18,20.454,20.6,20.27,0.33000000000000185,-0.23000000000000043,20.726,20.8,20.68,0.120000000000001,0.05000000000000071,20.374,20.6,20.1,0.5,0.16999999999999815,20.67,20.75,20.6,0.14999999999999858,0.05000000000000071,4172,5439,2545,2894,-2636
2018-03-25,20.65,20.75,20.45,0.3000000000000007,0.3000000000000007,20.8375,21.1,20.75,0.3500000000000014,0.3500000000000014,20.4525,20.6,20.21,0.39000000000000057,-0.23999999999999844,20.725,20.75,20.65,0.10000000000000142,0.0,4393,7078,1577,5501,2400
2018-04-01,20.669999999999998,20.9,20.5,0.3999999999999986,-0.3999999999999986,20.73,20.9,20.55,0.34999999999999787,-0.1999999999999993,20.490000000000002,20.8,20.25,0.5500000000000007,-0.3000000000000007,20.65,20.8,20.55,0.25,-0.10000000000000142,4888,14098,599,13499,5590
