Date,PowerShares SP 500 ex-Rate SensitiEtf_Open_average,PowerShares SP 500 ex-Rate SensitiEtf_Open_max,PowerShares SP 500 ex-Rate SensitiEtf_Open_min,PowerShares SP 500 ex-Rate SensitiEtf_Open_volatility,PowerShares SP 500 ex-Rate SensitiEtf_Open_change,PowerShares SP 500 ex-Rate SensitiEtf_High_average,PowerShares SP 500 ex-Rate SensitiEtf_High_max,PowerShares SP 500 ex-Rate SensitiEtf_High_min,PowerShares SP 500 ex-Rate SensitiEtf_High_volatility,PowerShares SP 500 ex-Rate SensitiEtf_High_change,PowerShares SP 500 ex-Rate SensitiEtf_Low_average,PowerShares SP 500 ex-Rate SensitiEtf_Low_max,PowerShares SP 500 ex-Rate SensitiEtf_Low_min,PowerShares SP 500 ex-Rate SensitiEtf_Low_volatility,PowerShares SP 500 ex-Rate SensitiEtf_Low_change,PowerShares SP 500 ex-Rate SensitiEtf_Close_average,PowerShares SP 500 ex-Rate SensitiEtf_Close_max,PowerShares SP 500 ex-Rate SensitiEtf_Close_min,PowerShares SP 500 ex-Rate SensitiEtf_Close_volatility,PowerShares SP 500 ex-Rate SensitiEtf_Close_change
2018-01-14,35.36,35.36,35.36,0.0,0.0,35.43,35.43,35.43,0.0,0.0,35.27,35.27,35.27,0.0,0.0,35.43,35.43,35.43,0.0,0.0
2018-01-21,35.86,35.86,35.86,0.0,0.0,36.12,36.12,36.12,0.0,0.0,35.8,35.8,35.8,0.0,0.0,36.12,36.12,36.12,0.0,0.0
2018-01-28,35.46,35.46,35.46,0.0,0.0,35.46,35.46,35.46,0.0,0.0,34.94,34.94,34.94,0.0,0.0,34.95,34.95,34.95,0.0,0.0
2018-02-04,32.87,32.87,32.87,0.0,0.0,33.16,33.16,33.16,0.0,0.0,32.24,32.24,32.24,0.0,0.0,33.07,33.07,33.07,0.0,0.0
2018-02-11,34.37,34.37,34.37,0.0,0.0,34.7,34.7,34.7,0.0,0.0,34.35,34.35,34.35,0.0,0.0,34.55,34.55,34.55,0.0,0.0
2018-02-18,34.22,34.22,34.22,0.0,0.0,34.49,34.49,34.49,0.0,0.0,34.17,34.17,34.17,0.0,0.0,34.49,34.49,34.49,0.0,0.0
2018-02-25,33.43,33.43,33.43,0.0,0.0,33.84,33.84,33.84,0.0,0.0,33.39,33.39,33.39,0.0,0.0,33.8,33.8,33.8,0.0,0.0
2018-03-04,34.73,34.73,34.73,0.0,0.0,35.28,35.28,35.28,0.0,0.0,34.73,34.73,34.73,0.0,0.0,35.28,35.28,35.28,0.0,0.0
2018-03-11,34.91,34.91,34.91,0.0,0.0,35.03,35.03,35.03,0.0,0.0,34.83,34.83,34.83,0.0,0.0,34.97,34.97,34.97,0.0,0.0
2018-03-18,33.76,33.76,33.76,0.0,0.0,33.83,33.83,33.83,0.0,0.0,33.1,33.1,33.1,0.0,0.0,33.1,33.1,33.1,0.0,0.0
2018-03-25,33.55,33.55,33.55,0.0,0.0,34.01,34.01,34.01,0.0,0.0,33.51,33.51,33.51,0.0,0.0,33.8,33.8,33.8,0.0,0.0
2018-04-01,33.94,33.94,33.94,0.0,0.0,33.95,33.95,33.95,0.0,0.0,33.17,33.17,33.17,0.0,0.0,33.39,33.39,33.39,0.0,0.0
2018-04-08,34.2,34.2,34.2,0.0,0.0,34.2,34.2,34.2,0.0,0.0,33.83,33.83,33.83,0.0,0.0,33.98,33.98,33.98,0.0,0.0
2018-04-15,34.59,34.59,34.59,0.0,0.0,34.59,34.59,34.59,0.0,0.0,34.28,34.28,34.28,0.0,0.0,34.28,34.28,34.28,0.0,0.0
2018-04-22,33.98,33.98,33.98,0.0,0.0,33.98,33.98,33.98,0.0,0.0,33.84,33.84,33.84,0.0,0.0,33.94,33.94,33.94,0.0,0.0
2018-04-29,33.16,33.16,33.16,0.0,0.0,33.75,33.75,33.75,0.0,0.0,33.16,33.16,33.16,0.0,0.0,33.67,33.67,33.67,0.0,0.0
2018-05-06,34.26,34.26,34.26,0.0,0.0,34.48,34.48,34.48,0.0,0.0,34.26,34.26,34.26,0.0,0.0,34.37,34.37,34.37,0.0,0.0
2018-05-13,34.14,34.14,34.14,0.0,0.0,34.3,34.3,34.3,0.0,0.0,34.14,34.14,34.14,0.0,0.0,34.3,34.3,34.3,0.0,0.0
2018-05-20,34.28,34.28,34.28,0.0,0.0,34.28,34.28,34.28,0.0,0.0,34.21,34.21,34.21,0.0,0.0,34.21,34.21,34.21,0.0,0.0
