Date,iShares MSCI BRICEtf_Open_average,iShares MSCI BRICEtf_Open_max,iShares MSCI BRICEtf_Open_min,iShares MSCI BRICEtf_Open_volatility,iShares MSCI BRICEtf_Open_change,iShares MSCI BRICEtf_High_average,iShares MSCI BRICEtf_High_max,iShares MSCI BRICEtf_High_min,iShares MSCI BRICEtf_High_volatility,iShares MSCI BRICEtf_High_change,iShares MSCI BRICEtf_Low_average,iShares MSCI BRICEtf_Low_max,iShares MSCI BRICEtf_Low_min,iShares MSCI BRICEtf_Low_volatility,iShares MSCI BRICEtf_Low_change,iShares MSCI BRICEtf_Close_average,iShares MSCI BRICEtf_Close_max,iShares MSCI BRICEtf_Close_min,iShares MSCI BRICEtf_Close_volatility,iShares MSCI BRICEtf_Close_change
2018-01-14,48.81,48.81,48.81,0.0,0.0,48.99,48.99,48.99,0.0,0.0,48.66,48.66,48.66,0.0,0.0,48.97,48.97,48.97,0.0,0.0
2018-01-21,50.49,50.49,50.49,0.0,0.0,50.94,50.94,50.94,0.0,0.0,50.48,50.48,50.48,0.0,0.0,50.87,50.87,50.87,0.0,0.0
2018-01-28,48.78,48.78,48.78,0.0,0.0,48.78,48.78,48.78,0.0,0.0,47.72,47.72,47.72,0.0,0.0,47.82,47.82,47.82,0.0,0.0
2018-02-04,44.72,44.72,44.72,0.0,0.0,45.14,45.14,45.14,0.0,0.0,43.56,43.56,43.56,0.0,0.0,44.65,44.65,44.65,0.0,0.0
2018-02-11,47.6,47.6,47.6,0.0,0.0,48.08,48.08,48.08,0.0,0.0,47.52,47.52,47.52,0.0,0.0,47.69,47.69,47.69,0.0,0.0
2018-02-18,48.19,48.19,48.19,0.0,0.0,48.45,48.45,48.45,0.0,0.0,47.89,47.89,47.89,0.0,0.0,48.43,48.43,48.43,0.0,0.0
2018-02-25,46.01,46.01,46.01,0.0,0.0,46.63,46.63,46.63,0.0,0.0,45.49,45.49,45.49,0.0,0.0,46.61,46.61,46.61,0.0,0.0
2018-03-04,47.44,47.44,47.44,0.0,0.0,48.12,48.12,48.12,0.0,0.0,47.31,47.31,47.31,0.0,0.0,48.01,48.01,48.01,0.0,0.0
2018-03-11,47.77,47.77,47.77,0.0,0.0,48.0,48.0,48.0,0.0,0.0,47.72,47.72,47.72,0.0,0.0,47.94,47.94,47.94,0.0,0.0
2018-03-18,46.21,46.21,46.21,0.0,0.0,46.22,46.22,46.22,0.0,0.0,45.2,45.2,45.2,0.0,0.0,45.36,45.36,45.36,0.0,0.0
