Date,Global X MSCI Nigeria_Open_average,Global X MSCI Nigeria_Open_max,Global X MSCI Nigeria_Open_min,Global X MSCI Nigeria_Open_volatility,Global X MSCI Nigeria_Open_change,Global X MSCI Nigeria_High_average,Global X MSCI Nigeria_High_max,Global X MSCI Nigeria_High_min,Global X MSCI Nigeria_High_volatility,Global X MSCI Nigeria_High_change,Global X MSCI Nigeria_Low_average,Global X MSCI Nigeria_Low_max,Global X MSCI Nigeria_Low_min,Global X MSCI Nigeria_Low_volatility,Global X MSCI Nigeria_Low_change,Global X MSCI Nigeria_Close_average,Global X MSCI Nigeria_Close_max,Global X MSCI Nigeria_Close_min,Global X MSCI Nigeria_Close_volatility,Global X MSCI Nigeria_Close_change
2018-01-14,26.38,26.38,26.38,0.0,0.0,26.42,26.42,26.42,0.0,0.0,25.8,25.8,25.8,0.0,0.0,26.25,26.25,26.25,0.0,0.0
2018-01-21,25.49,25.49,25.49,0.0,0.0,25.9,25.9,25.9,0.0,0.0,25.26,25.26,25.26,0.0,0.0,25.86,25.86,25.86,0.0,0.0
2018-01-28,25.22,25.22,25.22,0.0,0.0,25.65,25.65,25.65,0.0,0.0,24.1,24.1,24.1,0.0,0.0,24.23,24.23,24.23,0.0,0.0
2018-02-04,23.65,23.65,23.65,0.0,0.0,23.95,23.95,23.95,0.0,0.0,23.18,23.18,23.18,0.0,0.0,23.9,23.9,23.9,0.0,0.0
2018-02-11,23.53,23.53,23.53,0.0,0.0,24.18,24.18,24.18,0.0,0.0,23.5,23.5,23.5,0.0,0.0,24.1,24.1,24.1,0.0,0.0
2018-02-18,23.85,23.85,23.85,0.0,0.0,24.0,24.0,24.0,0.0,0.0,23.74,23.74,23.74,0.0,0.0,23.85,23.85,23.85,0.0,0.0
2018-02-25,23.55,23.55,23.55,0.0,0.0,24.25,24.25,24.25,0.0,0.0,23.55,23.55,23.55,0.0,0.0,24.08,24.08,24.08,0.0,0.0
2018-03-04,23.8,23.8,23.8,0.0,0.0,23.95,23.95,23.95,0.0,0.0,23.74,23.74,23.74,0.0,0.0,23.74,23.74,23.74,0.0,0.0
2018-03-11,22.87,22.87,22.87,0.0,0.0,22.88,22.88,22.88,0.0,0.0,22.54,22.54,22.54,0.0,0.0,22.63,22.63,22.63,0.0,0.0
2018-03-18,22.07,22.07,22.07,0.0,0.0,23.83,23.83,23.83,0.0,0.0,22.02,22.02,22.02,0.0,0.0,23.14,23.14,23.14,0.0,0.0
2018-03-25,23.7,23.7,23.7,0.0,0.0,23.74,23.74,23.74,0.0,0.0,23.05,23.05,23.05,0.0,0.0,23.15,23.15,23.15,0.0,0.0
2018-04-01,23.01,23.01,23.01,0.0,0.0,23.71,23.71,23.71,0.0,0.0,22.85,22.85,22.85,0.0,0.0,22.85,22.85,22.85,0.0,0.0
2018-04-08,22.91,22.91,22.91,0.0,0.0,23.51,23.51,23.51,0.0,0.0,22.91,22.91,22.91,0.0,0.0,23.51,23.51,23.51,0.0,0.0
2018-04-15,23.2,23.2,23.2,0.0,0.0,23.72,23.72,23.72,0.0,0.0,22.94,22.94,22.94,0.0,0.0,22.95,22.95,22.95,0.0,0.0
2018-04-22,23.75,23.75,23.75,0.0,0.0,23.75,23.75,23.75,0.0,0.0,23.36,23.36,23.36,0.0,0.0,23.55,23.55,23.55,0.0,0.0
2018-04-29,23.61,23.61,23.61,0.0,0.0,23.65,23.65,23.65,0.0,0.0,23.36,23.36,23.36,0.0,0.0,23.58,23.58,23.58,0.0,0.0
2018-05-06,22.81,22.81,22.81,0.0,0.0,23.25,23.25,23.25,0.0,0.0,22.76,22.76,22.76,0.0,0.0,22.87,22.87,22.87,0.0,0.0
2018-05-13,22.47,22.47,22.47,0.0,0.0,22.81,22.81,22.81,0.0,0.0,22.47,22.47,22.47,0.0,0.0,22.8,22.8,22.8,0.0,0.0
2018-05-20,21.6,21.6,21.6,0.0,0.0,21.65,21.65,21.65,0.0,0.0,21.3,21.3,21.3,0.0,0.0,21.32,21.32,21.32,0.0,0.0
2018-05-27,20.9,20.9,20.9,0.0,0.0,20.9,20.9,20.9,0.0,0.0,20.27,20.27,20.27,0.0,0.0,20.73,20.73,20.73,0.0,0.0
2018-06-03,21.59,21.59,21.59,0.0,0.0,21.68,21.68,21.68,0.0,0.0,21.51,21.51,21.51,0.0,0.0,21.54,21.54,21.54,0.0,0.0
2018-06-10,21.74,21.74,21.74,0.0,0.0,21.74,21.74,21.74,0.0,0.0,21.48,21.48,21.48,0.0,0.0,21.57,21.57,21.57,0.0,0.0
