Date,Guggenheim Invest China Real EstateEtf_Open_average,Guggenheim Invest China Real EstateEtf_Open_max,Guggenheim Invest China Real EstateEtf_Open_min,Guggenheim Invest China Real EstateEtf_Open_volatility,Guggenheim Invest China Real EstateEtf_Open_change,Guggenheim Invest China Real EstateEtf_High_average,Guggenheim Invest China Real EstateEtf_High_max,Guggenheim Invest China Real EstateEtf_High_min,Guggenheim Invest China Real EstateEtf_High_volatility,Guggenheim Invest China Real EstateEtf_High_change,Guggenheim Invest China Real EstateEtf_Low_average,Guggenheim Invest China Real EstateEtf_Low_max,Guggenheim Invest China Real EstateEtf_Low_min,Guggenheim Invest China Real EstateEtf_Low_volatility,Guggenheim Invest China Real EstateEtf_Low_change,Guggenheim Invest China Real EstateEtf_Close_average,Guggenheim Invest China Real EstateEtf_Close_max,Guggenheim Invest China Real EstateEtf_Close_min,Guggenheim Invest China Real EstateEtf_Close_volatility,Guggenheim Invest China Real EstateEtf_Close_change
2018-01-14,31.65,31.65,31.65,0.0,0.0,31.99,31.99,31.99,0.0,0.0,31.65,31.65,31.65,0.0,0.0,31.96,31.96,31.96,0.0,0.0
2018-01-21,33.12,33.12,33.12,0.0,0.0,33.38,33.38,33.38,0.0,0.0,33.1,33.1,33.1,0.0,0.0,33.34,33.34,33.34,0.0,0.0
2018-01-28,32.0,32.0,32.0,0.0,0.0,32.14,32.14,32.14,0.0,0.0,31.49,31.49,31.49,0.0,0.0,31.5,31.5,31.5,0.0,0.0
2018-02-04,28.1,28.1,28.1,0.0,0.0,28.3,28.3,28.3,0.0,0.0,27.27,27.27,27.27,0.0,0.0,28.19,28.19,28.19,0.0,0.0
2018-02-11,30.01,30.01,30.01,0.0,0.0,30.34,30.34,30.34,0.0,0.0,30.01,30.01,30.01,0.0,0.0,30.15,30.15,30.15,0.0,0.0
2018-02-18,30.11,30.11,30.11,0.0,0.0,30.21,30.21,30.21,0.0,0.0,30.0,30.0,30.0,0.0,0.0,30.19,30.19,30.19,0.0,0.0
2018-02-25,29.07,29.07,29.07,0.0,0.0,29.63,29.63,29.63,0.0,0.0,28.86,28.86,28.86,0.0,0.0,29.47,29.47,29.47,0.0,0.0
2018-03-04,30.11,30.11,30.11,0.0,0.0,30.4,30.4,30.4,0.0,0.0,30.11,30.11,30.11,0.0,0.0,30.37,30.37,30.37,0.0,0.0
2018-03-11,30.98,30.98,30.98,0.0,0.0,30.98,30.98,30.98,0.0,0.0,30.76,30.76,30.76,0.0,0.0,30.8,30.8,30.8,0.0,0.0
2018-03-18,29.76,29.76,29.76,0.0,0.0,30.22,30.22,30.22,0.0,0.0,29.17,29.17,29.17,0.0,0.0,29.17,29.17,29.17,0.0,0.0
2018-03-25,29.95,29.95,29.95,0.0,0.0,30.31,30.31,30.31,0.0,0.0,29.95,29.95,29.95,0.0,0.0,30.22,30.22,30.22,0.0,0.0
2018-04-01,30.25,30.25,30.25,0.0,0.0,30.43,30.43,30.43,0.0,0.0,29.85,29.85,29.85,0.0,0.0,30.06,30.06,30.06,0.0,0.0
2018-04-08,31.18,31.18,31.18,0.0,0.0,31.18,31.18,31.18,0.0,0.0,30.85,30.85,30.85,0.0,0.0,30.91,30.91,30.91,0.0,0.0
2018-04-15,29.79,29.79,29.79,0.0,0.0,29.79,29.79,29.79,0.0,0.0,29.59,29.59,29.59,0.0,0.0,29.64,29.64,29.64,0.0,0.0
2018-04-22,30.03,30.03,30.03,0.0,0.0,30.08,30.08,30.08,0.0,0.0,29.9,29.9,29.9,0.0,0.0,30.07,30.07,30.07,0.0,0.0
2018-04-29,29.7,29.7,29.7,0.0,0.0,30.08,30.08,30.08,0.0,0.0,29.62,29.62,29.62,0.0,0.0,30.02,30.02,30.02,0.0,0.0
2018-05-06,30.68,30.68,30.68,0.0,0.0,30.86,30.86,30.86,0.0,0.0,30.68,30.68,30.68,0.0,0.0,30.82,30.82,30.82,0.0,0.0
2018-05-13,30.83,30.83,30.83,0.0,0.0,30.97,30.97,30.97,0.0,0.0,30.81,30.81,30.81,0.0,0.0,30.89,30.89,30.89,0.0,0.0
2018-05-20,30.55,30.55,30.55,0.0,0.0,30.72,30.72,30.72,0.0,0.0,30.43,30.43,30.43,0.0,0.0,30.65,30.65,30.65,0.0,0.0
2018-05-27,30.42,30.42,30.42,0.0,0.0,30.63,30.63,30.63,0.0,0.0,30.42,30.42,30.42,0.0,0.0,30.62,30.62,30.62,0.0,0.0
2018-06-03,31.49,31.49,31.49,0.0,0.0,31.57,31.57,31.57,0.0,0.0,31.35,31.35,31.35,0.0,0.0,31.56,31.56,31.56,0.0,0.0
2018-06-10,30.8,30.8,30.8,0.0,0.0,30.93,30.93,30.93,0.0,0.0,30.75,30.75,30.75,0.0,0.0,30.93,30.93,30.93,0.0,0.0
2018-06-17,30.03,30.03,30.03,0.0,0.0,30.1,30.1,30.1,0.0,0.0,29.91,29.91,29.91,0.0,0.0,29.95,29.95,29.95,0.0,0.0
2018-06-24,28.07,28.07,28.07,0.0,0.0,28.28,28.28,28.28,0.0,0.0,28.07,28.07,28.07,0.0,0.0,28.19,28.19,28.19,0.0,0.0
2018-07-01,27.52,27.52,27.52,0.0,0.0,27.86,27.86,27.86,0.0,0.0,27.52,27.52,27.52,0.0,0.0,27.75,27.75,27.75,0.0,0.0
2018-07-08,28.0,28.0,28.0,0.0,0.0,28.15,28.15,28.15,0.0,0.0,27.98,27.98,27.98,0.0,0.0,28.1,28.1,28.1,0.0,0.0
2018-07-15,27.19,27.19,27.19,0.0,0.0,27.4,27.4,27.4,0.0,0.0,27.19,27.19,27.19,0.0,0.0,27.4,27.4,27.4,0.0,0.0
2018-07-22,28.47,28.47,28.47,0.0,0.0,28.52,28.52,28.52,0.0,0.0,28.31,28.31,28.31,0.0,0.0,28.44,28.44,28.44,0.0,0.0
2018-07-29,26.92,26.92,26.92,0.0,0.0,27.02,27.02,27.02,0.0,0.0,26.92,26.92,26.92,0.0,0.0,26.95,26.95,26.95,0.0,0.0
2018-08-05,27.84,27.84,27.84,0.0,0.0,27.91,27.91,27.91,0.0,0.0,27.8,27.8,27.8,0.0,0.0,27.87,27.87,27.87,0.0,0.0
2018-08-12,26.8,26.8,26.8,0.0,0.0,27.21,27.21,27.21,0.0,0.0,26.69,26.69,26.69,0.0,0.0,27.12,27.12,27.12,0.0,0.0
2018-08-19,27.52,27.52,27.52,0.0,0.0,27.7,27.7,27.7,0.0,0.0,27.52,27.52,27.52,0.0,0.0,27.65,27.65,27.65,0.0,0.0
2018-08-26,27.56,27.56,27.56,0.0,0.0,27.81,27.81,27.81,0.0,0.0,27.46,27.46,27.46,0.0,0.0,27.67,27.67,27.67,0.0,0.0
2018-09-02,26.2,26.2,26.2,0.0,0.0,26.38,26.38,26.38,0.0,0.0,26.15,26.15,26.15,0.0,0.0,26.2,26.2,26.2,0.0,0.0
2018-09-09,27.03,27.03,27.03,0.0,0.0,27.22,27.22,27.22,0.0,0.0,26.77,26.77,26.77,0.0,0.0,26.89,26.89,26.89,0.0,0.0
2018-09-16,27.96,27.96,27.96,0.0,0.0,28.1,28.1,28.1,0.0,0.0,27.92,27.92,27.92,0.0,0.0,27.96,27.96,27.96,0.0,0.0
2018-09-23,26.48,26.48,26.48,0.0,0.0,26.63,26.63,26.63,0.0,0.0,26.39,26.39,26.39,0.0,0.0,26.4,26.4,26.4,0.0,0.0
2018-09-30,25.47,25.47,25.47,0.0,0.0,25.5,25.5,25.5,0.0,0.0,25.32,25.32,25.32,0.0,0.0,25.44,25.44,25.44,0.0,0.0
2018-10-07,24.26,24.26,24.26,0.0,0.0,24.3,24.3,24.3,0.0,0.0,24.11,24.11,24.11,0.0,0.0,24.29,24.29,24.29,0.0,0.0
2018-10-14,24.0,24.0,24.0,0.0,0.0,24.19,24.19,24.19,0.0,0.0,23.96,23.96,23.96,0.0,0.0,23.97,23.97,23.97,0.0,0.0
2018-10-21,23.98,23.98,23.98,0.0,0.0,24.29,24.29,24.29,0.0,0.0,23.9,23.9,23.9,0.0,0.0,24.17,24.17,24.17,0.0,0.0
2018-10-28,25.65,25.65,25.65,0.0,0.0,25.65,25.65,25.65,0.0,0.0,25.11,25.11,25.11,0.0,0.0,25.3,25.3,25.3,0.0,0.0
2018-11-04,24.69,24.69,24.69,0.0,0.0,24.71,24.71,24.71,0.0,0.0,24.52,24.52,24.52,0.0,0.0,24.62,24.62,24.62,0.0,0.0
2018-11-11,25.82,25.82,25.82,0.0,0.0,26.03,26.03,26.03,0.0,0.0,25.77,25.77,25.77,0.0,0.0,25.88,25.88,25.88,0.0,0.0
2018-11-18,25.9,25.9,25.9,0.0,0.0,25.99,25.99,25.99,0.0,0.0,25.86,25.86,25.86,0.0,0.0,25.96,25.96,25.96,0.0,0.0
2018-11-25,26.9,26.9,26.9,0.0,0.0,27.04,27.04,27.04,0.0,0.0,26.81,26.81,26.81,0.0,0.0,27.04,27.04,27.04,0.0,0.0
2018-12-02,26.99,26.99,26.99,0.0,0.0,27.03,27.03,27.03,0.0,0.0,26.45,26.45,26.45,0.0,0.0,26.55,26.55,26.55,0.0,0.0
2018-12-09,27.28,27.28,27.28,0.0,0.0,27.4,27.4,27.4,0.0,0.0,27.28,27.28,27.28,0.0,0.0,27.32,27.32,27.32,0.0,0.0
2018-12-16,26.21,26.21,26.21,0.0,0.0,26.37,26.37,26.37,0.0,0.0,26.01,26.01,26.01,0.0,0.0,26.04,26.04,26.04,0.0,0.0
2018-12-23,24.42,24.42,24.42,0.0,0.0,24.42,24.42,24.42,0.0,0.0,24.18,24.18,24.18,0.0,0.0,24.37,24.37,24.37,0.0,0.0
2018-12-30,24.43,24.43,24.43,0.0,0.0,24.69,24.69,24.69,0.0,0.0,24.42,24.42,24.42,0.0,0.0,24.62,24.62,24.62,0.0,0.0
2019-01-06,25.32,25.32,25.32,0.0,0.0,25.43,25.43,25.43,0.0,0.0,25.32,25.32,25.32,0.0,0.0,25.37,25.37,25.37,0.0,0.0
2019-01-13,25.7,25.7,25.7,0.0,0.0,25.73,25.73,25.73,0.0,0.0,25.51,25.51,25.51,0.0,0.0,25.72,25.72,25.72,0.0,0.0
2019-01-20,26.31,26.31,26.31,0.0,0.0,26.45,26.45,26.45,0.0,0.0,26.28,26.28,26.28,0.0,0.0,26.29,26.29,26.29,0.0,0.0
2019-01-27,27.01,27.01,27.01,0.0,0.0,27.19,27.19,27.19,0.0,0.0,26.97,26.97,26.97,0.0,0.0,27.04,27.04,27.04,0.0,0.0
2019-02-03,27.34,27.34,27.34,0.0,0.0,27.4,27.4,27.4,0.0,0.0,27.24,27.24,27.24,0.0,0.0,27.38,27.38,27.38,0.0,0.0
2019-02-10,27.18,27.18,27.18,0.0,0.0,27.24,27.24,27.24,0.0,0.0,27.16,27.16,27.16,0.0,0.0,27.23,27.23,27.23,0.0,0.0
2019-02-17,27.99,27.99,27.99,0.0,0.0,28.12,28.12,28.12,0.0,0.0,27.9,27.9,27.9,0.0,0.0,27.94,27.94,27.94,0.0,0.0
2019-02-24,27.73,27.73,27.73,0.0,0.0,27.86,27.86,27.86,0.0,0.0,27.63,27.63,27.63,0.0,0.0,27.7,27.7,27.7,0.0,0.0
2019-03-03,27.3,27.3,27.3,0.0,0.0,27.44,27.44,27.44,0.0,0.0,27.25,27.25,27.25,0.0,0.0,27.29,27.29,27.29,0.0,0.0
2019-03-10,28.26,28.26,28.26,0.0,0.0,28.55,28.55,28.55,0.0,0.0,28.05,28.05,28.05,0.0,0.0,28.35,28.35,28.35,0.0,0.0
2019-03-17,29.05,29.05,29.05,0.0,0.0,29.13,29.13,29.13,0.0,0.0,28.75,28.75,28.75,0.0,0.0,28.75,28.75,28.75,0.0,0.0
