Date,PowerShares DWA Financial Momentum PortfolioEtf_Open_average,PowerShares DWA Financial Momentum PortfolioEtf_Open_max,PowerShares DWA Financial Momentum PortfolioEtf_Open_min,PowerShares DWA Financial Momentum PortfolioEtf_Open_volatility,PowerShares DWA Financial Momentum PortfolioEtf_Open_change,PowerShares DWA Financial Momentum PortfolioEtf_High_average,PowerShares DWA Financial Momentum PortfolioEtf_High_max,PowerShares DWA Financial Momentum PortfolioEtf_High_min,PowerShares DWA Financial Momentum PortfolioEtf_High_volatility,PowerShares DWA Financial Momentum PortfolioEtf_High_change,PowerShares DWA Financial Momentum PortfolioEtf_Low_average,PowerShares DWA Financial Momentum PortfolioEtf_Low_max,PowerShares DWA Financial Momentum PortfolioEtf_Low_min,PowerShares DWA Financial Momentum PortfolioEtf_Low_volatility,PowerShares DWA Financial Momentum PortfolioEtf_Low_change,PowerShares DWA Financial Momentum PortfolioEtf_Close_average,PowerShares DWA Financial Momentum PortfolioEtf_Close_max,PowerShares DWA Financial Momentum PortfolioEtf_Close_min,PowerShares DWA Financial Momentum PortfolioEtf_Close_volatility,PowerShares DWA Financial Momentum PortfolioEtf_Close_change
2018-01-14,36.15,36.15,36.15,0.0,0.0,36.65,36.65,36.65,0.0,0.0,36.15,36.15,36.15,0.0,0.0,36.65,36.65,36.65,0.0,0.0
2018-01-21,37.1,37.1,37.1,0.0,0.0,37.1,37.1,37.1,0.0,0.0,36.92,36.92,36.92,0.0,0.0,37.07,37.07,37.07,0.0,0.0
2018-01-28,36.78,36.78,36.78,0.0,0.0,36.78,36.78,36.78,0.0,0.0,36.25,36.25,36.25,0.0,0.0,36.25,36.25,36.25,0.0,0.0
2018-02-04,33.54,33.54,33.54,0.0,0.0,34.62,34.62,34.62,0.0,0.0,33.32,33.32,33.32,0.0,0.0,34.62,34.62,34.62,0.0,0.0
2018-02-11,35.74,35.74,35.74,0.0,0.0,35.86,35.86,35.86,0.0,0.0,35.74,35.74,35.74,0.0,0.0,35.75,35.75,35.75,0.0,0.0
2018-02-18,35.43,35.43,35.43,0.0,0.0,35.79,35.79,35.79,0.0,0.0,35.43,35.43,35.43,0.0,0.0,35.79,35.79,35.79,0.0,0.0
2018-02-25,34.67,34.67,34.67,0.0,0.0,35.18,35.18,35.18,0.0,0.0,34.59,34.59,34.59,0.0,0.0,35.18,35.18,35.18,0.0,0.0
2018-03-04,36.35,36.35,36.35,0.0,0.0,36.78,36.78,36.78,0.0,0.0,36.35,36.35,36.35,0.0,0.0,36.78,36.78,36.78,0.0,0.0
2018-03-11,36.69,36.69,36.69,0.0,0.0,36.74,36.74,36.74,0.0,0.0,36.6,36.6,36.6,0.0,0.0,36.69,36.69,36.69,0.0,0.0
2018-03-18,35.35,35.35,35.35,0.0,0.0,35.35,35.35,35.35,0.0,0.0,34.24,34.24,34.24,0.0,0.0,34.24,34.24,34.24,0.0,0.0
2018-03-25,34.69,34.69,34.69,0.0,0.0,35.06,35.06,35.06,0.0,0.0,34.69,34.69,34.69,0.0,0.0,35.06,35.06,35.06,0.0,0.0
2018-04-01,34.9,34.9,34.9,0.0,0.0,35.0,35.0,35.0,0.0,0.0,34.1,34.1,34.1,0.0,0.0,34.34,34.34,34.34,0.0,0.0
2018-04-08,35.52,35.52,35.52,0.0,0.0,35.52,35.52,35.52,0.0,0.0,34.65,34.65,34.65,0.0,0.0,34.68,34.68,34.68,0.0,0.0
2018-04-15,35.4,35.4,35.4,0.0,0.0,35.43,35.43,35.43,0.0,0.0,35.16,35.16,35.16,0.0,0.0,35.43,35.43,35.43,0.0,0.0
2018-04-22,35.51,35.51,35.51,0.0,0.0,35.51,35.51,35.51,0.0,0.0,35.37,35.37,35.37,0.0,0.0,35.49,35.49,35.49,0.0,0.0
2018-04-29,35.2,35.2,35.2,0.0,0.0,35.2,35.2,35.2,0.0,0.0,35.19,35.19,35.19,0.0,0.0,35.2,35.2,35.2,0.0,0.0
2018-05-06,36.44,36.44,36.44,0.0,0.0,36.46,36.46,36.46,0.0,0.0,36.25,36.25,36.25,0.0,0.0,36.36,36.36,36.36,0.0,0.0
2018-05-13,36.36,36.36,36.36,0.0,0.0,36.36,36.36,36.36,0.0,0.0,36.19,36.19,36.19,0.0,0.0,36.22,36.22,36.22,0.0,0.0
2018-05-20,35.98,35.98,35.98,0.0,0.0,36.18,36.18,36.18,0.0,0.0,35.98,35.98,35.98,0.0,0.0,36.18,36.18,36.18,0.0,0.0
2018-05-27,36.06,36.06,36.06,0.0,0.0,36.18,36.18,36.18,0.0,0.0,36.04,36.04,36.04,0.0,0.0,36.06,36.06,36.06,0.0,0.0
2018-06-03,36.69,36.69,36.69,0.0,0.0,36.86,36.86,36.86,0.0,0.0,36.65,36.65,36.65,0.0,0.0,36.86,36.86,36.86,0.0,0.0
2018-06-10,36.07,36.07,36.07,0.0,0.0,36.4,36.4,36.4,0.0,0.0,36.02,36.02,36.02,0.0,0.0,36.4,36.4,36.4,0.0,0.0
2018-06-17,36.23,36.23,36.23,0.0,0.0,36.23,36.23,36.23,0.0,0.0,35.81,35.81,35.81,0.0,0.0,35.81,35.81,35.81,0.0,0.0
2018-06-24,34.91,34.91,34.91,0.0,0.0,35.0,35.0,35.0,0.0,0.0,34.83,34.83,34.83,0.0,0.0,34.83,34.83,34.83,0.0,0.0
2018-07-01,34.6,34.6,34.6,0.0,0.0,34.99,34.99,34.99,0.0,0.0,34.6,34.6,34.6,0.0,0.0,34.86,34.86,34.86,0.0,0.0
2018-07-08,35.03,35.03,35.03,0.0,0.0,35.19,35.19,35.19,0.0,0.0,34.88,34.88,34.88,0.0,0.0,34.94,34.94,34.94,0.0,0.0
