Date,PowerShares S&P SmallCap Quality Portfolio_etf_Open_average,PowerShares S&P SmallCap Quality Portfolio_etf_Open_max,PowerShares S&P SmallCap Quality Portfolio_etf_Open_min,PowerShares S&P SmallCap Quality Portfolio_etf_Open_volatility,PowerShares S&P SmallCap Quality Portfolio_etf_Open_change,PowerShares S&P SmallCap Quality Portfolio_etf_High_average,PowerShares S&P SmallCap Quality Portfolio_etf_High_max,PowerShares S&P SmallCap Quality Portfolio_etf_High_min,PowerShares S&P SmallCap Quality Portfolio_etf_High_volatility,PowerShares S&P SmallCap Quality Portfolio_etf_High_change,PowerShares S&P SmallCap Quality Portfolio_etf_Low_average,PowerShares S&P SmallCap Quality Portfolio_etf_Low_max,PowerShares S&P SmallCap Quality Portfolio_etf_Low_min,PowerShares S&P SmallCap Quality Portfolio_etf_Low_volatility,PowerShares S&P SmallCap Quality Portfolio_etf_Low_change,PowerShares S&P SmallCap Quality Portfolio_etf_Close_average,PowerShares S&P SmallCap Quality Portfolio_etf_Close_max,PowerShares S&P SmallCap Quality Portfolio_etf_Close_min,PowerShares S&P SmallCap Quality Portfolio_etf_Close_volatility,PowerShares S&P SmallCap Quality Portfolio_etf_Close_change
2018-01-14,28.4,28.4,28.4,0.0,0.0,28.4,28.4,28.4,0.0,0.0,27.94,27.94,27.94,0.0,0.0,28.14,28.14,28.14,0.0,0.0
2018-01-21,27.89,27.89,27.89,0.0,0.0,27.89,27.89,27.89,0.0,0.0,27.89,27.89,27.89,0.0,0.0,27.89,27.89,27.89,0.0,0.0
2018-01-28,27.48,27.48,27.48,0.0,0.0,27.52,27.52,27.52,0.0,0.0,27.48,27.48,27.48,0.0,0.0,27.52,27.52,27.52,0.0,0.0
2018-02-04,25.78,25.78,25.78,0.0,0.0,25.93,25.93,25.93,0.0,0.0,25.78,25.78,25.78,0.0,0.0,25.93,25.93,25.93,0.0,0.0
2018-02-11,27.11,27.11,27.11,0.0,0.0,27.15,27.15,27.15,0.0,0.0,27.11,27.11,27.11,0.0,0.0,27.15,27.15,27.15,0.0,0.0
2018-02-18,27.35,27.35,27.35,0.0,0.0,27.35,27.35,27.35,0.0,0.0,27.35,27.35,27.35,0.0,0.0,27.35,27.35,27.35,0.0,0.0
2018-02-25,26.43,26.43,26.43,0.0,0.0,26.59,26.59,26.59,0.0,0.0,26.41,26.41,26.41,0.0,0.0,26.44,26.44,26.44,0.0,0.0
2018-03-04,27.62,27.62,27.62,0.0,0.0,27.79,27.79,27.79,0.0,0.0,27.62,27.62,27.62,0.0,0.0,27.79,27.79,27.79,0.0,0.0
2018-03-11,27.68,27.68,27.68,0.0,0.0,27.68,27.68,27.68,0.0,0.0,27.68,27.68,27.68,0.0,0.0,27.68,27.68,27.68,0.0,0.0
2018-03-18,27.34,27.34,27.34,0.0,0.0,27.34,27.34,27.34,0.0,0.0,27.34,27.34,27.34,0.0,0.0,27.34,27.34,27.34,0.0,0.0
2018-03-25,26.67,26.67,26.67,0.0,0.0,26.67,26.67,26.67,0.0,0.0,26.67,26.67,26.67,0.0,0.0,26.67,26.67,26.67,0.0,0.0
2018-04-01,26.67,26.67,26.67,0.0,0.0,26.67,26.67,26.67,0.0,0.0,26.67,26.67,26.67,0.0,0.0,26.67,26.67,26.67,0.0,0.0
2018-04-08,27.99,27.99,27.99,0.0,0.0,27.99,27.99,27.99,0.0,0.0,27.99,27.99,27.99,0.0,0.0,27.99,27.99,27.99,0.0,0.0
2018-04-15,27.32,27.32,27.32,0.0,0.0,27.32,27.32,27.32,0.0,0.0,27.32,27.32,27.32,0.0,0.0,27.32,27.32,27.32,0.0,0.0
2018-04-22,27.32,27.32,27.32,0.0,0.0,27.32,27.32,27.32,0.0,0.0,27.32,27.32,27.32,0.0,0.0,27.32,27.32,27.32,0.0,0.0
2018-04-29,27.32,27.32,27.32,0.0,0.0,27.32,27.32,27.32,0.0,0.0,27.32,27.32,27.32,0.0,0.0,27.32,27.32,27.32,0.0,0.0
2018-05-06,27.99,27.99,27.99,0.0,0.0,27.99,27.99,27.99,0.0,0.0,27.99,27.99,27.99,0.0,0.0,27.99,27.99,27.99,0.0,0.0
2018-05-13,28.61,28.61,28.61,0.0,0.0,28.61,28.61,28.61,0.0,0.0,28.61,28.61,28.61,0.0,0.0,28.61,28.61,28.61,0.0,0.0
2018-05-20,29.99,29.99,29.99,0.0,0.0,29.99,29.99,29.99,0.0,0.0,29.99,29.99,29.99,0.0,0.0,29.99,29.99,29.99,0.0,0.0
