Date,IBOC_Open_average,IBOC_Open_max,IBOC_Open_min,IBOC_Open_volatility,IBOC_Open_change,IBOC_High_average,IBOC_High_max,IBOC_High_min,IBOC_High_volatility,IBOC_High_change,IBOC_Low_average,IBOC_Low_max,IBOC_Low_min,IBOC_Low_volatility,IBOC_Low_change,IBOC_Close_average,IBOC_Close_max,IBOC_Close_min,IBOC_Close_volatility,IBOC_Close_change,IBOC_Volume_average,IBOC_Volume_max,IBOC_Volume_min,IBOC_Volume_volatility,IBOC_Volume_change
2018-01-14,41.79,42.2,41.2,1.0,-0.15000000000000568,42.14,42.45,41.9,0.5500000000000043,-0.25,41.32,41.55,41.2,0.3499999999999943,0.29999999999999716,41.76,42.2,41.3,0.9000000000000057,0.8500000000000014,126957,162270,92433,69837,-9290
2018-01-21,42.18,42.4,41.85,0.5499999999999972,0.29999999999999716,42.4,42.45,42.35,0.10000000000000142,-0.05000000000000426,41.76,42.0,41.6,0.3999999999999986,-0.25,42.11,42.35,41.85,0.5,-0.29999999999999716,130802,189557,100568,88989,88989
2018-01-28,41.6,42.05,41.0,1.0499999999999972,-0.6000000000000014,42.124,42.35,41.67,0.6799999999999997,-0.4799999999999969,40.91,41.55,39.05,2.5,-2.5,41.25,42.3,39.15,3.1499999999999986,-2.700000000000003,166250,219912,117142,102770,102770
2018-02-04,39.12,39.9,38.5,1.3999999999999986,0.5,39.67,40.0,39.2,0.7999999999999972,-0.7000000000000028,38.33,39.05,37.8,1.25,0.20000000000000284,39.07,39.7,38.35,1.3500000000000014,-0.5,235907,338664,138174,200490,-185211
2018-02-11,39.475,40.4,38.6,1.7999999999999972,1.6999999999999957,40.1575,41.08,39.05,2.030000000000001,2.030000000000001,39.3825,40.38,38.45,1.9299999999999997,1.9299999999999997,40.0375,40.85,38.95,1.8999999999999986,1.8999999999999986,206265,303600,122767,180833,29285
2018-02-18,40.59,41.0,40.3,0.7000000000000028,0.10000000000000142,40.97,41.45,40.7,0.75,-0.29999999999999716,39.704,40.2,39.35,0.8500000000000014,-0.5500000000000043,40.51,40.9,40.05,0.8500000000000014,0.25,138450,202637,97838,104799,-77880
2018-02-25,39.45,40.65,38.55,2.1000000000000014,-1.2999999999999972,40.108000000000004,41.1,39.1,2.0,-0.7000000000000028,38.78,39.8,38.25,1.5499999999999972,-0.8999999999999986,39.46,40.3,38.65,1.6499999999999986,0.44999999999999574,167611,191085,135054,56031,37648
2018-03-04,40.99,41.65,40.3,1.3500000000000014,1.25,41.53,42.1,41.0,1.1000000000000014,1.1000000000000014,40.264,41.0,39.92,1.0799999999999983,0.0799999999999983,41.31,41.95,40.75,1.2000000000000028,1.2000000000000028,169111,200672,120960,79712,-47886
2018-03-11,41.64,42.15,41.2,0.9499999999999957,-0.75,41.87,42.15,41.55,0.6000000000000014,-0.6000000000000014,41.07,41.45,40.75,0.7000000000000028,-0.7000000000000028,41.48,41.65,41.2,0.44999999999999574,-0.10000000000000142,263477,568489,147145,421344,15517
2018-03-18,40.68,41.65,39.0,2.6499999999999986,-2.6499999999999986,40.96,41.9,39.65,2.25,-2.0500000000000043,39.83,41.1,38.4,2.700000000000003,-2.700000000000003,40.186,41.48,38.4,3.0799999999999983,-1.75,232921,395862,123933,271929,265098
