Date,Vanguard Mid-Cap Value_Open_average,Vanguard Mid-Cap Value_Open_max,Vanguard Mid-Cap Value_Open_min,Vanguard Mid-Cap Value_Open_volatility,Vanguard Mid-Cap Value_Open_change,Vanguard Mid-Cap Value_High_average,Vanguard Mid-Cap Value_High_max,Vanguard Mid-Cap Value_High_min,Vanguard Mid-Cap Value_High_volatility,Vanguard Mid-Cap Value_High_change,Vanguard Mid-Cap Value_Low_average,Vanguard Mid-Cap Value_Low_max,Vanguard Mid-Cap Value_Low_min,Vanguard Mid-Cap Value_Low_volatility,Vanguard Mid-Cap Value_Low_change,Vanguard Mid-Cap Value_Close_average,Vanguard Mid-Cap Value_Close_max,Vanguard Mid-Cap Value_Close_min,Vanguard Mid-Cap Value_Close_volatility,Vanguard Mid-Cap Value_Close_change
2018-01-14,116.13,116.13,116.13,0.0,0.0,116.94,116.94,116.94,0.0,0.0,116.05,116.05,116.05,0.0,0.0,116.94,116.94,116.94,0.0,0.0
2018-01-21,117.87,117.87,117.87,0.0,0.0,117.97,117.97,117.97,0.0,0.0,116.78,116.78,116.78,0.0,0.0,116.98,116.98,116.98,0.0,0.0
2018-01-28,112.09,112.09,112.09,0.0,0.0,113.19,113.19,113.19,0.0,0.0,108.97,108.97,108.97,0.0,0.0,108.97,108.97,108.97,0.0,0.0
2018-02-04,108.61,108.61,108.61,0.0,0.0,109.85,109.85,109.85,0.0,0.0,107.89,107.89,107.89,0.0,0.0,109.19,109.19,109.19,0.0,0.0
2018-02-11,112.02,112.02,112.02,0.0,0.0,113.11,113.11,113.11,0.0,0.0,111.97,111.97,111.97,0.0,0.0,112.37,112.37,112.37,0.0,0.0
2018-02-18,112.85,112.85,112.85,0.0,0.0,113.09,113.09,113.09,0.0,0.0,112.0,112.0,112.0,0.0,0.0,113.04,113.04,113.04,0.0,0.0
2018-02-25,109.75,109.75,109.75,0.0,0.0,111.9,111.9,111.9,0.0,0.0,109.75,109.75,109.75,0.0,0.0,111.68,111.68,111.68,0.0,0.0
2018-03-04,114.1,114.1,114.1,0.0,0.0,114.34,114.34,114.34,0.0,0.0,113.57,113.57,113.57,0.0,0.0,113.76,113.76,113.76,0.0,0.0
2018-03-11,112.43,112.43,112.43,0.0,0.0,112.57,112.57,112.57,0.0,0.0,111.05,111.05,111.05,0.0,0.0,111.67,111.67,111.67,0.0,0.0
2018-03-18,108.21,108.21,108.21,0.0,0.0,109.38,109.38,109.38,0.0,0.0,107.41,107.41,107.41,0.0,0.0,109.25,109.25,109.25,0.0,0.0
2018-03-25,109.25,109.25,109.25,0.0,0.0,109.38,109.38,109.38,0.0,0.0,106.14,106.14,106.14,0.0,0.0,107.12,107.12,107.12,0.0,0.0
2018-04-01,109.02,109.02,109.02,0.0,0.0,109.99,109.99,109.99,0.0,0.0,108.41,108.41,108.41,0.0,0.0,108.45,108.45,108.45,0.0,0.0
2018-04-08,110.43,110.43,110.43,0.0,0.0,111.16,111.16,111.16,0.0,0.0,110.03,110.03,110.03,0.0,0.0,110.9,110.9,110.9,0.0,0.0
2018-04-15,110.78,110.78,110.78,0.0,0.0,111.23,111.23,111.23,0.0,0.0,110.34,110.34,110.34,0.0,0.0,110.77,110.77,110.77,0.0,0.0
2018-04-22,111.14,111.14,111.14,0.0,0.0,111.44,111.44,111.44,0.0,0.0,109.86,109.86,109.86,0.0,0.0,109.88,109.88,109.88,0.0,0.0
2018-04-29,109.9,109.9,109.9,0.0,0.0,110.11,110.11,110.11,0.0,0.0,109.5,109.5,109.5,0.0,0.0,109.63,109.63,109.63,0.0,0.0
2018-05-06,111.0,111.0,111.0,0.0,0.0,111.23,111.23,111.23,0.0,0.0,110.6,110.6,110.6,0.0,0.0,110.82,110.82,110.82,0.0,0.0
2018-05-13,111.61,111.61,111.61,0.0,0.0,111.86,111.86,111.86,0.0,0.0,111.37,111.37,111.37,0.0,0.0,111.7,111.7,111.7,0.0,0.0
2018-05-20,111.07,111.07,111.07,0.0,0.0,111.28,111.28,111.28,0.0,0.0,110.84,110.84,110.84,0.0,0.0,111.09,111.09,111.09,0.0,0.0
2018-05-27,111.0,111.0,111.0,0.0,0.0,111.3,111.3,111.3,0.0,0.0,110.69,110.69,110.69,0.0,0.0,110.97,110.97,110.97,0.0,0.0
2018-06-03,112.6,112.6,112.6,0.0,0.0,113.0,113.0,113.0,0.0,0.0,112.6,112.6,112.6,0.0,0.0,112.7,112.7,112.7,0.0,0.0
2018-06-10,111.88,111.88,111.88,0.0,0.0,112.69,112.69,112.69,0.0,0.0,111.79,111.79,111.79,0.0,0.0,112.63,112.63,112.63,0.0,0.0
2018-06-17,111.43,111.43,111.43,0.0,0.0,111.52,111.52,111.52,0.0,0.0,110.2,110.2,110.2,0.0,0.0,110.77,110.77,110.77,0.0,0.0
2018-06-24,109.78,109.78,109.78,0.0,0.0,110.5,110.5,110.5,0.0,0.0,109.55,109.55,109.55,0.0,0.0,110.48,110.48,110.48,0.0,0.0
2018-07-01,112.49,112.49,112.49,0.0,0.0,113.1,113.1,113.1,0.0,0.0,112.42,112.42,112.42,0.0,0.0,113.01,113.01,113.01,0.0,0.0
2018-07-08,112.61,112.61,112.61,0.0,0.0,112.61,112.61,112.61,0.0,0.0,112.04,112.04,112.04,0.0,0.0,112.29,112.29,112.29,0.0,0.0
2018-07-15,112.63,112.63,112.63,0.0,0.0,112.91,112.91,112.91,0.0,0.0,112.32,112.32,112.32,0.0,0.0,112.71,112.71,112.71,0.0,0.0
2018-07-22,113.28,113.28,113.28,0.0,0.0,113.72,113.72,113.72,0.0,0.0,113.15,113.15,113.15,0.0,0.0,113.21,113.21,113.21,0.0,0.0
2018-07-29,113.93,113.93,113.93,0.0,0.0,114.16,114.16,114.16,0.0,0.0,113.61,113.61,113.61,0.0,0.0,114.01,114.01,114.01,0.0,0.0
2018-08-05,113.07,113.07,113.07,0.0,0.0,113.07,113.07,113.07,0.0,0.0,112.08,112.08,112.08,0.0,0.0,112.31,112.31,112.31,0.0,0.0
2018-08-12,114.02,114.02,114.02,0.0,0.0,114.53,114.53,114.53,0.0,0.0,113.97,113.97,113.97,0.0,0.0,114.46,114.46,114.46,0.0,0.0
2018-08-19,114.95,114.95,114.95,0.0,0.0,115.5,115.5,115.5,0.0,0.0,114.95,114.95,114.95,0.0,0.0,115.11,115.11,115.11,0.0,0.0
2018-08-26,114.44,114.44,114.44,0.0,0.0,114.69,114.69,114.69,0.0,0.0,114.18,114.18,114.18,0.0,0.0,114.63,114.63,114.63,0.0,0.0
2018-09-02,114.03,114.03,114.03,0.0,0.0,114.31,114.31,114.31,0.0,0.0,113.83,113.83,113.83,0.0,0.0,113.88,113.88,113.88,0.0,0.0
2018-09-09,115.01,115.01,115.01,0.0,0.0,115.12,115.12,115.12,0.0,0.0,114.48,114.48,114.48,0.0,0.0,114.57,114.57,114.57,0.0,0.0
2018-09-16,115.97,115.97,115.97,0.0,0.0,115.97,115.97,115.97,0.0,0.0,114.83,114.83,114.83,0.0,0.0,114.95,114.95,114.95,0.0,0.0
2018-09-23,113.55,113.55,113.55,0.0,0.0,113.56,113.56,113.56,0.0,0.0,112.61,112.61,112.61,0.0,0.0,112.82,112.82,112.82,0.0,0.0
2018-09-30,111.59,111.59,111.59,0.0,0.0,112.34,112.34,112.34,0.0,0.0,111.37,111.37,111.37,0.0,0.0,112.21,112.21,112.21,0.0,0.0
2018-10-07,106.9,106.9,106.9,0.0,0.0,108.02,108.02,108.02,0.0,0.0,106.84,106.84,106.84,0.0,0.0,107.22,107.22,107.22,0.0,0.0
2018-10-14,107.74,107.74,107.74,0.0,0.0,107.81,107.81,107.81,0.0,0.0,106.62,106.62,106.62,0.0,0.0,106.65,106.65,106.65,0.0,0.0
