Date,SPDR S&P 500 Value_etf_Open_average,SPDR S&P 500 Value_etf_Open_max,SPDR S&P 500 Value_etf_Open_min,SPDR S&P 500 Value_etf_Open_volatility,SPDR S&P 500 Value_etf_Open_change,SPDR S&P 500 Value_etf_High_average,SPDR S&P 500 Value_etf_High_max,SPDR S&P 500 Value_etf_High_min,SPDR S&P 500 Value_etf_High_volatility,SPDR S&P 500 Value_etf_High_change,SPDR S&P 500 Value_etf_Low_average,SPDR S&P 500 Value_etf_Low_max,SPDR S&P 500 Value_etf_Low_min,SPDR S&P 500 Value_etf_Low_volatility,SPDR S&P 500 Value_etf_Low_change,SPDR S&P 500 Value_etf_Close_average,SPDR S&P 500 Value_etf_Close_max,SPDR S&P 500 Value_etf_Close_min,SPDR S&P 500 Value_etf_Close_volatility,SPDR S&P 500 Value_etf_Close_change
2018-01-14,31.85,31.85,31.85,0.0,0.0,31.92,31.92,31.92,0.0,0.0,31.78,31.78,31.78,0.0,0.0,31.91,31.91,31.91,0.0,0.0
2018-01-21,32.32,32.32,32.32,0.0,0.0,32.54,32.54,32.54,0.0,0.0,32.29,32.29,32.29,0.0,0.0,32.54,32.54,32.54,0.0,0.0
2018-01-28,31.77,31.77,31.77,0.0,0.0,31.79,31.79,31.79,0.0,0.0,31.21,31.21,31.21,0.0,0.0,31.23,31.23,31.23,0.0,0.0
2018-02-04,29.56,29.56,29.56,0.0,0.0,29.8,29.8,29.8,0.0,0.0,28.7,28.7,28.7,0.0,0.0,29.59,29.59,29.59,0.0,0.0
2018-02-11,30.56,30.56,30.56,0.0,0.0,30.91,30.91,30.91,0.0,0.0,30.56,30.56,30.56,0.0,0.0,30.69,30.69,30.69,0.0,0.0
2018-02-18,30.34,30.34,30.34,0.0,0.0,30.66,30.66,30.66,0.0,0.0,30.31,30.31,30.31,0.0,0.0,30.66,30.66,30.66,0.0,0.0
2018-02-25,29.64,29.64,29.64,0.0,0.0,30.01,30.01,30.01,0.0,0.0,29.56,29.56,29.56,0.0,0.0,29.96,29.96,29.96,0.0,0.0
2018-03-04,30.55,30.55,30.55,0.0,0.0,30.86,30.86,30.86,0.0,0.0,30.49,30.49,30.49,0.0,0.0,30.86,30.86,30.86,0.0,0.0
2018-03-11,30.38,30.38,30.38,0.0,0.0,30.58,30.58,30.58,0.0,0.0,30.38,30.38,30.38,0.0,0.0,30.42,30.42,30.42,0.0,0.0
2018-03-18,29.32,29.32,29.32,0.0,0.0,29.38,29.38,29.38,0.0,0.0,28.63,28.63,28.63,0.0,0.0,28.67,28.67,28.67,0.0,0.0
2018-03-25,29.19,29.19,29.19,0.0,0.0,29.52,29.52,29.52,0.0,0.0,29.14,29.14,29.14,0.0,0.0,29.4,29.4,29.4,0.0,0.0
2018-04-01,29.47,29.47,29.47,0.0,0.0,29.61,29.61,29.61,0.0,0.0,28.87,28.87,28.87,0.0,0.0,29.1,29.1,29.1,0.0,0.0
2018-04-08,29.87,29.87,29.87,0.0,0.0,29.87,29.87,29.87,0.0,0.0,29.5,29.5,29.5,0.0,0.0,29.61,29.61,29.61,0.0,0.0
2018-04-15,29.95,29.95,29.95,0.0,0.0,29.95,29.95,29.95,0.0,0.0,29.64,29.64,29.64,0.0,0.0,29.74,29.74,29.74,0.0,0.0
2018-04-22,29.72,29.72,29.72,0.0,0.0,29.88,29.88,29.88,0.0,0.0,29.66,29.66,29.66,0.0,0.0,29.83,29.83,29.83,0.0,0.0
2018-04-29,28.95,28.95,28.95,0.0,0.0,29.46,29.46,29.46,0.0,0.0,28.9,28.9,28.9,0.0,0.0,29.38,29.38,29.38,0.0,0.0
2018-05-06,29.98,29.98,29.98,0.0,0.0,30.09,30.09,30.09,0.0,0.0,29.93,29.93,29.93,0.0,0.0,30.02,30.02,30.02,0.0,0.0
2018-05-13,30.1,30.1,30.1,0.0,0.0,30.11,30.11,30.11,0.0,0.0,29.96,29.96,29.96,0.0,0.0,29.98,29.98,29.98,0.0,0.0
2018-05-20,29.9,29.9,29.9,0.0,0.0,29.9,29.9,29.9,0.0,0.0,29.76,29.76,29.76,0.0,0.0,29.85,29.85,29.85,0.0,0.0
2018-05-27,29.79,29.79,29.79,0.0,0.0,29.88,29.88,29.88,0.0,0.0,29.78,29.78,29.78,0.0,0.0,29.84,29.84,29.84,0.0,0.0
2018-06-03,30.27,30.27,30.27,0.0,0.0,30.38,30.38,30.38,0.0,0.0,30.2,30.2,30.2,0.0,0.0,30.38,30.38,30.38,0.0,0.0
2018-06-10,30.19,30.19,30.19,0.0,0.0,30.25,30.25,30.25,0.0,0.0,29.98,29.98,29.98,0.0,0.0,30.23,30.23,30.23,0.0,0.0
2018-06-17,29.9,29.9,29.9,0.0,0.0,29.98,29.98,29.98,0.0,0.0,29.83,29.83,29.83,0.0,0.0,29.85,29.85,29.85,0.0,0.0
2018-06-24,29.73,29.73,29.73,0.0,0.0,29.9,29.9,29.9,0.0,0.0,29.61,29.61,29.61,0.0,0.0,29.63,29.63,29.63,0.0,0.0
2018-07-01,29.74,29.74,29.74,0.0,0.0,30.0,30.0,30.0,0.0,0.0,29.7,29.7,29.7,0.0,0.0,29.94,29.94,29.94,0.0,0.0
