Date,ADUS_stock_Open_average,ADUS_stock_Open_max,ADUS_stock_Open_min,ADUS_stock_Open_volatility,ADUS_stock_Open_change,ADUS_stock_High_average,ADUS_stock_High_max,ADUS_stock_High_min,ADUS_stock_High_volatility,ADUS_stock_High_change,ADUS_stock_Low_average,ADUS_stock_Low_max,ADUS_stock_Low_min,ADUS_stock_Low_volatility,ADUS_stock_Low_change,ADUS_stock_Close_average,ADUS_stock_Close_max,ADUS_stock_Close_min,ADUS_stock_Close_volatility,ADUS_stock_Close_change,ADUS_stock_Volume_average,ADUS_stock_Volume_max,ADUS_stock_Volume_min,ADUS_stock_Volume_volatility,ADUS_stock_Volume_change
2018-01-14,37.025,37.4,36.75,0.6499999999999986,0.04999999999999716,38.055,39.25,37.3,1.9500000000000028,1.25,36.8125,37.1,36.5,0.6000000000000014,-0.25,37.7625,39.15,37.0,2.1499999999999986,1.7999999999999972,21972,33208,10337,22871,6188
2018-01-21,37.988,38.85,36.45,2.3999999999999986,-0.35999999999999943,38.222,38.9,37.25,1.6499999999999986,-0.4099999999999966,36.88,38.05,36.2,1.8499999999999943,-1.8499999999999943,37.25,38.6,36.3,2.3000000000000043,-2.3000000000000043,15305,21634,10656,10978,-3260
2018-01-28,36.15,36.75,35.7,1.0499999999999972,0.3999999999999986,36.96,37.3,36.25,1.0499999999999972,0.44999999999999574,35.891999999999996,36.4,35.55,0.8500000000000014,0.3500000000000014,36.31,37.0,35.85,1.1499999999999986,0.20000000000000284,29964,42694,15287,27407,14302
2018-02-04,36.314,36.75,35.7,1.0499999999999972,-0.09999999999999432,37.074,37.27,36.85,0.4200000000000017,0.25,35.74,36.15,35.5,0.6499999999999986,-0.04999999999999716,36.31,36.8,35.6,1.1999999999999957,1.1000000000000014,19732,31770,11821,19949,16468
2018-02-11,36.78,37.8,35.7,2.0999999999999943,-0.19999999999999574,37.88,38.95,36.85,2.1000000000000014,-0.04999999999999716,35.86,36.7,35.1,1.6000000000000014,-0.25,36.67,38.35,35.7,2.6499999999999986,-0.14999999999999858,23172,55154,10505,44649,4152
2018-02-18,35.95,36.55,35.6,0.9499999999999957,0.3500000000000014,36.375,36.75,36.05,0.7000000000000028,0.10000000000000142,35.387499999999996,35.8,35.15,0.6499999999999986,0.0,35.95,36.35,35.55,0.8000000000000043,0.45000000000000284,15636,26723,6311,20412,-15584
2018-02-25,35.4,35.9,34.25,1.6499999999999986,0.0,36.65,37.4,35.45,1.9499999999999957,0.29999999999999716,34.55,35.45,33.25,2.200000000000003,-0.6500000000000057,35.69,37.25,34.35,2.8999999999999986,1.3999999999999986,17757,23507,12958,10549,2457
2018-03-04,37.21,39.8,34.05,5.75,5.75,39.224000000000004,41.25,37.25,4.0,4.0,36.68,39.35,34.05,5.300000000000004,5.300000000000004,38.43,40.45,36.05,4.400000000000006,4.400000000000006,30623,48264,14148,34116,14084
2018-03-11,42.28,43.25,40.5,2.75,1.7999999999999972,43.29,43.95,42.55,1.4000000000000057,0.45000000000000284,41.94,42.6,40.5,2.1000000000000014,1.7999999999999972,42.64,43.25,42.3,0.9500000000000028,0.3500000000000014,55906,133463,15592,117871,16867
2018-03-18,42.62,44.45,41.3,3.1500000000000057,1.9000000000000057,44.18,46.1,42.6,3.5,3.1000000000000014,42.074000000000005,44.45,40.1,4.350000000000001,4.350000000000001,43.31,45.45,41.0,4.450000000000003,4.450000000000003,65832,90941,42973,47968,-8668
2018-03-25,46.15,46.4,45.7,0.6999999999999957,0.04999999999999716,47.735,49.55,46.45,3.0999999999999943,2.9599999999999937,45.214999999999996,45.9,44.5,1.3999999999999986,0.740000000000002,46.6,48.65,45.35,3.299999999999997,3.299999999999997,121559,335817,30086,305731,276732
2018-04-01,50.63,52.15,49.05,3.1000000000000014,2.8000000000000043,51.852,53.35,49.73,3.6200000000000045,2.8500000000000014,49.99,51.75,47.25,4.5,4.25,51.12,52.25,49.5,2.75,2.75,83353,113107,53112,59995,-32022
2018-04-08,52.87,53.8,52.55,1.25,1.1999999999999957,53.928,54.99,53.0,1.990000000000002,1.3999999999999986,52.02,52.7,51.55,1.1500000000000057,0.3999999999999986,52.62,53.5,52.1,1.3999999999999986,0.3999999999999986,47124,68969,29576,39393,-22234
2018-04-15,53.81,54.9,52.6,2.299999999999997,2.299999999999997,55.13,55.75,54.2,1.5499999999999972,0.9499999999999957,53.29,54.2,52.6,1.6000000000000014,1.25,54.03,54.95,53.05,1.9000000000000057,0.25,51604,66602,39686,26916,7277
2018-04-22,53.19,54.0,52.0,2.0,-2.0,53.998,55.24,52.6,2.6400000000000006,-2.549999999999997,52.444,53.4,51.55,1.8500000000000014,-1.8500000000000014,52.7,53.55,51.95,1.5999999999999943,-1.5999999999999943,60267,71619,49205,22414,-16108
2018-04-29,51.96,52.5,51.35,1.1499999999999986,-0.15000000000000568,52.88,53.65,52.35,1.2999999999999972,-0.7999999999999972,51.410000000000004,51.95,50.4,1.5500000000000043,-0.25,51.97,52.5,51.4,1.1000000000000014,-0.7000000000000028,84561,109542,49635,59907,35618
