Date,SPDR Global Dow_Open_average,SPDR Global Dow_Open_max,SPDR Global Dow_Open_min,SPDR Global Dow_Open_volatility,SPDR Global Dow_Open_change,SPDR Global Dow_High_average,SPDR Global Dow_High_max,SPDR Global Dow_High_min,SPDR Global Dow_High_volatility,SPDR Global Dow_High_change,SPDR Global Dow_Low_average,SPDR Global Dow_Low_max,SPDR Global Dow_Low_min,SPDR Global Dow_Low_volatility,SPDR Global Dow_Low_change,SPDR Global Dow_Close_average,SPDR Global Dow_Close_max,SPDR Global Dow_Close_min,SPDR Global Dow_Close_volatility,SPDR Global Dow_Close_change
2018-01-14,90.15,90.15,90.15,0.0,0.0,90.82,90.82,90.82,0.0,0.0,90.15,90.15,90.15,0.0,0.0,90.82,90.82,90.82,0.0,0.0
2018-01-21,91.48,91.48,91.48,0.0,0.0,91.75,91.75,91.75,0.0,0.0,91.48,91.48,91.48,0.0,0.0,91.75,91.75,91.75,0.0,0.0
2018-01-28,87.35,87.35,87.35,0.0,0.0,87.97,87.97,87.97,0.0,0.0,84.48,84.48,84.48,0.0,0.0,85.35,85.35,85.35,0.0,0.0
2018-02-04,84.43,84.43,84.43,0.0,0.0,84.85,84.85,84.85,0.0,0.0,84.43,84.43,84.43,0.0,0.0,84.85,84.85,84.85,0.0,0.0
2018-02-11,87.67,87.67,87.67,0.0,0.0,87.67,87.67,87.67,0.0,0.0,87.37,87.37,87.37,0.0,0.0,87.37,87.37,87.37,0.0,0.0
2018-02-18,88.01,88.01,88.01,0.0,0.0,88.33,88.33,88.33,0.0,0.0,87.79,87.79,87.79,0.0,0.0,88.33,88.33,88.33,0.0,0.0
2018-02-25,84.6,84.6,84.6,0.0,0.0,85.66,85.66,85.66,0.0,0.0,84.56,84.56,84.56,0.0,0.0,85.66,85.66,85.66,0.0,0.0
2018-03-04,87.58,87.58,87.58,0.0,0.0,87.67,87.67,87.67,0.0,0.0,87.11,87.11,87.11,0.0,0.0,87.11,87.11,87.11,0.0,0.0
2018-03-11,85.36,85.36,85.36,0.0,0.0,85.59,85.59,85.59,0.0,0.0,84.68,84.68,84.68,0.0,0.0,84.68,84.68,84.68,0.0,0.0
2018-03-18,83.56,83.56,83.56,0.0,0.0,83.89,83.89,83.89,0.0,0.0,83.56,83.56,83.56,0.0,0.0,83.89,83.89,83.89,0.0,0.0
2018-03-25,83.01,83.01,83.01,0.0,0.0,83.01,83.01,83.01,0.0,0.0,81.52,81.52,81.52,0.0,0.0,81.83,81.83,81.83,0.0,0.0
2018-04-01,84.06,84.06,84.06,0.0,0.0,84.06,84.06,84.06,0.0,0.0,84.06,84.06,84.06,0.0,0.0,84.06,84.06,84.06,0.0,0.0
2018-04-08,85.06,85.06,85.06,0.0,0.0,85.06,85.06,85.06,0.0,0.0,85.06,85.06,85.06,0.0,0.0,85.06,85.06,85.06,0.0,0.0
2018-04-15,85.51,85.51,85.51,0.0,0.0,85.51,85.51,85.51,0.0,0.0,85.51,85.51,85.51,0.0,0.0,85.51,85.51,85.51,0.0,0.0
2018-04-22,85.2,85.2,85.2,0.0,0.0,85.2,85.2,85.2,0.0,0.0,84.58,84.58,84.58,0.0,0.0,84.58,84.58,84.58,0.0,0.0
2018-04-29,83.26,83.26,83.26,0.0,0.0,84.49,84.49,84.49,0.0,0.0,83.26,83.26,83.26,0.0,0.0,84.49,84.49,84.49,0.0,0.0
2018-05-06,86.37,86.37,86.37,0.0,0.0,86.39,86.39,86.39,0.0,0.0,86.31,86.31,86.31,0.0,0.0,86.39,86.39,86.39,0.0,0.0
2018-05-13,85.95,85.95,85.95,0.0,0.0,86.18,86.18,86.18,0.0,0.0,85.95,85.95,85.95,0.0,0.0,85.97,85.97,85.97,0.0,0.0
2018-05-20,85.22,85.22,85.22,0.0,0.0,85.22,85.22,85.22,0.0,0.0,84.78,84.78,84.78,0.0,0.0,84.78,84.78,84.78,0.0,0.0
2018-05-27,84.71,84.71,84.71,0.0,0.0,84.87,84.87,84.87,0.0,0.0,84.61,84.61,84.61,0.0,0.0,84.82,84.82,84.82,0.0,0.0
2018-06-03,85.63,85.63,85.63,0.0,0.0,85.75,85.75,85.75,0.0,0.0,85.5,85.5,85.5,0.0,0.0,85.75,85.75,85.75,0.0,0.0
2018-06-10,83.5,83.5,83.5,0.0,0.0,83.54,83.54,83.54,0.0,0.0,83.21,83.21,83.21,0.0,0.0,83.54,83.54,83.54,0.0,0.0
2018-06-17,81.79,81.79,81.79,0.0,0.0,81.8,81.8,81.8,0.0,0.0,81.61,81.61,81.61,0.0,0.0,81.61,81.61,81.61,0.0,0.0
2018-06-24,81.82,81.82,81.82,0.0,0.0,81.84,81.84,81.84,0.0,0.0,81.51,81.51,81.51,0.0,0.0,81.51,81.51,81.51,0.0,0.0
2018-07-01,83.71,83.71,83.71,0.0,0.0,84.05,84.05,84.05,0.0,0.0,83.71,83.71,83.71,0.0,0.0,84.05,84.05,84.05,0.0,0.0
2018-07-08,83.82,83.82,83.82,0.0,0.0,83.88,83.88,83.88,0.0,0.0,83.82,83.82,83.82,0.0,0.0,83.88,83.88,83.88,0.0,0.0
2018-07-15,84.08,84.08,84.08,0.0,0.0,84.08,84.08,84.08,0.0,0.0,84.05,84.05,84.05,0.0,0.0,84.05,84.05,84.05,0.0,0.0
2018-07-22,85.32,85.32,85.32,0.0,0.0,85.32,85.32,85.32,0.0,0.0,85.32,85.32,85.32,0.0,0.0,85.32,85.32,85.32,0.0,0.0
2018-07-29,85.11,85.11,85.11,0.0,0.0,85.41,85.41,85.41,0.0,0.0,85.11,85.11,85.11,0.0,0.0,85.41,85.41,85.41,0.0,0.0
2018-08-05,83.78,83.78,83.78,0.0,0.0,83.82,83.82,83.82,0.0,0.0,83.64,83.64,83.64,0.0,0.0,83.78,83.78,83.78,0.0,0.0
2018-08-12,84.55,84.55,84.55,0.0,0.0,84.55,84.55,84.55,0.0,0.0,84.43,84.43,84.43,0.0,0.0,84.54,84.54,84.54,0.0,0.0
2018-08-19,85.97,85.97,85.97,0.0,0.0,86.23,86.23,86.23,0.0,0.0,85.93,85.93,85.93,0.0,0.0,86.15,86.15,86.15,0.0,0.0
