Date,CPA_Open_average,CPA_Open_max,CPA_Open_min,CPA_Open_volatility,CPA_Open_change,CPA_High_average,CPA_High_max,CPA_High_min,CPA_High_volatility,CPA_High_change,CPA_Low_average,CPA_Low_max,CPA_Low_min,CPA_Low_volatility,CPA_Low_change,CPA_Close_average,CPA_Close_max,CPA_Close_min,CPA_Close_volatility,CPA_Close_change,CPA_Volume_average,CPA_Volume_max,CPA_Volume_min,CPA_Volume_volatility,CPA_Volume_change
2018-01-14,138.588,141.21,137.46,3.75,-3.75,139.026,141.21,137.77,3.4399999999999977,-3.4399999999999977,136.888,137.94,136.11,1.829999999999984,-1.829999999999984,137.636,138.4,136.7,1.700000000000017,-0.6500000000000057,196503,265591,153406,112185,55743
2018-01-21,137.034,137.88,135.2,2.680000000000007,-0.07999999999998408,137.648,138.15,137.15,1.0,-0.5699999999999932,135.388,136.41,134.25,2.1599999999999966,-0.6999999999999886,136.47,137.57,135.11,2.4599999999999795,-0.7299999999999898,293016,371342,172906,198436,31242
2018-01-28,135.028,137.86,130.68,7.180000000000007,-4.099999999999994,135.978,139.34,130.68,8.659999999999997,-4.469999999999999,132.52,135.97,126.32,9.650000000000006,-7.2900000000000205,133.79,138.33,126.77,11.560000000000016,-7.660000000000011,226699,338800,174718,164082,71324
2018-02-04,127.052,129.05,124.26,4.790000000000006,2.3999999999999915,129.192,130.5,127.0,3.5,-1.0500000000000114,124.708,128.48,122.03,6.449999999999989,3.5600000000000023,127.3,129.09,125.24,3.8500000000000085,-1.2800000000000011,234232,309238,132812,176426,-176426
2018-02-11,129.45,131.39,127.61,3.779999999999987,3.1599999999999966,131.42000000000002,132.44,130.74,1.6999999999999886,1.6999999999999886,128.3875,130.32,126.6,3.719999999999999,3.719999999999999,129.9775,130.7,128.15,2.549999999999983,2.509999999999991,145780,194068,122149,71919,60541
2018-02-18,135.038,140.0,130.3,9.699999999999989,9.699999999999989,137.376,141.0,132.28,8.719999999999999,8.719999999999999,132.60999999999999,138.34,127.69,10.650000000000006,8.330000000000013,135.9,139.56,131.54,8.02000000000001,7.439999999999998,303200,496760,136781,359979,177087
2018-02-25,136.026,139.43,133.2,6.230000000000018,-6.230000000000018,137.052,139.73,134.88,4.849999999999994,-4.369999999999976,133.92,136.04,131.59,4.449999999999989,-4.030000000000001,135.492,136.6,134.31,2.289999999999992,-1.829999999999984,210362,345576,140712,204864,-204864
2018-03-04,134.57,135.65,133.37,2.280000000000001,0.5500000000000114,135.96,137.78,134.14,3.640000000000015,2.4499999999999886,133.104,134.68,131.05,3.6299999999999955,0.8000000000000114,134.778,137.0,133.05,3.9499999999999886,2.4499999999999886,165047,184363,125750,58613,-40757
2018-03-11,137.744,139.5,136.14,3.3600000000000136,-0.9799999999999898,138.842,140.33,137.31,3.0200000000000102,-3.0200000000000102,136.19799999999998,137.17,135.67,1.5,0.2400000000000091,137.492,139.61,136.29,3.3200000000000216,-2.8200000000000216,176258,327213,118557,208656,-200930
2018-03-18,134.742,137.09,131.37,5.719999999999999,-5.719999999999999,135.662,138.35,131.95,6.400000000000006,-6.400000000000006,132.364,136.13,128.17,7.960000000000008,-7.960000000000008,133.15,137.12,129.7,7.420000000000016,-7.1299999999999955,183169,212706,150867,61839,48097
