Date,iShares S&P Mid-Cap 400 Growth_Open_average,iShares S&P Mid-Cap 400 Growth_Open_max,iShares S&P Mid-Cap 400 Growth_Open_min,iShares S&P Mid-Cap 400 Growth_Open_volatility,iShares S&P Mid-Cap 400 Growth_Open_change,iShares S&P Mid-Cap 400 Growth_High_average,iShares S&P Mid-Cap 400 Growth_High_max,iShares S&P Mid-Cap 400 Growth_High_min,iShares S&P Mid-Cap 400 Growth_High_volatility,iShares S&P Mid-Cap 400 Growth_High_change,iShares S&P Mid-Cap 400 Growth_Low_average,iShares S&P Mid-Cap 400 Growth_Low_max,iShares S&P Mid-Cap 400 Growth_Low_min,iShares S&P Mid-Cap 400 Growth_Low_volatility,iShares S&P Mid-Cap 400 Growth_Low_change,iShares S&P Mid-Cap 400 Growth_Close_average,iShares S&P Mid-Cap 400 Growth_Close_max,iShares S&P Mid-Cap 400 Growth_Close_min,iShares S&P Mid-Cap 400 Growth_Close_volatility,iShares S&P Mid-Cap 400 Growth_Close_change
2018-01-14,228.16,228.16,228.16,0.0,0.0,228.92,228.92,228.92,0.0,0.0,227.48,227.48,227.48,0.0,0.0,228.92,228.92,228.92,0.0,0.0
2018-01-21,229.44,229.44,229.44,0.0,0.0,229.77,229.77,229.77,0.0,0.0,227.97,227.97,227.97,0.0,0.0,228.1,228.1,228.1,0.0,0.0
2018-01-28,219.84,219.84,219.84,0.0,0.0,221.44,221.44,221.44,0.0,0.0,213.24,213.24,213.24,0.0,0.0,213.36,213.36,213.36,0.0,0.0
2018-02-04,210.76,210.76,210.76,0.0,0.0,213.43,213.43,213.43,0.0,0.0,209.48,209.48,209.48,0.0,0.0,212.3,212.3,212.3,0.0,0.0
2018-02-11,219.47,219.47,219.47,0.0,0.0,221.07,221.07,221.07,0.0,0.0,219.29,219.29,219.29,0.0,0.0,220.01,220.01,220.01,0.0,0.0
2018-02-18,221.34,221.34,221.34,0.0,0.0,222.06,222.06,222.06,0.0,0.0,219.87,219.87,219.87,0.0,0.0,222.0,222.0,222.0,0.0,0.0
2018-02-25,216.56,216.56,216.56,0.0,0.0,220.0,220.0,220.0,0.0,0.0,216.3,216.3,216.3,0.0,0.0,219.42,219.42,219.42,0.0,0.0
2018-03-04,227.23,227.23,227.23,0.0,0.0,227.76,227.76,227.76,0.0,0.0,226.6,226.6,226.6,0.0,0.0,227.17,227.17,227.17,0.0,0.0
2018-03-11,224.47,224.47,224.47,0.0,0.0,224.48,224.48,224.48,0.0,0.0,221.71,221.71,221.71,0.0,0.0,223.48,223.48,223.48,0.0,0.0
2018-03-18,216.72,216.72,216.72,0.0,0.0,219.42,219.42,219.42,0.0,0.0,215.52,215.52,215.52,0.0,0.0,219.39,219.39,219.39,0.0,0.0
