Date,ProShares Ultra SmallCap600_Open_average,ProShares Ultra SmallCap600_Open_max,ProShares Ultra SmallCap600_Open_min,ProShares Ultra SmallCap600_Open_volatility,ProShares Ultra SmallCap600_Open_change,ProShares Ultra SmallCap600_High_average,ProShares Ultra SmallCap600_High_max,ProShares Ultra SmallCap600_High_min,ProShares Ultra SmallCap600_High_volatility,ProShares Ultra SmallCap600_High_change,ProShares Ultra SmallCap600_Low_average,ProShares Ultra SmallCap600_Low_max,ProShares Ultra SmallCap600_Low_min,ProShares Ultra SmallCap600_Low_volatility,ProShares Ultra SmallCap600_Low_change,ProShares Ultra SmallCap600_Close_average,ProShares Ultra SmallCap600_Close_max,ProShares Ultra SmallCap600_Close_min,ProShares Ultra SmallCap600_Close_volatility,ProShares Ultra SmallCap600_Close_change
2018-01-14,107.65,107.65,107.65,0.0,0.0,107.91,107.91,107.91,0.0,0.0,107.44,107.44,107.44,0.0,0.0,107.91,107.91,107.91,0.0,0.0
2018-01-21,107.67,107.67,107.67,0.0,0.0,108.05,108.05,108.05,0.0,0.0,107.48,107.48,107.48,0.0,0.0,108.05,108.05,108.05,0.0,0.0
2018-01-28,98.02,98.02,98.02,0.0,0.0,99.63,99.63,99.63,0.0,0.0,92.81,92.81,92.81,0.0,0.0,92.93,92.93,92.93,0.0,0.0
2018-02-04,93.01,93.01,93.01,0.0,0.0,93.3,93.3,93.3,0.0,0.0,93.01,93.01,93.01,0.0,0.0,93.3,93.3,93.3,0.0,0.0
2018-02-11,100.0,100.0,100.0,0.0,0.0,100.58,100.58,100.58,0.0,0.0,100.0,100.0,100.0,0.0,0.0,100.58,100.58,100.58,0.0,0.0
2018-02-18,100.28,100.28,100.28,0.0,0.0,100.3,100.3,100.3,0.0,0.0,100.08,100.08,100.08,0.0,0.0,100.21,100.21,100.21,0.0,0.0
2018-02-25,93.98,93.98,93.98,0.0,0.0,98.09,98.09,98.09,0.0,0.0,93.98,93.98,93.98,0.0,0.0,98.09,98.09,98.09,0.0,0.0
2018-03-04,106.46,106.46,106.46,0.0,0.0,106.47,106.47,106.47,0.0,0.0,106.4,106.4,106.4,0.0,0.0,106.4,106.4,106.4,0.0,0.0
2018-03-11,105.66,105.66,105.66,0.0,0.0,105.66,105.66,105.66,0.0,0.0,105.53,105.53,105.53,0.0,0.0,105.53,105.53,105.53,0.0,0.0
2018-03-18,96.5,96.5,96.5,0.0,0.0,96.5,96.5,96.5,0.0,0.0,96.5,96.5,96.5,0.0,0.0,96.5,96.5,96.5,0.0,0.0
2018-03-25,95.01,95.01,95.01,0.0,0.0,95.05,95.05,95.05,0.0,0.0,94.37,94.37,94.37,0.0,0.0,94.37,94.37,94.37,0.0,0.0
2018-04-01,99.6,99.6,99.6,0.0,0.0,99.6,99.6,99.6,0.0,0.0,99.6,99.6,99.6,0.0,0.0,99.6,99.6,99.6,0.0,0.0
