Date,iShares MSCI India_Open_average,iShares MSCI India_Open_max,iShares MSCI India_Open_min,iShares MSCI India_Open_volatility,iShares MSCI India_Open_change,iShares MSCI India_High_average,iShares MSCI India_High_max,iShares MSCI India_High_min,iShares MSCI India_High_volatility,iShares MSCI India_High_change,iShares MSCI India_Low_average,iShares MSCI India_Low_max,iShares MSCI India_Low_min,iShares MSCI India_Low_volatility,iShares MSCI India_Low_change,iShares MSCI India_Close_average,iShares MSCI India_Close_max,iShares MSCI India_Close_min,iShares MSCI India_Close_volatility,iShares MSCI India_Close_change
2018-01-14,37.56,37.56,37.56,0.0,0.0,37.8,37.8,37.8,0.0,0.0,37.49,37.49,37.49,0.0,0.0,37.7,37.7,37.7,0.0,0.0
2018-01-21,37.91,37.91,37.91,0.0,0.0,37.94,37.94,37.94,0.0,0.0,37.75,37.75,37.75,0.0,0.0,37.78,37.78,37.78,0.0,0.0
2018-01-28,35.72,35.72,35.72,0.0,0.0,35.78,35.78,35.78,0.0,0.0,34.45,34.45,34.45,0.0,0.0,34.49,34.49,34.49,0.0,0.0
2018-02-04,35.4,35.4,35.4,0.0,0.0,35.73,35.73,35.73,0.0,0.0,35.27,35.27,35.27,0.0,0.0,35.54,35.54,35.54,0.0,0.0
2018-02-11,35.0,35.0,35.0,0.0,0.0,35.41,35.41,35.41,0.0,0.0,34.94,34.94,34.94,0.0,0.0,35.22,35.22,35.22,0.0,0.0
2018-02-18,35.28,35.28,35.28,0.0,0.0,35.6,35.6,35.6,0.0,0.0,35.25,35.25,35.25,0.0,0.0,35.59,35.59,35.59,0.0,0.0
2018-02-25,34.3,34.3,34.3,0.0,0.0,34.55,34.55,34.55,0.0,0.0,34.16,34.16,34.16,0.0,0.0,34.5,34.5,34.5,0.0,0.0
2018-03-04,34.73,34.73,34.73,0.0,0.0,34.83,34.83,34.83,0.0,0.0,34.62,34.62,34.62,0.0,0.0,34.79,34.79,34.79,0.0,0.0
2018-03-11,33.57,33.57,33.57,0.0,0.0,33.69,33.69,33.69,0.0,0.0,33.27,33.27,33.27,0.0,0.0,33.37,33.37,33.37,0.0,0.0
2018-03-18,33.89,33.89,33.89,0.0,0.0,34.04,34.04,34.04,0.0,0.0,33.69,33.69,33.69,0.0,0.0,34.04,34.04,34.04,0.0,0.0
