Date,KAR_Open_average,KAR_Open_max,KAR_Open_min,KAR_Open_volatility,KAR_Open_change,KAR_High_average,KAR_High_max,KAR_High_min,KAR_High_volatility,KAR_High_change,KAR_Low_average,KAR_Low_max,KAR_Low_min,KAR_Low_volatility,KAR_Low_change,KAR_Close_average,KAR_Close_max,KAR_Close_min,KAR_Close_volatility,KAR_Close_change,KAR_Volume_average,KAR_Volume_max,KAR_Volume_min,KAR_Volume_volatility,KAR_Volume_change
2018-01-14,53.714,54.2,53.42,0.7800000000000011,0.5400000000000063,53.972,54.49,53.58,0.9100000000000037,0.6499999999999986,53.364,54.01,53.03,0.9799999999999969,0.8500000000000014,53.804,54.45,53.35,1.1000000000000014,1.0800000000000054,813727,1136826,555696,581130,-572749
2018-01-21,54.678,55.01,54.32,0.6899999999999977,0.6899999999999977,54.888,55.19,54.44,0.75,0.7199999999999989,54.364,54.75,54.05,0.7000000000000028,0.7000000000000028,54.7,55.13,54.33,0.8000000000000043,0.480000000000004,527782,645882,396697,249185,-194815
2018-01-28,54.176,54.7,52.96,1.740000000000002,-1.3900000000000006,54.554,55.1,53.41,1.6900000000000048,-1.6700000000000017,53.31,54.22,50.83,3.3900000000000006,-3.3900000000000006,53.576,54.6,51.04,3.5600000000000023,-3.3500000000000014,760640,1026236,620749,405487,178450
2018-02-04,50.318,51.04,49.53,1.509999999999998,-0.3500000000000014,50.99,51.68,49.95,1.7299999999999969,-0.8699999999999974,49.52,50.79,48.22,2.5700000000000003,-0.44000000000000483,50.132,51.04,49.0,2.039999999999999,-0.740000000000002,937539,1372714,649971,722743,-509363
2018-02-11,50.6325,51.4,49.94,1.4600000000000009,1.1799999999999997,51.317499999999995,52.33,50.47,1.8599999999999994,1.8599999999999994,50.315,51.26,49.7,1.5599999999999952,1.5599999999999952,51.1075,52.02,50.26,1.7600000000000051,1.7600000000000051,1236292,1768544,781101,987443,516424
2018-02-18,51.528,53.0,50.91,2.0900000000000034,-1.4299999999999997,52.004,53.32,51.33,1.990000000000002,-1.3200000000000003,50.772,51.28,50.45,0.8299999999999983,0.8299999999999983,51.114,51.97,50.49,1.4799999999999969,1.4799999999999969,1264340,1779270,796184,983086,-668819
2018-02-25,53.466,54.65,51.94,2.710000000000001,1.8400000000000034,54.288,55.08,52.34,2.739999999999995,2.739999999999995,53.132,53.86,51.69,2.1700000000000017,1.980000000000004,53.854,54.88,51.99,2.8900000000000006,2.8900000000000006,1747122,3010022,753221,2256801,-737789
2018-03-04,55.96,56.6,54.97,1.6300000000000026,1.6300000000000026,56.536,56.75,55.98,0.7700000000000031,0.7700000000000031,55.514,56.07,54.77,1.2999999999999972,1.2999999999999972,56.118,56.64,55.72,0.9200000000000017,0.23999999999999488,938894,1343225,686076,657149,-207508
2018-03-11,56.02,56.43,55.74,0.6899999999999977,-0.5899999999999963,56.158,56.49,56.01,0.480000000000004,-0.4299999999999997,55.584,55.82,55.38,0.4399999999999977,-0.4399999999999977,55.75,55.91,55.54,0.36999999999999744,-0.36999999999999744,1497132,2889341,636249,2253092,-2095203
2018-03-18,54.814,55.67,53.77,1.8999999999999986,-1.7700000000000031,55.33,56.06,54.4,1.6600000000000037,-1.4899999999999949,54.089999999999996,55.48,53.07,2.4099999999999966,-1.9299999999999997,54.464,55.7,53.31,2.3900000000000006,-1.0700000000000003,974315,1409135,816007,593128,-6233
